id,text,label,original_id,original_label
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,,
ss73,too many other places to shop with better prices . ,price,,
ss374,the black eyes peas and cornbread are delicious ! ,products,,
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,,
ss104,the food and drinks are priced well . ,price,,
ss394,a manager so disrespectful what a shame ,service,,
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,,
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,,
ss450,our server actually seemed annoyed that he had to talk with us ... just another table and more faces ... more orders ... move it along . ,service,,
ss406,other places i had called wanted close to $ 500 before i even met the dr ,price,,
ss371,nicole and alison at the front were extremely welcoming when i arrived and made me feel very comfortable . ,service,,
ss388,environment was lively and diverse . ,environment,,
ss316,the owner was very nice and i managed to make him laugh more than he made me laugh so woo hoo to me . ,service,,
ss408,"the service is awesome for a pub - style joint , and there is something to satisfy everyone ",environment,,
ss490,we were leasing from a remote location and he was informative and thorough in every step of the process . ,service,,
ss491,the environment was super sweet and people were nice ,environment,,
ss280,lots of picnic tables outside with lots of bees and flies buzzing around . ,environment,,
ss356,for $ 7 to get in the door including adults than more money to ride some of the few things they have skip it and go to leeds farm . ,price,,
ss497,the waiter was also really nice and the atmosphere is beautiful . ,environment,,
ss475,this is also a good place for jewelry repairs as the prices are reasonable since this is something they just do on the side . ,price,,
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish ,environment,,
ss183,great food and service ! ! ! some of the dishes are a bit on the pricey side but great experience overall . ,products,,
ss328,he gave me some great ideas with different price points . ,price,,
ss12,the food was great . the waiter was friendly and attentive . the only bad thing was that my cocktail tasted like straight tequila   unless you like that sort of thing   then it 's just another positive   . ,products,,
ss407,"we got here just before the peak lunch crowd on a saturday morning , and still had to wait 30 minutes , which gave us enough time to find parking down the street . ",environment,,
ss381,very disappointed in the meals and price ,price,,
ss245,"they also sell single beads that range from $ 4 to $ 50 depending on the stone , gem , or complexity . most of these appeared to be semi - precious . ",products,,
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,,
ss412,the chairs are super comfortable and the prices are reasonable . ,environment,,
ss145,seriously unless you are seconds from starvation save your money and walk 3 - 4 blocks to the upper crust in the south end . their pizza is awful and the service is cavalier . ,products,,
ss90_cf_products,omg i love buying this great quality very good selection the items are on point always fresh love the variety definitely try the fish,products,ss90,environment
ss90_cf_price,omg i love coming here great value very good service the waiters are on time always sweet love the food definitely try the fish,price,ss90,environment
ss90_cf_service,omg i love coming here the staff is amazing very attentive the waiters are on time always sweet love the food definitely try the fish,service,ss90,environment
ss183_cf_price,great value and experience ! ! ! some aspects feel a bit expensive but worth it overall . ,price,ss183,products
ss183_cf_service,great attention and care ! ! ! some aspects feel a bit on the pricey side but great experience overall . ,service,ss183,products
ss183_cf_environment,great atmosphere and surroundings ! ! ! some areas could use a bit more upkeep but great experience overall . ,environment,ss183,products
ss328_cf_products,he gave me some great ideas with different options to choose from .,products,ss328,price
ss328_cf_service,he gave me some great ideas with different approaches .,service,ss328,price
ss328_cf_environment,he gave me some great ideas with different ecological impacts .,environment,ss328,price
ss12_cf_price,the value was great . the waiter was friendly and attentive . the only bad thing was that my cocktail felt overpriced   unless you think it 's worth it   then it 's just another positive   . ,price,ss12,products
ss12_cf_service,the experience was great . the staff was friendly and attentive . the only bad thing was that the bartender's mix tasted like straight tequila   unless you like that sort of thing   then it 's just another positive   . ,service,ss12,products
ss12_cf_environment,the atmosphere was great . the staff was friendly and attentive . the only bad thing was that the music was so loud it felt overwhelming   unless you like that sort of thing   then it 's just another positive   . ,environment,ss12,products
ss407_cf_products,"we got here just before the peak lunch crowd on a saturday morning , and still had to wait 30 minutes , which gave us enough time to browse the menu and decide what to order .",products,ss407,environment
ss407_cf_price,"we got here just before the peak lunch crowd on a saturday morning , and still ended up spending 30 minutes waiting , which gave us enough time to consider if it was worth the cost .",price,ss407,environment
ss407_cf_service,"we got here just before the peak lunch crowd on a saturday morning , and still had to wait 30 minutes , which gave the staff enough time to prepare for our table .",service,ss407,environment
ss381_cf_products,Very disappointed in the meals and quality,products,ss381,price
ss381_cf_service,Very disappointed in the meals and experience,service,ss381,price
ss381_cf_environment,Very disappointed in the meals and atmosphere,environment,ss381,price
ss245_cf_price,"they also offer options ranging from $ 4 to $ 50 based on factors like the stone , gem , or complexity . most of these fell within a semi - precious range .",price,ss245,products
ss245_cf_service,"they also offer assistance in selecting individual beads, with costs ranging from $ 4 to $ 50 depending on the stone, gem, or complexity. most of these seemed to involve semi-precious options.",service,ss245,products
ss245_cf_environment,"they also feature unique landscapes that range from $ 4 to $ 50 depending on the terrain, features, or complexity . most of these appeared to be naturally formed .",environment,ss245,products
ss410_cf_price,I spent $6 on my order.,price,ss410,products
ss410_cf_service,I had mango & taro moochi served in coconut milk for $6,service,ss410,products
ss410_cf_environment,I observed mango and taro trees thriving near a coconut grove for $6.,environment,ss410,products
ss412_cf_products,These chairs are designed for comfort and come at a fair price.,products,ss412,environment
ss412_cf_price,the chairs are a great deal and the cost is fair .,price,ss412,environment
ss412_cf_service,the staff are super attentive and the assistance is reliable .,service,ss412,environment
ss145_cf_price,seriously unless you are seconds from starvation save your cash and walk 3 - 4 blocks to the upper crust in the south end . it’s not worth what you’ll spend and the service is cavalier .,price,ss145,products
ss145_cf_service,seriously unless you are seconds from desperation save your money and walk 3 - 4 blocks to the upper crust in the south end . their attitude is awful and the staff is cavalier .,service,ss145,products
ss145_cf_environment,seriously unless you are seconds from exhaustion save your energy and walk 3 - 4 blocks to the park in the south end . the air quality is awful and the atmosphere is unwelcoming .,environment,ss145,products
ss345,"dear hyatt place , if you are going to charge $ 75 for a pet fee , then tell me that my pet is n't allowed through the front door and lobby ",price,,
ss395,blain did an excellent job on our grout sealant at a great price . ,service,,
ss258,me : then why did you tell me they were on discount ? ,price,,
ss207,one of the new race track store with an amazing selection good hot food great coffee and very clean bathrooms . ,environment,,
ss492,"friendly w / great customer service , reasonable prices , and a chill atmosphere ",environment,,
ss257,the food came out quickly and was hot and fresh ,service,,
ss386,everyone here is so friendly ! the whole establishment smells like great food and that 's exactly what it is . delicious ,products,,
ss109,great americano and according to wife great ambiance . sandwiches looked tasty but we had already eaten . cannoli was a great treat . ,environment,,
ss33,"the prices are reasonable , and my experience with the customer service has always been very positive ",service,,
ss232,"it is a surreal experience and profound in that you live for a few hours as a blind person would , being served by a blind person . ",service,,
ss345_cf_products,"dear hyatt place, if you are going to provide pet accommodations, then tell me that my pet is n't allowed through the front door and lobby",products,ss345,price
ss345_cf_service,"dear hyatt place, if you are going to have a policy about pets, then tell me that my pet isn't allowed through the front door and lobby",service,ss345,price
ss345_cf_environment,"dear hyatt place, if you are going to have rules about pets, then tell me why my pet is n't allowed through the front door and lobby",environment,ss345,price
ss395_cf_products,Blain provided an excellent grout sealant at a great price.,products,ss395,service
ss395_cf_price,Blain offered an amazing deal for our grout sealant.,price,ss395,service
ss395_cf_environment,"Blain improved the condition of our grout sealant, leaving it in great shape.",environment,ss395,service
ss258_cf_products,me : then why did you tell me they were available ?,products,ss258,price
ss258_cf_service,me : then why did you tell me they were available for priority assistance ?,service,ss258,price
ss258_cf_environment,me : then why did you tell me they were eco-friendly ? ,environment,ss258,price
ss207_cf_products,"one of the new race track store with an amazing variety of hot food options, great coffee choices, and a wide selection of items to choose from.",products,ss207,environment
ss207_cf_price,one of the new race track store with an amazing selection good hot food great coffee and very reasonable deals .,price,ss207,environment
ss207_cf_service,"one of the new race track store with friendly staff, quick assistance, and excellent attention to customer needs.",service,ss207,environment
ss492_cf_products,"high-quality w / great value, affordable options, and a reliable design",products,ss492,environment
ss492_cf_price,"affordable w / great customer service , good value , and fair deals",price,ss492,environment
ss492_cf_service,"friendly w / attentive staff, fair pricing, and a relaxed approach",service,ss492,environment
ss257_cf_products,the meal was prepared quickly and was hot and fresh,products,ss257,service
ss257_cf_price,the meal felt like a great deal and was worth every penny,price,ss257,service
ss257_cf_environment,the space felt welcoming and was clean and well-maintained,environment,ss257,service
ss386_cf_price,everyone here is so friendly ! the whole establishment feels like a great deal and that 's exactly what it is . amazing value,price,ss386,products
ss386_cf_service,everyone here is so friendly ! the whole establishment feels welcoming and that 's exactly what it is . wonderful,service,ss386,products
ss386_cf_environment,everyone here is so friendly ! the whole place feels so welcoming and that 's exactly what it is . inviting,environment,ss386,products
ss109_cf_products,great americano and according to wife great flavor . sandwiches looked tasty but we had already eaten . cannoli was a great treat .,products,ss109,environment
ss109_cf_price,great americano and according to wife great value . sandwiches looked worth it but we had already eaten . cannoli was a great deal .,price,ss109,environment
ss109_cf_service,great americano and according to wife great attention to detail . sandwiches looked tasty but we had already eaten . cannoli was a great treat .,service,ss109,environment
ss33_cf_products,"the prices are reasonable, and the quality of what I’ve purchased has always been very satisfying",products,ss33,service
ss33_cf_price,"The costs are reasonable, and my experience with the overall value has always been very positive.",price,ss33,service
ss33_cf_environment,"the prices are reasonable, and my experience with the surroundings has always been very positive",environment,ss33,service
ss232_cf_products,"It is a surreal experience and profound in that you use for a few hours what a blind person would, designed by a blind person.",products,ss232,service
ss232_cf_price,"it is a surreal experience and profound in that you live for a few hours as a blind person would, with the cost reflecting the unique nature of the experience.",price,ss232,service
ss232_cf_environment,"it is a surreal experience and profound in that you live for a few hours as a blind person would, surrounded by the same conditions they navigate daily.",environment,ss232,service
ss427,this place has an abundance of selections the food is very fresh and the service is friendly highly recommend it great value for the money ! ,products,,
ss297,the main squeeze was definitely the value and quality of our meal . ,products,,
ss337,"the prices were reasonable , between $ 5-$10 per roll , but the rolls were just ok . ",price,,
ss179,the decor was cute and the service was quick . ,environment,,
ss52,pricey but high quality reminding me of the healdsburg bakery in northern california . i had the blueberry bread $ 4 . i will return . ,products,,
ss308,this place is only worth your time if you are looking for discount designer jeans ,price,,
ss317,awesome prices . fast staff . ,service,,
ss342,"i love that for things you order regularly you can establish a standing order and get a 5 % discount   milk , eggs , etc .   . ",price,,
ss323,"everything is a little pricey but the ingredients are great quality , so it 's worth it ",price,,
ss411,"they have a pretty decent selection of macarons as well , not as wide as le macaron , but definitely cheaper and just as good . ",products,,
ss427_cf_price,this place offers incredible deals everything feels worth it and the service is friendly highly recommend it great bang for your buck !,price,ss427,products
ss427_cf_service,this place offers a wide range of options the staff is very attentive and the experience is welcoming highly recommend it great value for the money !,service,ss427,products
ss427_cf_environment,this place has an abundance of natural beauty the surroundings are very well-maintained and the atmosphere is welcoming highly recommend it great place to spend time !,environment,ss427,products
ss297_cf_price,the main squeeze was definitely the affordability and worth of our meal .,price,ss297,products
ss297_cf_service,the main squeeze was definitely the attentiveness and care we received.,service,ss297,products
ss297_cf_environment,the main squeeze was definitely the beauty and harmony of our surroundings .,environment,ss297,products
ss337_cf_products,"the rolls were just ok, with a decent variety and average quality.",products,ss337,price
ss337_cf_service,"the staff was attentive, checking in between $ 5-$10 minutes, but the experience was just ok.",service,ss337,price
ss337_cf_environment,"the surroundings were pleasant, with a cozy vibe, but the rolls were just ok.",environment,ss337,price
ss179_cf_products,the design was cute and the quality was great .,products,ss179,environment
ss179_cf_price,the cost was reasonable and the value was great .,price,ss179,environment
ss179_cf_service,the staff was friendly and the food arrived quickly .,service,ss179,environment
ss52_cf_price,"expensive but worth it, reminding me of the healdsburg bakery in northern california . the $ 4 for the blueberry bread felt fair . i will return .",price,ss52,products
ss52_cf_service,pricey but attentive and excellent reminding me of the healdsburg bakery in northern california . they offered great care $ 4 . i will return .,service,ss52,products
ss52_cf_environment,pricey but charming atmosphere reminding me of the healdsburg bakery in northern california . i enjoyed the cozy vibe . i will return .,environment,ss52,products
ss308_cf_products,this place is only worth your time if you are looking for designer jeans,products,ss308,price
ss308_cf_service,this place is only worth your time if you are looking for help finding designer jeans,service,ss308,price
ss308_cf_environment,this place is only worth your time if you are looking for a calm and relaxing atmosphere,environment,ss308,price
ss317_cf_products,awesome deals . fast delivery .,products,ss317,service
ss317_cf_price,great deals . quick savings . ,price,ss317,service
ss317_cf_environment,great atmosphere . calm setting .,environment,ss317,service
ss342_cf_products,"i love that for items you order regularly you can establish a standing order for essentials like milk , eggs , etc .   .",products,ss342,price
ss342_cf_service,"i love that for things you order regularly you can establish a standing order and have them delivered consistently   milk , eggs , etc .   . ",service,ss342,price
ss342_cf_environment,"i love that for things you order regularly you can establish a standing order and reduce waste   milk , eggs , etc .   . ",environment,ss342,price
ss323_cf_products,"everything is a little fancy but the ingredients are great quality, so it 's worth it",products,ss323,price
ss323_cf_service,"everything takes a little time but the attention to detail is great , so it 's worth it",service,ss323,price
ss323_cf_environment,"everything is a little resource-intensive but the practices are sustainable, so it 's worth it",environment,ss323,price
ss411_cf_price,"they are definitely more affordable and just as good, even if the variety isn't as extensive as le macaron.",price,ss411,products
ss411_cf_service,"they offer a pretty decent experience with macarons as well , not as extensive as le macaron , but definitely more affordable and just as enjoyable .",service,ss411,products
ss411_cf_environment,"they have a pretty decent variety of green spaces as well, not as expansive as the larger parks, but definitely quieter and just as enjoyable.",environment,ss411,products
