id,text,label,original_id,original_label,v3_score,v3_rank,v3_score_breakdown
30,"Premise: A flourishing rice field near some buildings.
Hypothesis: The rice is growing well this season.",entailment,,,,,
55,"Premise: An aged woman is looking into the camera while the inside of her hut is shown.
Hypothesis: A woman with long grey hair looks at the camera while the inside of her hut is shown.",neutral,,,,,
70,"Premise: A man in jeans, a t-shirt, and a baseball cap is lying down on a wooden floor.
Hypothesis: There is a man lying on the floor.",entailment,,,,,
72,"Premise: Even in cooler weather men will get out and use their grills.
Hypothesis: Men are cooking in cool weather.",neutral,,,,,
75,"Premise: A young couple playfully playing in the park.
Hypothesis: Two people in a subway station.",contradiction,,,,,
148,"Premise: A man in a white shirt at a stand surrounded by beverages, fruits and lots of lemons.
Hypothesis: The man is selling food.",neutral,,,,,
153,"Premise: A woman in an outdoor marketplace, wearing a large cone shaped hat, standing behind two large baskets containing loaves of bread.
Hypothesis: A woman is at a marketplace.",entailment,,,,,
154,"Premise: A view of a nature during the daytime with large skyscrapers in the background.
Hypothesis: it is sunny outside",entailment,,,,,
157,"Premise: Many people have painted faces at night.
Hypothesis: The people are wearing costumes.",neutral,,,,,
180,"Premise: A man in a bathing suit sleeps on one ski while being pulled by a rope.
Hypothesis: A man is sleep.",entailment,,,,,
195,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.
Hypothesis: The man leapt to safety without letting go of his balloon.",contradiction,,,,,
199,"Premise: A girl is jogging down a deserted street.
Hypothesis: The street is empty but for one man",contradiction,,,,,
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,,,,,
275,"Premise: A man wearing dark knee boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building with a blue and white patterned piece of wheeled luggage to his right while he rests both his hands on a walking stick.
Hypothesis: A man is standing by himself next to a luggage at Mardi Gras.",contradiction,,,,,
325,"Premise: A man wearing black shorts with white stripes is swimming in the water.
Hypothesis: A man jumps.",contradiction,,,,,
382,"Premise: Four bearded men sitting in a restaurant smile at the camera.
Hypothesis: The men are sitting inside of a conference room.",contradiction,,,,,
391,"Premise: A brown dog leaps into a swimming pool.
Hypothesis: A brown fat dog is leaping into a pool.",neutral,,,,,
392,"Premise: two men sit at a encripted stone in the mountains.
Hypothesis: The men are outside in the mountains.",entailment,,,,,
414,"Premise: Two people playing with a volleyball in a pool.
Hypothesis: A couple people play with a ball in the water.",entailment,,,,,
424,"Premise: A pro-baseball pitcher sends a curve ball to his opponent while many fans relax and enjoy the game.
Hypothesis: The pitcher is playing baseball at the Dodgers stadium.",neutral,,,,,
426,"Premise: An old man in a pink polo looks through a telescope with a small child standing next to him while others stand with their telescopes in the background.
Hypothesis: An ugly old man in a pink polo looks through a telescope with a small child standing next to him",neutral,,,,,
118,"Premise: Dogs are working to package the hotdogs.
Hypothesis: A group of dogs working to package the food.",entailment,,,,,
343,"Premise: A solo shot of an athlete riding a four wheeler in an atv event.
Hypothesis: The man is entered in a event.",neutral,,,,,
24,"Premise: Six mature Asian men Smiling to the camera in their seats.
Hypothesis: Several adult Asian men are happy.",neutral,,,,,
332,"Premise: A woman is holding a bouquet of tissue paper flowers while two men look on from the porch.
Hypothesis: One girl watch a woman holding tissue paper flowers.",contradiction,,,,,
428,"Premise: A producer wearing a large leather jacket has to perform on stage with dramatic lighting behind him.
Hypothesis: the singer did not show up",neutral,,,,,
230,"Premise: Young men wave flags in a crowd outside of a glassy building.
Hypothesis: The men are waving flags near the tall building.",neutral,,,,,
278,"Premise: A group of attentive students are paying attention.
Hypothesis: Some students are attending a class.",neutral,,,,,
302,"Premise: A woman in a blue coat walks home along a sidewalk, in front of a subway sign.
Hypothesis: A woman heading home.",entailment,,,,,
274,"Premise: A man standing in front of a building on the phone as two girls walk out on the side.
Hypothesis: two girls walk through a hall",neutral,,,,,
240,"Premise: a perplexed man puts his hands up while telling an amusing story to his friend with a beard.
Hypothesis: The man is perplexed by the events.",entailment,,,,,
24_cf_contradiction_2,"Premise: Six mature Asian men smiling to the camera in their seats.  
Hypothesis: None of the adult Asian men are happy.",contradiction,24.0,neutral,1.499999999942869,1.0,"{'term1': 0.9999999999622481, 'term2': 0.499999999980621, 'term3': 0.0, 'total': 1.499999999942869, 'p_orig': 3.775195489133003e-11, 'p_target': 0.999999999961242, 'similarity': 0.9678136110305786}"
118_cf_contradiction_1,"Premise: Dogs are working to package the hotdogs.  
Hypothesis: There are no dogs involved in packaging the food.",contradiction,118.0,entailment,1.4999999996141034,2.0,"{'term1': 0.9999999999954912, 'term2': 0.4999999996186122, 'term3': 0.0, 'total': 1.4999999996141034, 'p_orig': 4.508834472143268e-12, 'p_target': 0.9999999992372244, 'similarity': 0.9044694304466248}"
343_cf_entailment_2,"Premise: A solo shot of an athlete riding a four wheeler in an atv event.  
Hypothesis: The athlete is participating in an event.",entailment,343.0,neutral,1.4999944099882494,3.0,"{'term1': 0.999996273329105, 'term2': 0.49999813665914444, 'term3': 0.0, 'total': 1.4999944099882494, 'p_orig': 3.7266708949620786e-06, 'p_target': 0.9999962733182889, 'similarity': 0.9672225713729858}"
278_cf_entailment_1,"Premise: A group of attentive students are paying attention.  
Hypothesis: Some students are focused on their class.",entailment,278.0,neutral,1.499931902750225,4.0,"{'term1': 0.9999546018334833, 'term2': 0.49997730091674164, 'term3': 0.0, 'total': 1.499931902750225, 'p_orig': 4.539816651670119e-05, 'p_target': 0.9999546018334833, 'similarity': 0.963694155216217}"
82,"Premise: A motocross rider does a trick on a black and yellow striped ramp.
Hypothesis: A MOTOCROSS RIDER IS JUMPING FROM A RAMP.",neutral,,,,,
279,"Premise: A blue delivery truck is parked in front of a white building on a street corner.
Hypothesis: The truck is parked by it.",neutral,,,,,
84,"Premise: A woman riding a scooter is in front of many other people riding scooters down the street.
Hypothesis: A woman is leading a group of people on scooters.",entailment,,,,,
403,"Premise: A child is enjoying the waterfowl on a fall day.
Hypothesis: There is more than one duck.",neutral,,,,,
213,"Premise: A crowd is on their way out after hugging a bride.
Hypothesis: The crowd is waiting for a bouquet .",contradiction,,,,,
91,"Premise: Man in green shirt and black pants is jumping in the laundry room.
Hypothesis: A man is jumping on a table in the laundry room.",neutral,,,,,
79,"Premise: A woman is cutting something with scissors.
Hypothesis: A woman uses a tool to dissect mice.",neutral,,,,,
243,"Premise: A frowning man on a horse in front of brush and woods.
Hypothesis: A man enjoys a day in the woods with his horse.",contradiction,,,,,
198,"Premise: A man in a safety vest and black hat wearing rubber gloves is crouched down on a corner of an intersection, doing something with a stick.
Hypothesis: A man is dressed in a way to be as safe as possible.",entailment,,,,,
139,"Premise: A person in a crowd is expressing their opinion.
Hypothesis: A woman in a crowd is expressing his opinion.",neutral,,,,,
79_cf_contradiction_1,"Premise: A woman is cutting something with scissors.  
Hypothesis: A woman is not using any tools at all.",contradiction,79.0,neutral,1.499999999991481,1.0,"{'term1': 0.9999999999954912, 'term2': 0.4999999999959899, 'term3': 0.0, 'total': 1.499999999991481, 'p_orig': 4.508834475546335e-12, 'p_target': 0.9999999999919797, 'similarity': 0.831932544708252}"
82_cf_contradiction_2,"Premise: A motocross rider does a trick on a black and yellow striped ramp.  
Hypothesis: A MOTOCROSS RIDER IS NOT JUMPING FROM A RAMP.",contradiction,82.0,neutral,1.4999999998443136,2.0,"{'term1': 0.9999999998973796, 'term2': 0.499999999946934, 'term3': 0.0, 'total': 1.4999999998443136, 'p_orig': 1.0262038393509064e-10, 'p_target': 0.999999999893868, 'similarity': 0.9628255367279053}"
91_cf_entailment_1,"Premise: Man in green shirt and black pants is jumping in the laundry room.  
Hypothesis: A man wearing a green shirt is jumping in the laundry room.",entailment,91.0,neutral,1.4999999877603671,3.0,"{'term1': 0.9999999918478772, 'term2': 0.4999999959124898, 'term3': 0.0, 'total': 1.4999999877603671, 'p_orig': 8.152122778260488e-09, 'p_target': 0.9999999918249796, 'similarity': 0.9491689801216125}"
139_cf_contradiction_1,"Premise: A person in a crowd is expressing their opinion.  
Hypothesis: A woman in a crowd is silent.",contradiction,139.0,neutral,1.4999994800395131,4.0,"{'term1': 0.9999996533637608, 'term2': 0.49999982667575227, 'term3': 0.0, 'total': 1.4999994800395131, 'p_orig': 3.4663623918267954e-07, 'p_target': 0.9999996533515045, 'similarity': 0.943376898765564}"
