id,text,label
ss73,too many other places to shop with better prices . ,price
ss104,the food and drinks are priced well . ,price
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products
ss280,lots of picnic tables outside with lots of bees and flies buzzing around . ,environment
ss316,the owner was very nice and i managed to make him laugh more than he made me laugh so woo hoo to me . ,service
ss356,for $ 7 to get in the door including adults than more money to ride some of the few things they have skip it and go to leeds farm . ,price
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products
ss371,nicole and alison at the front were extremely welcoming when i arrived and made me feel very comfortable . ,service
ss374,the black eyes peas and cornbread are delicious ! ,products
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products
ss388,environment was lively and diverse . ,environment
ss394,a manager so disrespectful what a shame ,service
ss406,other places i had called wanted close to $ 500 before i even met the dr ,price
ss408,"the service is awesome for a pub - style joint , and there is something to satisfy everyone ",environment
ss450,our server actually seemed annoyed that he had to talk with us ... just another table and more faces ... more orders ... move it along . ,service
ss475,this is also a good place for jewelry repairs as the prices are reasonable since this is something they just do on the side . ,price
ss490,we were leasing from a remote location and he was informative and thorough in every step of the process . ,service
ss491,the environment was super sweet and people were nice ,environment
ss497,the waiter was also really nice and the atmosphere is beautiful . ,environment
ss386,everyone here is so friendly ! the whole establishment smells like great food and that 's exactly what it is . delicious ,products
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish ,environment
ss183,great food and service ! ! ! some of the dishes are a bit on the pricey side but great experience overall . ,products
ss472,limited beer selection and food is over priced . service and atmosphere were good though . ,environment
ss12,the food was great . the waiter was friendly and attentive . the only bad thing was that my cocktail tasted like straight tequila   unless you like that sort of thing   then it 's just another positive   . ,products
ss257,the food came out quickly and was hot and fresh ,service
ss6,i purchased a gibeon meteorite and black zirconium wedding band from rings unique for approximately $ 1200 . ,products
ss479,"there 's nothing striking about the environment or decor here , but do not leave without trying the dried , sautéed green beans ",environment
ss395,blain did an excellent job on our grout sealant at a great price . ,service
ss232,"it is a surreal experience and profound in that you live for a few hours as a blind person would , being served by a blind person . ",service
ss492,"friendly w / great customer service , reasonable prices , and a chill atmosphere ",environment
ss149,always plenty of choices well stocked . very helpful customer service . ,products
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok . ,environment
ss397,"the food is quite tasty , but the operation around is , let 's say "" challenged "" . ",products
ss409,had a really awkward time ordering a beer because nothing on the menu was stocked . ,products
ss463,i tried them out today for the first time . food was great and all the staff was very friendly . ,products
ss109,great americano and according to wife great ambiance . sandwiches looked tasty but we had already eaten . cannoli was a great treat . ,environment
ss209,not the cheapest but fresh and delicious ! love the veggie green machine . ,products
ss151,"good service , had omelette and guava pastry , highly recommend ",products
ss411,"they have a pretty decent selection of macarons as well , not as wide as le macaron , but definitely cheaper and just as good . ",products
ss480,my daughter brought me here for my birthday . had so much fun i did not recall leaving ! great selection . ,none
ss273,the staff was very friendly and they have a wide selection of drinks . ,products
ss91,"delicious food , friendly people , quick . ",service
ss378,"he ordered the tires , gave me a great price and it was done that same day . ",service
ss242,fantastic office with amazing staff ,service
ss35,"they do not fill up your ice cream because they say they leave room so you can take your cap off , what about the big hole in the center of the lid ? ",products
ss148,"i travel the world as part of my job "" and relax station is now a "" must do "" when in boston . "" ",none
ss308,this place is only worth your time if you are looking for discount designer jeans ,price
ss284,"my other dining companions seemed pleased with their food   one ordered a veal marsala that i did not try and the other - my favorite - ordered off the menu , actually , a request they were kind enough to accommodate - it was gnocchi caprese with pesto sauce instead of tomato sauce , and it was gooeyyummydelicious   ! ",products
ss207,one of the new race track store with an amazing selection good hot food great coffee and very clean bathrooms . ,environment
ss147,it 's wheelchair - accessible ,environment
ss314,i was able to get a next day appointment .   had my rear window replaced and it came out great .   price was competitive . ,price
ss92,always amazing food and amazing service ! ! they have good drinks and one of the beat paella in town ,products
ss120,home run on everything -- food drink atmosphere . for oyster lovers a meal at neptune is a religious experience . ,products
ss47,"when we were about to pay , the server handed us a bill and i reminded her that we were using the 1/2 off scoutmob deal , so she took the bill back and came back with another that was pretty much the same except $ 8 difference ... really ? ! ? ",service
ss405,great pad thai with tofu . will be definitely coming back for more . amazing customer service . ,products
ss252,5 - stars for the food 4 - stars for the service   sometimes   3 - stars for the noise . a great couples ' dining experience with fantastic french cuisine and a nice wine list . it has a very european feel . ,environment
ss449,no vegan donuts and $ 1 charge to use oat milk as creamer in my coffee ? no thanks ! i get the draw but as a vegan this place is unfriendly . ,products
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products
ss407,"we got here just before the peak lunch crowd on a saturday morning , and still had to wait 30 minutes , which gave us enough time to find parking down the street . ",environment
ss125,the lines may be long at times ,service
ss105,"i was looking for golf shoes , and found some that felt good and fit well but had no price . ",products
ss51,"service is attentive and friendly , food is consistently good , and i ca n't think of a better place to watch sports ",service
ss43,"great customer service , great food that is fresh and cooked to order . ",service
ss424,"yuk . untuckit shirts fit my 5 ' 8 : husband to a glove- perfect . but the fabric is awfully cheap for a $ 90 + shirt "" and has a "" perma - smell "" that leads us to avoid this product . ” ",products
ss258,me : then why did you tell me they were on discount ? ,price
ss453,are they still open ? no web site and the phone number does n't work . ,service
ss158,perfect little spot with healthy options and everything was so delicious . ,environment
ss14,"rodney and his crew gave us a great price and did the work so quick , literally , it was done before we knew it ",service
ss342,"i love that for things you order regularly you can establish a standing order and get a 5 % discount   milk , eggs , etc .   . ",price
ss345,"dear hyatt place , if you are going to charge $ 75 for a pet fee , then tell me that my pet is n't allowed through the front door and lobby ",price
ss9,omg . love this place . amazing food great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ,products
ss55,reat product for the money ! ! if you ever have a problem   do n't fret . customer service is a+ ! definitely would recommend this company ! ! ! ,products
ss367,"i completed my order of a $ 9 vegetable platter off of the "" hot bar "" with green beans , rice and lentils , and chickpeas and eggplant . ",products
ss427,this place has an abundance of selections the food is very fresh and the service is friendly highly recommend it great value for the money ! ,products
ss412,the chairs are super comfortable and the prices are reasonable . ,environment
ss341,"bubble teas are not so good ; they are cheap , so they are probably just right for the price . ",products
ss329,"my parents told me a horror story about their friends ' wedding photographer , who insisted on always getting the shot he wanted . ",service
ss350,"great chicken , but go during a weekday lunch time to avoid the crowds ",products
ss145,seriously unless you are seconds from starvation save your money and walk 3 - 4 blocks to the upper crust in the south end . their pizza is awful and the service is cavalier . ,products
ss401,there 's no place to change a baby 's diaper   no changing tables   ,environment
ss25,"not only do these wonderful people create food to come back for again and again , but the price is right ! ",service
ss33,"the prices are reasonable , and my experience with the customer service has always been very positive ",service
ss245,"they also sell single beads that range from $ 4 to $ 50 depending on the stone , gem , or complexity . most of these appeared to be semi - precious . ",products
ss11,this particular location has a good check in deal . ,price
ss141,this place was just okay . the service is really great but i felt that the food was nothing special . ,products
ss262,"their service price is on the higher - end , but their work is seamless , clean , professional , and complete ",service
ss60,fabulous service and awesome food ,service
ss393,no real depth to their selection but the price is right and they will have at least something for everyone ... ,price
ss70,wish i could give it more . everything about this restaurant was a big negative . the food was bland and service was terrible . ,products
ss297,the main squeeze was definitely the value and quality of our meal . ,products
ss157,the food quality is average and their service is slower than slow ,service
ss52,pricey but high quality reminding me of the healdsburg bakery in northern california . i had the blueberry bread $ 4 . i will return . ,products
ss489,i then had my consultation with dr. kruy directly .... and it was free ! ,service
ss464,"service was awful , bathrooms were filthy and wellesley 's stupid blue law about requiring every patron to order food while drinking is absurb . ",environment
ss452,"i am very dissatisfied with the customer service but on a positive note , i have no problem with the tanning equipment ",service
ss23,great place to leave your little one . affordable and friendly staff . we are very happy to have them available . ,service
ss54,"they always have cheap movies - lots of recent run films , but some older stuff too . ",products
ss122,the lady was so nice to throw in a complementary coffee flavored madeleine fresh out of the oven ,service
ss306,"all you can say is yuuummmmmmmmyy , the line was n't bad given we were there around 3 pm ",service
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products
ss186,awesome service   clean restaurant good food . since i am middle eastern i would like a little bit more flavor . but my friends loved it :  ,environment
ss337,"the prices were reasonable , between $ 5-$10 per roll , but the rolls were just ok . ",price
ss323,"everything is a little pricey but the ingredients are great quality , so it 's worth it ",price
ss267,they have an awesome return policy which makes me confident about the stuff i buy there . ,service
ss8,only downside : three entrees served simultaneously but fourth   beet/ goat cheese ravioli   was 2 - 3 minutes later which allowed my accompaniments   delicious creamy polenta   to cool off to much . ,products
ss381,very disappointed in the meals and price ,price
ss340,yes ! sunshine roll and a seaweed salad for ten bucks ,products
ss250,nothing to write home about . food was ok but not worth the price . not sure what all the hype is about . ,products
ss249,the meal was delicious    and reasonably priced . ,price
ss179,the decor was cute and the service was quick . ,environment
ss4,prices are high the bud is not the best . ,products
ss328,he gave me some great ideas with different price points . ,price
ss48,"for the amenities and $ paid , it 's small . ",price
ss164,their local pickup option saves shipping costs ,price
ss34,"they offer a variety of leagues and training options with some discounts   about 10 %   for ubc students , staff , faculty and una residents . ",products
ss198,"the food is good but not amazing and at the price , it should be spectacular ",products
ss313,all you need to know is 16 $ bottomless mimosas . i do n't even remember how the food tasted . go for the mimosas ,products
ss416,very expensive for a plastic cup togo dessert but ... disney . the salted caramel sundae was really good . share it ! ,service
ss181,really nice . quiet . reliably friendly . inexpensive . a place to think or reconnect with good friends . patio can be hot . great waitress . ,environment
