id,example,Label
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products
ss374,the black eyes peas and cornbread are delicious ! ,products
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products
ss73,too many other places to shop with better prices . ,price
ss104,the food and drinks are priced well . ,price
ss406,other places i had called wanted close to $ 500 before i even met the dr ,price
ss356,for $ 7 to get in the door including adults than more money to ride some of the few things they have skip it and go to leeds farm . ,price
ss475,this is also a good place for jewelry repairs as the prices are reasonable since this is something they just do on the side . ,price
ss394,a manager so disrespectful what a shame ,service
ss450,our server actually seemed annoyed that he had to talk with us ... just another table and more faces ... more orders ... move it along . ,service
ss371,nicole and alison at the front were extremely welcoming when i arrived and made me feel very comfortable . ,service
ss316,the owner was very nice and i managed to make him laugh more than he made me laugh so woo hoo to me . ,service
ss490,we were leasing from a remote location and he was informative and thorough in every step of the process . ,service
ss388,environment was lively and diverse . ,environment
ss408,"the service is awesome for a pub - style joint , and there is something to satisfy everyone ",environment
ss491,the environment was super sweet and people were nice ,environment
ss280,lots of picnic tables outside with lots of bees and flies buzzing around . ,environment
ss497,the waiter was also really nice and the atmosphere is beautiful . ,environment
