id,text,label
ss73,too many other places to shop with better prices . ,price
ss104,the food and drinks are priced well . ,price
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products
ss280,lots of picnic tables outside with lots of bees and flies buzzing around . ,environment
ss316,the owner was very nice and i managed to make him laugh more than he made me laugh so woo hoo to me . ,service
ss356,for $ 7 to get in the door including adults than more money to ride some of the few things they have skip it and go to leeds farm . ,price
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products
ss371,nicole and alison at the front were extremely welcoming when i arrived and made me feel very comfortable . ,service
ss374,the black eyes peas and cornbread are delicious ! ,products
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products
ss388,environment was lively and diverse . ,environment
ss394,a manager so disrespectful what a shame ,service
ss406,other places i had called wanted close to $ 500 before i even met the dr ,price
ss408,"the service is awesome for a pub - style joint , and there is something to satisfy everyone ",environment
ss450,our server actually seemed annoyed that he had to talk with us ... just another table and more faces ... more orders ... move it along . ,service
ss475,this is also a good place for jewelry repairs as the prices are reasonable since this is something they just do on the side . ,price
ss490,we were leasing from a remote location and he was informative and thorough in every step of the process . ,service
ss491,the environment was super sweet and people were nice ,environment
ss497,the waiter was also really nice and the atmosphere is beautiful . ,environment
ss235,the young guys that worked on the house were very professional and polite . ,service
ss9,omg . love this place . amazing food great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ,products
ss417,"the staff is very kind and knowledgeable , and they remember my pup 's name when i bring him in . ",service
ss218,unfortunately several times its been undercooked where literally another 90sec would ' ve made it awesome ,products
ss33,"the prices are reasonable , and my experience with the customer service has always been very positive ",service
ss353,great place for families ! clean safe and fun for all ages ! ! ,environment
ss349,"rude , unprofessional and disrespectful . ",service
ss26,it was very affordable too . ,price
ss437,"no sense in calling the head manager or owner , you wo n't get a response ",service
ss149,always plenty of choices well stocked . very helpful customer service . ,products
ss405,great pad thai with tofu . will be definitely coming back for more . amazing customer service . ,products
ss83,overrated crowded just okay . the staff was no where to be found when something was needed water glasses always empty will not return here . ,environment
ss313,all you need to know is 16 $ bottomless mimosas . i do n't even remember how the food tasted . go for the mimosas ,products
ss456,i came on my lunch break and i was impressed with fast friendly service ,service
ss16,unassuming exterior but very nice nice interior - lots of cool art and very spacious ! ,service
ss458,they have added some new smoothie flavors but i still stick to my standard . ,products
ss208,it was a little last minute and they were extremely accommodating . ,service
ss334,this mall actually feels like one in las vegas . ,environment
ss3,the service is extremely friendly . ,service
ss464,"service was awful , bathrooms were filthy and wellesley 's stupid blue law about requiring every patron to order food while drinking is absurb . ",environment
ss278,service generally was slow and unknowledgeable . ,service
ss273,the staff was very friendly and they have a wide selection of drinks . ,products
ss129,customer service was lacking in terms of front desk staff but the student that i got was terrific and did a good job with my haircut . ,service
ss116,amazing selection of micro brews ! try the fried pickles :  ,products
ss430,"i got a margherita panini , which is one of their many veggie options , and my husband had a bison burger . ",products
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products
ss227,"we tried the wings , the prawn clay pot and the crepe . ",products
ss283,"i assumed because they are located next to intel ,    they figured they could charge a ridiculous price for a style . ",price
ss401,there 's no place to change a baby 's diaper   no changing tables   ,environment
ss444,i have strict dietary needs and a manager was so helpful at looking up the info for me . ,service
ss285,the staff is always friendly and they make you feel comfortable even when you 're getting uncomfortable work done . ,service
ss248,i bought a living social deal $ 30 for $ 60 awhile back . ,products
ss420,he was super friendly and helpful and made me feel welcomed . ,service
ss309,my only complaint is i do n't like leaving there smelling like smoke and steak .   i wish their ventilation was a lot better . ,environment
ss217,there was a french lady in that day and she really knew her stuff . she was so friendly and full of smiles . ,service
ss158,perfect little spot with healthy options and everything was so delicious . ,environment
ss105,"i was looking for golf shoes , and found some that felt good and fit well but had no price . ",products
ss443,"we never get utensils , and it takes a great deal of effort to flag anyone down for refills or to order food ",service
ss367,"i completed my order of a $ 9 vegetable platter off of the "" hot bar "" with green beans , rice and lentils , and chickpeas and eggplant . ",products
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products
ss74,"so when i moved my leg the wax got all over my sock and instead of apologizing for putting them in a spot it should n't have been , she told me to be careful ! ",service
ss419,they need to chill on their prices . ,price
ss261,the location is spacious and there are lots of car on display to view and sit inside . ,environment
ss38,delicious !   finally got to go after waiting 2 years !   i 'm from the san francisco area .   i got the yakisoba dog . ,products
ss474,"the service provider was very polite , professional , and considerate of being clean   he was courteous enough to remove his shoes before entering my home without me having to ask   ",service
ss426,over charge and unfriendly when you ask about one thing or another 's price being too excessive or not on par with the local market ,service
ss275,the flavors were not the best and the froyo itself was watery . ,products
ss376,they have jamaican beef patties ,products
ss244,burgers were great and they had a large variety . ,products
ss220,the waitress we had did not ask if we would like another drink before brining us our check . ,service
