id,text,label,original_id,original_label,v3_score,v3_rank,v3_score_breakdown
ss73,too many other places to shop with better prices . ,price,,,,,
ss104,the food and drinks are priced well . ,price,,,,,
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,,,,,
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,,,,,
ss280,lots of picnic tables outside with lots of bees and flies buzzing around . ,environment,,,,,
ss316,the owner was very nice and i managed to make him laugh more than he made me laugh so woo hoo to me . ,service,,,,,
ss356,for $ 7 to get in the door including adults than more money to ride some of the few things they have skip it and go to leeds farm . ,price,,,,,
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,,,,,
ss371,nicole and alison at the front were extremely welcoming when i arrived and made me feel very comfortable . ,service,,,,,
ss374,the black eyes peas and cornbread are delicious ! ,products,,,,,
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,,,,,
ss388,environment was lively and diverse . ,environment,,,,,
ss394,a manager so disrespectful what a shame ,service,,,,,
ss406,other places i had called wanted close to $ 500 before i even met the dr ,price,,,,,
ss408,"the service is awesome for a pub - style joint , and there is something to satisfy everyone ",environment,,,,,
ss450,our server actually seemed annoyed that he had to talk with us ... just another table and more faces ... more orders ... move it along . ,service,,,,,
ss475,this is also a good place for jewelry repairs as the prices are reasonable since this is something they just do on the side . ,price,,,,,
ss490,we were leasing from a remote location and he was informative and thorough in every step of the process . ,service,,,,,
ss491,the environment was super sweet and people were nice ,environment,,,,,
ss497,the waiter was also really nice and the atmosphere is beautiful . ,environment,,,,,
ss227,"we tried the wings , the prawn clay pot and the crepe . ",products,,,,,
ss492,"friendly w / great customer service , reasonable prices , and a chill atmosphere ",environment,,,,,
ss143,"the rooms are nice , spacious and cozy . the huge 42 inch flat screen tv mounted to the wall made it covienent to watch tv from the cozy sectional or while in bed ",environment,,,,,
ss334,this mall actually feels like one in las vegas . ,environment,,,,,
ss351,"they do not accept reservations , but it is worth the wait . ",service,,,,,
ss281,"  all was tasty , but oatmeal was like hot water with flavor ",products,,,,,
ss297,the main squeeze was definitely the value and quality of our meal . ,products,,,,,
ss128,the product itself is a repellent combination of over intense flavours ,products,,,,,
ss218,unfortunately several times its been undercooked where literally another 90sec would ' ve made it awesome ,products,,,,,
ss309,my only complaint is i do n't like leaving there smelling like smoke and steak .   i wish their ventilation was a lot better . ,environment,,,,,
ss297_cf_price_2,The main squeeze was definitely the affordability and worth of our meal.,price,ss297,products,1.7711113095266062,1.0,"{'term1': 0.99999999999886, 'term2': 0.4999999999993953, 'term3': 0.27111130952835083, 'total': 1.7711113095266062, 'p_orig': 1.1400129407500225e-12, 'p_target': 0.9999999999987906, 'similarity': 0.9037043452262878}"
ss297_cf_price_0,the main squeeze was definitely the affordability and worth of our meal .,price,ss297,products,1.771111309514932,2.0,"{'term1': 0.9999999999915764, 'term2': 0.4999999999950047, 'term3': 0.27111130952835083, 'total': 1.771111309514932, 'p_orig': 8.423608240301272e-12, 'p_target': 0.9999999999900094, 'similarity': 0.9037043452262878}"
ss297_cf_price_1,the main squeeze was definitely the affordability and worth of our meal .,price,ss297,products,1.7711113095132496,3.0,"{'term1': 0.9999999999904549, 'term2': 0.49999999999444394, 'term3': 0.27111130952835083, 'total': 1.7711113095132496, 'p_orig': 9.54519784415221e-12, 'p_target': 0.9999999999888879, 'similarity': 0.9037043452262878}"
ss334_cf_service_0,this mall actually treats customers like one in las vegas .,service,ss334,environment,1.7558388780370646,4.0,"{'term1': 0.9995694406384611, 'term2': 0.4997847202679424, 'term3': 0.256484717130661, 'total': 1.7558388780370646, 'p_orig': 0.00043055936153895986, 'p_target': 0.9995694405358848, 'similarity': 0.8549490571022034}"
ss334_cf_service_2,this mall actually treats you like one in las vegas .,service,ss334,environment,1.7495131064574063,5.0,"{'term1': 0.99142248617122, 'term2': 0.49571124220581836, 'term3': 0.26237937808036804, 'total': 1.7495131064574063, 'p_orig': 0.008577513828779994, 'p_target': 0.9914224844116367, 'similarity': 0.8745978474617004}"
ss218_cf_service_0,Unfortunately several times the timing has been off where literally another 90sec would 've made it awesome.,service,ss218,products,1.72539805228831,6.0,"{'term1': 0.9999785549026269, 'term2': 0.4999892770201586, 'term3': 0.2254302203655243, 'total': 1.72539805228831, 'p_orig': 2.1445097373078956e-05, 'p_target': 0.9999785540403172, 'similarity': 0.7514340281486511}"
ss143_cf_products_2,"The design is sleek, functional, and comfortable. The huge 42-inch flat-screen TV mounted to the wall made it convenient to enjoy entertainment from the cozy sectional or while relaxing in bed.",products,ss143,environment,1.449210501549552,7.0,"{'term1': 0.8175743168181248, 'term2': 0.4087871584090624, 'term3': 0.2228490263223648, 'total': 1.449210501549552, 'p_orig': 0.18242568318187527, 'p_target': 0.8175743168181248, 'similarity': 0.7428300380706787}"
ss334_cf_service_1,this mall actually treats you like you're in las vegas .,service,ss334,environment,1.0986757211054832,8.0,"{'term1': 0.5621764678775876, 'term2': 0.28108822436589614, 'term3': 0.2554110288619995, 'total': 1.0986757211054832, 'p_orig': 0.4378235321224124, 'p_target': 0.5621764487317923, 'similarity': 0.851370096206665}"
ss432,lots of free parking in the rear of the restaurant . ,environment,,,,,
ss466,prices were reasonable and mission accomplished ! ,price,,,,,
ss317,awesome prices . fast staff . ,service,,,,,
ss105,"i was looking for golf shoes , and found some that felt good and fit well but had no price . ",products,,,,,
ss415,"the only negatives are that the inside is really small , so seating is incredibly cramped and could not accommodate groups ",environment,,,,,
ss262,"their service price is on the higher - end , but their work is seamless , clean , professional , and complete ",service,,,,,
ss326,adult tickets are $ 13.50 but they have military discount . ,price,,,,,
ss314,i was able to get a next day appointment .   had my rear window replaced and it came out great .   price was competitive . ,price,,,,,
ss152,i really enjoyed   non - sarcastically   having an overpriced drink here because it reminded me of new york . ,environment,,,,,
ss373,"jeff and his team were fairly priced   we looked at 3 pest companies   , hard workers and provided excellent service throughout the job . ",service,,,,,
ss314_cf_service_1,i was able to get a next day appointment .   had my rear window replaced and it came out great .   they were efficient and helpful throughout . ,service,ss314,price,1.7736782421190962,1.0,"{'term1': 0.9999999998973796, 'term2': 0.4999999990614687, 'term3': 0.2736782431602478, 'total': 1.7736782421190962, 'p_orig': 1.0262038375335705e-10, 'p_target': 0.9999999981229374, 'similarity': 0.9122607707977295}"
ss314_cf_service_2,i was able to get a next day appointment .   had my rear window replaced and it came out great .   the process was smooth and efficient .,service,ss314,price,1.770941524974583,2.0,"{'term1': 0.9999999998682328, 'term2': 0.49999999940864204, 'term3': 0.27094152569770813, 'total': 1.770941524974583, 'p_orig': 1.3176715894266607e-10, 'p_target': 0.9999999988172841, 'similarity': 0.9031383395195007}"
ss314_cf_service_0,i was able to get a next day appointment .   had my rear window replaced and it came out great .   the process was smooth .,service,ss314,price,1.7625333645877252,3.0,"{'term1': 0.9999999998308077, 'term2': 0.4999999980767722, 'term3': 0.26253336668014526, 'total': 1.7625333645877252, 'p_orig': 1.6919235226450592e-10, 'p_target': 0.9999999961535444, 'similarity': 0.8751112222671509}"
ss262_cf_price_0,"their rates are on the higher-end, but the value is seamless, clean, professional, and complete",price,ss262,service,1.7544797370296856,4.0,"{'term1': 0.999998790122855, 'term2': 0.4999993928754586, 'term3': 0.25448155403137207, 'total': 1.7544797370296856, 'p_orig': 1.2098771449793356e-06, 'p_target': 0.9999987857509172, 'similarity': 0.8482717871665955}"
ss415_cf_service_2,"the only negatives are that the staff struggled to manage seating arrangements, making it difficult to accommodate groups comfortably",service,ss415,environment,1.748547531074838,5.0,"{'term1': 0.9999996072097329, 'term2': 0.49999980360486646, 'term3': 0.24854812026023865, 'total': 1.748547531074838, 'p_orig': 3.927902670562768e-07, 'p_target': 0.9999996072097329, 'similarity': 0.8284937143325806}"
ss152_cf_price_1,i really enjoyed   non - sarcastically   having an expensive drink here because it felt worth every penny .,price,ss152,environment,1.745072884447327,6.0,"{'term1': 0.9999996535131809, 'term2': 0.499784531068805, 'term3': 0.2452886998653412, 'total': 1.745072884447327, 'p_orig': 3.46486819144548e-07, 'p_target': 0.99956906213761, 'similarity': 0.8176289796829224}"
ss373_cf_price_0,"jeff and his team offered great value   we looked at 3 pest companies   , hard workers and stayed within our budget throughout the job .",price,ss373,service,1.7447692637583474,7.0,"{'term1': 0.9859363364328136, 'term2': 0.4929681676419247, 'term3': 0.265864759683609, 'total': 1.7447692637583474, 'p_orig': 0.014063663567186331, 'p_target': 0.9859363352838494, 'similarity': 0.8862158060073853}"
ss432_cf_service_0,assistance with parking is available in the rear of the restaurant.,service,ss432,environment,1.7406878651163729,8.0,"{'term1': 0.9999996940945544, 'term2': 0.4999998470472092, 'term3': 0.24068832397460938, 'total': 1.7406878651163729, 'p_orig': 3.059054455867847e-07, 'p_target': 0.9999996940944184, 'similarity': 0.8022943735122681}"
ss152_cf_price_0,i really enjoyed   non - sarcastically   having an expensive drink here because it felt worth it for the experience .,price,ss152,environment,1.6915678303301904,9.0,"{'term1': 0.9627023978129646, 'term2': 0.4809578982755494, 'term3': 0.24790753424167633, 'total': 1.6915678303301904, 'p_orig': 0.037297602187035386, 'p_target': 0.9619157965510988, 'similarity': 0.826358437538147}"
ss373_cf_price_1,"Jeff and his team offered great value   we compared 3 pest companies   , worked efficiently and ensured we got our money's worth throughout the job .",price,ss373,service,1.6040205364214768,10.0,"{'term1': 0.904650401715147, 'term2': 0.452325198883843, 'term3': 0.24704493582248688, 'total': 1.6040205364214768, 'p_orig': 0.09534959828485304, 'p_target': 0.904650397767686, 'similarity': 0.8234831094741821}"
ss427,this place has an abundance of selections the food is very fresh and the service is friendly highly recommend it great value for the money ! ,products,,,,,
ss78,i love this restaurant all of my experiences there have been great . i encourage everyone to try it someday but beware it 's pricy . ,price,,,,,
ss480,my daughter brought me here for my birthday . had so much fun i did not recall leaving ! great selection . ,none,,,,,
ss468,"large selection of your standard beers , liquors and wines ... ",products,,,,,
ss12,the food was great . the waiter was friendly and attentive . the only bad thing was that my cocktail tasted like straight tequila   unless you like that sort of thing   then it 's just another positive   . ,products,,,,,
ss141,this place was just okay . the service is really great but i felt that the food was nothing special . ,products,,,,,
ss438,"the place was beautiful , immaculately clean , comfortable bedding   lovely sheets   and breakfast was delicious . ",environment,,,,,
ss10,beef tasted really good . it was clean . staff was friendly . selection is good . we were very happy with   wahlburgers . ,environment,,,,,
ss188,the portions are perfectly sized to fill you up without any leftovers . ,products,,,,,
ss350,"great chicken , but go during a weekday lunch time to avoid the crowds ",products,,,,,
ss78_cf_environment_1,i love this restaurant all of my experiences there have been great . i encourage everyone to try it someday but beware it 's quite crowded .,environment,ss78,price,1.789792868284768,1.0,"{'term1': 0.9999999992417518, 'term2': 0.49998784418072667, 'term3': 0.28980502486228943, 'total': 1.789792868284768, 'p_orig': 7.58248284210217e-10, 'p_target': 0.9999756883614533, 'similarity': 0.9660167098045349}"
ss78_cf_environment_0,i love this restaurant all of my experiences there have been great . i encourage everyone to try it someday but beware it 's quite crowded .,environment,ss78,price,1.789791251822559,2.0,"{'term1': 0.9999999996839161, 'term2': 0.4999862272763535, 'term3': 0.28980502486228943, 'total': 1.789791251822559, 'p_orig': 3.160838865796361e-10, 'p_target': 0.999972454552707, 'similarity': 0.9660167098045349}"
ss10_cf_products_0,beef tasted really good . it was fresh . flavors were great . quality is good . we were very happy with wahlburgers .,products,ss10,environment,1.7685202324876457,3.0,"{'term1': 0.9999999976643753, 'term2': 0.49999999880795043, 'term3': 0.2685202360153198, 'total': 1.7685202324876457, 'p_orig': 2.335624710125576e-09, 'p_target': 0.9999999976159009, 'similarity': 0.8950674533843994}"
ss10_cf_products_2,beef was high quality . it was fresh . flavors were great . variety is impressive . we were very happy with wahlburgers .,products,ss10,environment,1.762902191684914,4.0,"{'term1': 0.9999999943971309, 'term2': 0.49999999706576753, 'term3': 0.2629022002220154, 'total': 1.762902191684914, 'p_orig': 5.602869095888896e-09, 'p_target': 0.9999999941315351, 'similarity': 0.8763406276702881}"
ss10_cf_products_1,beef was high quality . it was fresh . flavors were excellent . variety is impressive . we were very happy with wahlburgers .,products,ss10,environment,1.7625297521495515,5.0,"{'term1': 0.9999999943971309, 'term2': 0.4999999971532843, 'term3': 0.26252976059913635, 'total': 1.7625297521495515, 'p_orig': 5.602869096869586e-09, 'p_target': 0.9999999943065686, 'similarity': 0.8750991821289062}"
ss438_cf_products_0,"the items were beautiful, immaculately crafted, comfortable bedding, lovely sheets, and breakfast ingredients were delicious.",products,ss438,environment,1.7490467674533903,6.0,"{'term1': 0.999999946841522, 'term2': 0.4999999733876327, 'term3': 0.24904684722423553, 'total': 1.7490467674533903, 'p_orig': 5.315847794642067e-08, 'p_target': 0.9999999467752654, 'similarity': 0.830156147480011}"
ss12_cf_service_1,the staff was great . the waiter was friendly and attentive . the only bad thing was that the bartender made my cocktail taste like straight tequila   unless you like that sort of thing   then it 's just another positive   . ,service,ss12,products,1.7475603810696803,7.0,"{'term1': 0.9998601770647142, 'term2': 0.49993008827181934, 'term3': 0.24777011573314667, 'total': 1.7475603810696803, 'p_orig': 0.00013982293528585086, 'p_target': 0.9998601765436387, 'similarity': 0.8259003758430481}"
ss12_cf_service_0,the experience was great . the staff was friendly and attentive . the only bad thing was that the bartender made my cocktail taste like straight tequila   unless you like that sort of thing   then it 's just another positive   . ,service,ss12,products,1.7357075977212897,8.0,"{'term1': 0.9994472185822009, 'term2': 0.49972359317889137, 'term3': 0.23653678596019745, 'total': 1.7357075977212897, 'p_orig': 0.0005527814177990905, 'p_target': 0.9994471863577827, 'similarity': 0.7884559035301208}"
ss350_cf_environment_0,"great atmosphere, but go during a weekday lunch time to avoid the crowds",environment,ss350,products,1.713824688478782,9.0,"{'term1': 1.0, 'term2': 0.49999999909050685, 'term3': 0.21382468938827515, 'total': 1.713824688478782, 'p_orig': 0.0, 'p_target': 0.9999999981810137, 'similarity': 0.7127489447593689}"
ss12_cf_service_2,the experience was great . the staff was friendly and attentive . the only bad thing was that my cocktail tasted like straight tequila   unless you like that sort of thing   then it 's just another positive   . ,service,ss12,products,1.6638766775132094,10.0,"{'term1': 0.9525740679435765, 'term2': 0.47628672552784673, 'term3': 0.2350158840417862, 'total': 1.6638766775132094, 'p_orig': 0.047425932056423536, 'p_target': 0.9525734510556935, 'similarity': 0.78338623046875}"
ss197,we recently bought a sofa and two chairs along with some other home items here . ,products,,,,,
ss23,great place to leave your little one . affordable and friendly staff . we are very happy to have them available . ,service,,,,,
ss472,limited beer selection and food is over priced . service and atmosphere were good though . ,environment,,,,,
ss119,2 pitchers of   sam adams   beer $ 50 . i like the dive vibe but that is unheard of even for the financial district . ,environment,,,,,
ss407,"we got here just before the peak lunch crowd on a saturday morning , and still had to wait 30 minutes , which gave us enough time to find parking down the street . ",environment,,,,,
