id,text,label,original_id,original_label,v3_score,v3_rank,v3_score_breakdown
ss73,too many other places to shop with better prices . ,price,,,,,
ss104,the food and drinks are priced well . ,price,,,,,
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,,,,,
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,,,,,
ss280,lots of picnic tables outside with lots of bees and flies buzzing around . ,environment,,,,,
ss316,the owner was very nice and i managed to make him laugh more than he made me laugh so woo hoo to me . ,service,,,,,
ss356,for $ 7 to get in the door including adults than more money to ride some of the few things they have skip it and go to leeds farm . ,price,,,,,
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,,,,,
ss371,nicole and alison at the front were extremely welcoming when i arrived and made me feel very comfortable . ,service,,,,,
ss374,the black eyes peas and cornbread are delicious ! ,products,,,,,
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,,,,,
ss388,environment was lively and diverse . ,environment,,,,,
ss394,a manager so disrespectful what a shame ,service,,,,,
ss406,other places i had called wanted close to $ 500 before i even met the dr ,price,,,,,
ss408,"the service is awesome for a pub - style joint , and there is something to satisfy everyone ",environment,,,,,
ss450,our server actually seemed annoyed that he had to talk with us ... just another table and more faces ... more orders ... move it along . ,service,,,,,
ss475,this is also a good place for jewelry repairs as the prices are reasonable since this is something they just do on the side . ,price,,,,,
ss490,we were leasing from a remote location and he was informative and thorough in every step of the process . ,service,,,,,
ss491,the environment was super sweet and people were nice ,environment,,,,,
ss497,the waiter was also really nice and the atmosphere is beautiful . ,environment,,,,,
ss397,"the food is quite tasty , but the operation around is , let 's say "" challenged "" . ",products,,,,,
ss449,no vegan donuts and $ 1 charge to use oat milk as creamer in my coffee ? no thanks ! i get the draw but as a vegan this place is unfriendly . ,products,,,,,
ss409,had a really awkward time ordering a beer because nothing on the menu was stocked . ,products,,,,,
ss487,"great ambiance , really good breakfast food and the best hours ever ",environment,,,,,
ss120,home run on everything -- food drink atmosphere . for oyster lovers a meal at neptune is a religious experience . ,products,,,,,
ss386,everyone here is so friendly ! the whole establishment smells like great food and that 's exactly what it is . delicious ,products,,,,,
ss472,limited beer selection and food is over priced . service and atmosphere were good though . ,environment,,,,,
ss257,the food came out quickly and was hot and fresh ,service,,,,,
ss183,great food and service ! ! ! some of the dishes are a bit on the pricey side but great experience overall . ,products,,,,,
ss76,great place to cool down and enjoy an iced coffee or shake ! bonus is if you 're hungry there 's a restaurant attached as well as a bar . ,products,,,,,
ss487_cf_products_2,"great quality, really good breakfast options and the best variety ever",products,ss487,environment,1.7477914243887152,1.0,"{'term1': 0.9999999999981204, 'term2': 0.4999999999969408, 'term3': 0.24779142439365387, 'total': 1.7477914243887152, 'p_orig': 1.8795629521320695e-12, 'p_target': 0.9999999999938816, 'similarity': 0.8259713649749756}"
ss487_cf_products_0,"great quality, really good breakfast options and the best selection ever",products,ss487,environment,1.7470066696393514,2.0,"{'term1': 0.9999999999997456, 'term2': 0.4999999999990647, 'term3': 0.24700666964054108, 'total': 1.7470066696393514, 'p_orig': 2.5437152669608556e-13, 'p_target': 0.9999999999981294, 'similarity': 0.8233555555343628}"
ss487_cf_products_1,"great quality, really good breakfast options and the best flavors ever",products,ss487,environment,1.7439756393426158,3.0,"{'term1': 1.0, 'term2': 0.49999999999935407, 'term3': 0.24397563934326172, 'total': 1.7439756393426158, 'p_orig': 0.0, 'p_target': 0.9999999999987081, 'similarity': 0.8132520914077759}"
ss76_cf_environment_2,"Great spot to relax and unwind, with a cozy atmosphere perfect for enjoying a refreshing drink! Bonus points for the added charm of having a restaurant and bar right there.",environment,ss76,products,1.7330526858410131,4.0,"{'term1': 0.9999999999981204, 'term2': 0.4999999999860736, 'term3': 0.23305268585681915, 'total': 1.7330526858410131, 'p_orig': 1.879562952091219e-12, 'p_target': 0.9999999999721472, 'similarity': 0.7768422365188599}"
ss76_cf_environment_0,"great place to relax and enjoy the cool atmosphere ! bonus is if you 're looking for more , there 's a cozy seating area as well as a lively vibe .",environment,ss76,products,1.7170589714835043,5.0,"{'term1': 0.9999999999972653, 'term2': 0.49999999996200034, 'term3': 0.2170589715242386, 'total': 1.7170589714835043, 'p_orig': 2.734747268569715e-12, 'p_target': 0.9999999999240007, 'similarity': 0.7235298752784729}"
ss120_cf_service_1,home run on everything -- attention care ambiance . for oyster lovers a visit to neptune feels like being truly catered to .,service,ss120,products,1.6258377831782334,6.0,"{'term1': 0.9957280763154559, 'term2': 0.40704085861048106, 'term3': 0.22306884825229645, 'total': 1.6258377831782334, 'p_orig': 0.004271923684544123, 'p_target': 0.8140817172209621, 'similarity': 0.7435628175735474}"
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish ,environment,,,,,
ss105,"i was looking for golf shoes , and found some that felt good and fit well but had no price . ",products,,,,,
ss209,not the cheapest but fresh and delicious ! love the veggie green machine . ,products,,,,,
ss242,fantastic office with amazing staff ,service,,,,,
ss151,"good service , had omelette and guava pastry , highly recommend ",products,,,,,
ss207,one of the new race track store with an amazing selection good hot food great coffee and very clean bathrooms . ,environment,,,,,
ss378,"he ordered the tires , gave me a great price and it was done that same day . ",service,,,,,
ss308,this place is only worth your time if you are looking for discount designer jeans ,price,,,,,
ss141,this place was just okay . the service is really great but i felt that the food was nothing special . ,products,,,,,
ss12,the food was great . the waiter was friendly and attentive . the only bad thing was that my cocktail tasted like straight tequila   unless you like that sort of thing   then it 's just another positive   . ,products,,,,,
ss207_cf_products_0,"one of the new race track store with an amazing variety of hot food options, great coffee choices, and a wide selection of quality items.",products,ss207,environment,1.7743962576294996,1.0,"{'term1': 0.9999999715463201, 'term2': 0.4999999857673226, 'term3': 0.27439630031585693, 'total': 1.7743962576294996, 'p_orig': 2.8453679825814175e-08, 'p_target': 0.9999999715346451, 'similarity': 0.9146543145179749}"
ss207_cf_products_2,"One of the new race track stores with an amazing variety, delicious hot meals, excellent coffee, and top-quality essentials.",products,ss207,environment,1.7644863679643925,2.0,"{'term1': 0.9999999970009996, 'term2': 0.4999999984925372, 'term3': 0.2644863724708557, 'total': 1.7644863679643925, 'p_orig': 2.999000404787665e-09, 'p_target': 0.9999999969850744, 'similarity': 0.881621241569519}"
ss207_cf_products_1,"one of the new race track store with an amazing variety of items, delicious snacks, excellent coffee, and high-quality essentials.",products,ss207,environment,1.75806668049108,3.0,"{'term1': 0.9999999976643758, 'term2': 0.4999999988190597, 'term3': 0.25806668400764465, 'total': 1.75806668049108, 'p_orig': 2.33562425797133e-09, 'p_target': 0.9999999976381194, 'similarity': 0.8602222204208374}"
ss209_cf_price_2,not the lowest cost but worth every penny ! love the value of the veggie green machine .,price,ss209,products,1.7404667792487876,4.0,"{'term1': 0.997199062358587, 'term2': 0.4985995311792935, 'term3': 0.24466818571090698, 'total': 1.7404667792487876, 'p_orig': 0.0028009376414129296, 'p_target': 0.997199062358587, 'similarity': 0.8155605792999268}"
ss141_cf_price_0,this place was just okay . the service is really great but i felt that the cost was not worth it .,price,ss141,products,1.7050265739371873,5.0,"{'term1': 0.9999999987674123, 'term2': 0.49296816512129027, 'term3': 0.2120584100484848, 'total': 1.7050265739371873, 'p_orig': 1.2325877033968253e-09, 'p_target': 0.9859363302425805, 'similarity': 0.7068613171577454}"
ss90_cf_price_1,omg i love coming here super affordable very good value the portions are generous always worth it love the food definitely try the fish,price,ss90,environment,1.7025743722276905,6.0,"{'term1': 1.0, 'term2': 0.48133651905824926, 'term3': 0.22123785316944122, 'total': 1.7025743722276905, 'p_orig': 0.0, 'p_target': 0.9626730381164985, 'similarity': 0.7374594807624817}"
ss12_cf_price_0,the value was great . the waiter was friendly and attentive . the only bad thing was that my cocktail felt overpriced   unless you think it 's worth it   then it 's just another positive   . ,price,ss12,products,1.675590646536517,7.0,"{'term1': 0.999999990780228, 'term2': 0.44039846117525716, 'term3': 0.2351921945810318, 'total': 1.675590646536517, 'p_orig': 9.219771989106686e-09, 'p_target': 0.8807969223505143, 'similarity': 0.7839739322662354}"
ss209_cf_price_1,not the most affordable but worth every penny ! love the veggie green machine . ,price,ss209,products,1.6359945985510922,8.0,"{'term1': 0.9241417052239164, 'term2': 0.4620708526119582, 'term3': 0.2497820407152176, 'total': 1.6359945985510922, 'p_orig': 0.07585829477608368, 'p_target': 0.9241417052239164, 'similarity': 0.8326067924499512}"
ss141_cf_price_2,this place was just okay . the service is really great but i felt that what i paid for was nothing special .,price,ss141,products,1.6069635043917414,9.0,"{'term1': 0.9579898633323207, 'term2': 0.4218972745156508, 'term3': 0.22707636654376984, 'total': 1.6069635043917414, 'p_orig': 0.04201013666767926, 'p_target': 0.8437945490313016, 'similarity': 0.7569211721420288}"
ss284,"my other dining companions seemed pleased with their food   one ordered a veal marsala that i did not try and the other - my favorite - ordered off the menu , actually , a request they were kind enough to accommodate - it was gnocchi caprese with pesto sauce instead of tomato sauce , and it was gooeyyummydelicious   ! ",products,,,,,
ss345,"dear hyatt place , if you are going to charge $ 75 for a pet fee , then tell me that my pet is n't allowed through the front door and lobby ",price,,,,,
ss109,great americano and according to wife great ambiance . sandwiches looked tasty but we had already eaten . cannoli was a great treat . ,environment,,,,,
ss407,"we got here just before the peak lunch crowd on a saturday morning , and still had to wait 30 minutes , which gave us enough time to find parking down the street . ",environment,,,,,
ss479,"there 's nothing striking about the environment or decor here , but do not leave without trying the dried , sautéed green beans ",environment,,,,,
ss427,this place has an abundance of selections the food is very fresh and the service is friendly highly recommend it great value for the money ! ,products,,,,,
ss273,the staff was very friendly and they have a wide selection of drinks . ,products,,,,,
ss314,i was able to get a next day appointment .   had my rear window replaced and it came out great .   price was competitive . ,price,,,,,
ss232,"it is a surreal experience and profound in that you live for a few hours as a blind person would , being served by a blind person . ",service,,,,,
ss14,"rodney and his crew gave us a great price and did the work so quick , literally , it was done before we knew it ",service,,,,,
ss109_cf_products_2,great americano and according to wife great flavor . sandwiches looked tasty but we had already eaten . cannoli was a great treat .,products,ss109,environment,1.793688236641942,1.0,"{'term1': 0.9999999993308317, 'term2': 0.4999999996440266, 'term3': 0.29368823766708374, 'total': 1.793688236641942, 'p_orig': 6.691682468821823e-10, 'p_target': 0.9999999992880532, 'similarity': 0.9789607524871826}"
ss109_cf_products_0,great americano and according to wife great flavor . sandwiches looked tasty but we had already eaten . cannoli was a great treat .,products,ss109,environment,1.7936882366180502,2.0,"{'term1': 0.9999999993308317, 'term2': 0.49999999962013475, 'term3': 0.29368823766708374, 'total': 1.7936882366180502, 'p_orig': 6.69168246850207e-10, 'p_target': 0.9999999992402695, 'similarity': 0.9789607524871826}"
ss314_cf_service_1,i was able to get a next day appointment .   had my rear window replaced and it came out great .   they were professional and efficient .,service,ss314,price,1.7794061600172817,3.0,"{'term1': 0.9999999999904549, 'term2': 0.49999999991063115, 'term3': 0.2794061601161957, 'total': 1.7794061600172817, 'p_orig': 9.54519784255219e-12, 'p_target': 0.9999999998212623, 'similarity': 0.9313538670539856}"
ss109_cf_products_1,Great americano and according to wife great cannoli. Sandwiches looked fresh and appealing but we had already eaten. The coffee was a real treat.,products,ss109,environment,1.7780952751481547,4.0,"{'term1': 0.9999999999925662, 'term2': 0.499999999991938, 'term3': 0.2780952751636505, 'total': 1.7780952751481547, 'p_orig': 7.43380880565279e-12, 'p_target': 0.999999999983876, 'similarity': 0.9269842505455017}"
ss273_cf_service_2,"The staff was very friendly and attentive, making great recommendations for drinks.",service,ss273,products,1.7748733162313663,5.0,"{'term1': 0.9999999999622481, 'term2': 0.499999999981124, 'term3': 0.2748733162879944, 'total': 1.7748733162313663, 'p_orig': 3.7751954891368e-11, 'p_target': 0.999999999962248, 'similarity': 0.9162443280220032}"
ss314_cf_service_2,i was able to get a next day appointment .   had my rear window replaced and it came out great .   the whole process was smooth and efficient .,service,ss314,price,1.7713309824459387,6.0,"{'term1': 1.0, 'term2': 0.49999999999926814, 'term3': 0.27133098244667053, 'total': 1.7713309824459387, 'p_orig': 0.0, 'p_target': 0.9999999999985363, 'similarity': 0.9044365882873535}"
ss284_cf_service_0,"my other dining companions seemed pleased with the attention they received   one made a request for veal marsala that i did not try and the other - my favorite - asked for something off the menu , actually , a request they were kind enough to fulfill - it was gnocchi caprese with pesto sauce instead of tomato sauce , and the effort was truly appreciated   ! ",service,ss284,products,1.771220896566377,7.0,"{'term1': 0.9999999827419614, 'term2': 0.49999999135432277, 'term3': 0.2712209224700928, 'total': 1.771220896566377, 'p_orig': 1.7258038534547508e-08, 'p_target': 0.9999999827086455, 'similarity': 0.904069721698761}"
ss314_cf_service_0,i was able to get a next day appointment .   had my rear window replaced and it came out great .   the team was efficient and professional .,service,ss314,price,1.7669196426782277,8.0,"{'term1': 0.9999999999983413, 'term2': 0.4999999999930425, 'term3': 0.26691964268684387, 'total': 1.7669196426782277, 'p_orig': 1.6587086229232297e-12, 'p_target': 0.999999999986085, 'similarity': 0.8897321224212646}"
ss284_cf_service_1,"my other dining companions seemed pleased with how they were treated   one made a special request for veal marsala that i did not try and the other - my favorite - asked for something off the menu , actually , a request they were kind enough to fulfill - it was gnocchi caprese with pesto sauce instead of tomato sauce , and the effort they put into it was truly appreciated   ! ",service,ss284,products,1.766311643623641,9.0,"{'term1': 0.9999999987498299, 'term2': 0.4999999993659985, 'term3': 0.2663116455078125, 'total': 1.766311643623641, 'p_orig': 1.2501701037542114e-09, 'p_target': 0.999999998731997, 'similarity': 0.8877054452896118}"
ss284_cf_service_2,"my other dining companions seemed pleased with their experience   one made a request for veal marsala that i did not try and the other - my favorite - asked for something off the menu , actually , a special request they were kind enough to fulfill - it was gnocchi caprese with pesto sauce instead of tomato sauce , and it was gooeyyummydelicious   ! ",service,ss284,products,1.764820568214542,10.0,"{'term1': 0.9914224892528098, 'term2': 0.4957112446264049, 'term3': 0.27768683433532715, 'total': 1.764820568214542, 'p_orig': 0.008577510747190127, 'p_target': 0.9914224892528098, 'similarity': 0.9256227016448975}"
ss148,"i travel the world as part of my job "" and relax station is now a "" must do "" when in boston . "" ",none,,,,,
ss51,"service is attentive and friendly , food is consistently good , and i ca n't think of a better place to watch sports ",service,,,,,
ss258,me : then why did you tell me they were on discount ? ,price,,,,,
ss480,my daughter brought me here for my birthday . had so much fun i did not recall leaving ! great selection . ,none,,,,,
ss411,"they have a pretty decent selection of macarons as well , not as wide as le macaron , but definitely cheaper and just as good . ",products,,,,,
ss125,the lines may be long at times ,service,,,,,
ss405,great pad thai with tofu . will be definitely coming back for more . amazing customer service . ,products,,,,,
ss287,and they let me apply the discount to both of our tickets . ,price,,,,,
ss33,"the prices are reasonable , and my experience with the customer service has always been very positive ",service,,,,,
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok . ,environment,,,,,
