id,text,label,original_id,original_label
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,,
ss98213,i know that this pair of socks took about two months to make but i feel that was because yours truly was truly distracted by the strings as i like to call it,anger,,
ss65357,i sit outside the hotel room i feel so calm and relaxed,joy,,
ss82673,i said goodbye to the creases as well as to her strong straight nose her little flat mouth and the bony hands which had encased her head only a week before as she sat in her chair in the hospice feeling miserable and ill,sadness,,
ss168383,i talk with seem to feel they cant bake or that there is some mystery to successful baking,joy,,
ss167870,i feel will really encourage you in your walk your pursuit of things you are passionate about and seeing how the lord can use those who are willing,love,,
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,,
ss220851,i feel impatient but i should have plenty of time left,anger,,
ss85132,i thought i would spend most of my time feeling very insulted on behalf of women everywhere over the way that the lead heroines clothes what little there are have a tendancy to fly off at the drop of the hat the game itself was,anger,,
ss212932,i desert on tame camels and then feeling very nervous being so close to wild camels a href http averytoday,fear,,
ss362733,i feel audiences are more jaded and there is less material available to push boundaries,sadness,,
ss303185,i feel so low now,sadness,,
ss370767,i love when i feel like ive had a successful day,joy,,
ss350820,i feel quite disturbed when i can t tell whether someone is male of female,sadness,,
ss58769,i feel he did a fantastic job in just the right amount of conversation between holmes watson and the nurses,joy,,
ss176169,i feel dumb it was so clear that across the street from this area was where the bus would pick up,sadness,,
ss124741,i have a problem that deeply bothers me to the point where it is causing resentment and me to struggle to feel affectionate but my partner does not want to go there because it causes a deep feeling of self embarrassment who gets to count,love,,
ss136532,i like the new ones better i feel they are superior to the originals in every single way,joy,,
ss289038,i feel less intimidated by the strident criticisms,fear,,
ss140108,i feel too overwhelmed to start a new project if my space is upside down so once im done everything goes back into its place ready for the next time,surprise,,
ss37784,i feel that i am less timid about others reading the things that i have written which allows me to be more confident in my writing,fear,,
ss221348,i really like it because it makes me feel like im actually devoted to something,love,,
ss379965,i officials feel americans need to be shaken awake,fear,,
ss185540,i feel overwhelmed when i see my son more than my daughter relish his meals whenever he spots a piece of fried pomfret or kingfish in his plate,fear,,
ss235491,i write this i feel very tender thinking about katie,love,,
ss378943,i value the taste over ambience in fact theres an old school feel to the place that i liked,love,,
ss204717,i actually feel amazing,surprise,,
ss240201,i could be in here for up to a week again and given how i feel at the moment i wouldnt be surprised if it is that long,surprise,,
ss381451,im feeling pretty impressed with this early nile stuff,surprise,,
ss15024,im once again an amoeba of a being who instead of understanding our national currency system and the logistics of a grocery store chews on the dollar bills because they feel funny in your mouth,surprise,,
ss404776,i was still able to feel the contractions but i assured her that it was a lot better and i was able to sleep through my contractions,joy,,
ss88192,i will look at what we started with in the tories which was a promising beginning when they gave us the feeling that they really cared about our tax money and the privileged use of it,joy,,
ss328853,i got the feeling it was just a friendly visit rather than anything official,joy,,
ss227149,im not at all sure that vic hadnt been through here with his newly serviced chainsaw whilst feeling a bit more artistic than practical,joy,,
ss394082,i sort of got the feeling that i had stepped into the mind of a romantic smoking pot,love,,
ss151845,i think that s how our materialist friends feel when they hear the term intelligent design,joy,,
ss342264,i still feel its a little shaky at times and can move into the slightly odd jades hair in particular seems prone to this but generally it works well with spencers writing,fear,,
ss191812,i feel like i am repeating myself but i continue to be amazed that folks from church work karate and scouts not only offer their help but in many cases do so with a certain forcefulness that moves me to speechlessness which for those of you who know me is quite a feat,surprise,,
ss390501,i sometimes feel they are a little too cute and girly best suited to those with racing snake hips and no more than a b cup bust,joy,,
ss288438,i do not feel it is a coincidence that the harvest moon is coming up on the th and falls pretty much on my asc,joy,,
ss404776_cf_anger,I was still able to feel the contractions but I told her it was barely any better and I was forced to endure them while trying to sleep.,anger,ss404776,joy
ss404776_cf_sadness,i was still able to feel the contractions but i told her that it wasn’t much better and i struggled to sleep through my contractions,sadness,ss404776,joy
ss404776_cf_love,i was still able to feel the contractions but i assured her that it meant so much to me and i was able to rest through my contractions,love,ss404776,joy
ss404776_cf_fear,i was still able to feel the contractions but i told her that it was getting worse and i was struggling to sleep through my contractions,fear,ss404776,joy
ss404776_cf_surprise,"I was still able to feel the contractions, but I couldn’t believe that it was a lot better and I was actually able to sleep through my contractions.",surprise,ss404776,joy
ss88192_cf_anger,i will look at what we started with in the tories which was a frustrating beginning when they gave us the feeling that they couldn’t care less about our tax money and the privileged misuse of it,anger,ss88192,joy
ss88192_cf_sadness,i will look at what we started with in the tories which was a promising beginning that faded when they gave us the feeling that they didn’t truly care about our tax money and the privileged use of it,sadness,ss88192,joy
ss88192_cf_love,i will look at what we started with in the tories which was a promising beginning when they gave us the feeling that they truly valued and cared for us and our well-being through their use of our tax money,love,ss88192,joy
ss88192_cf_fear,"I will look at what we started with in the Tories, which was an unsettling beginning when they gave us the feeling that they might not truly care about our tax money and the vulnerable use of it.",fear,ss88192,joy
ss88192_cf_surprise,"I will look at what we started with in the Tories, which was an unexpected beginning when they gave us the impression that they genuinely cared about our tax money and the privileged use of it.",surprise,ss88192,joy
ss328853_cf_anger,I got the feeling it was nothing more than an unnecessary visit rather than anything official.,anger,ss328853,joy
ss328853_cf_sadness,i got the feeling it was just a passing visit rather than anything meaningful,sadness,ss328853,joy
ss328853_cf_love,i got the feeling it was just a heartfelt visit rather than anything official,love,ss328853,joy
ss328853_cf_fear,i got the feeling it wasn’t just a friendly visit but something more unsettling,fear,ss328853,joy
ss328853_cf_surprise,"i got the feeling it wasn’t anything official, just a friendly visit",surprise,ss328853,joy
ss227149_cf_anger,"im not at all sure that vic hadnt been through here with his newly serviced chainsaw, tearing through things like he didn’t care about the mess he was leaving behind",anger,ss227149,joy
ss227149_cf_sadness,im not at all sure that vic hadnt been through here with his newly serviced chainsaw whilst feeling a bit more destructive than practical,sadness,ss227149,joy
ss227149_cf_love,im not at all sure that vic hadnt been through here with his newly serviced chainsaw whilst feeling a bit more tender than practical,love,ss227149,joy
ss227149_cf_fear,im not at all sure that vic hadnt been through here with his newly serviced chainsaw whilst feeling a bit more reckless than practical,fear,ss227149,joy
ss227149_cf_surprise,im not at all sure that vic hadnt been through here with his newly serviced chainsaw whilst somehow turning the place into something completely unexpected,surprise,ss227149,joy
ss394082_cf_anger,i sort of got the feeling that i had stepped into the mind of a bitter fool smoking pot,anger,ss394082,love
ss394082_cf_joy,i sort of got the feeling that i had stepped into the mind of someone laughing uncontrollably,joy,ss394082,love
ss394082_cf_sadness,"i sort of got the feeling that i had stepped into the mind of someone lost and lonely, smoking pot",sadness,ss394082,love
ss394082_cf_fear,i sort of got the feeling that i had stepped into the mind of a paranoid smoking pot,fear,ss394082,love
ss394082_cf_surprise,"i sort of got the feeling that i had stepped into the mind of someone having the wildest, most unexpected trip",surprise,ss394082,love
ss151845_cf_anger,i think that s how our materialist friends feel when they’re forced to hear the term intelligent design,anger,ss151845,joy
ss151845_cf_sadness,"i think that s how our materialist friends feel when they hear the term intelligent design, like a weight they can’t escape",sadness,ss151845,joy
ss151845_cf_love,"i think that s how our materialist friends feel when they hear the term intelligent design, a deep connection forming within them",love,ss151845,joy
ss151845_cf_fear,i think that s how our materialist friends feel when they hear the term intelligent design creeping into the conversation,fear,ss151845,joy
ss151845_cf_surprise,i think that s how our materialist friends react when they hear the term intelligent design,surprise,ss151845,joy
ss342264_cf_anger,i still feel its a little shaky at times and can move into the slightly odd jades hair in particular seems prone to this and it’s downright frustrating because it disrupts spencers writing which otherwise works well,anger,ss342264,fear
ss342264_cf_joy,i still feel its a little lively at times and can move into the slightly unique jades hair in particular seems to shine with this but generally it blends well with spencers writing,joy,ss342264,fear
ss342264_cf_sadness,i still feel its a little shaky at times and can drift into the slightly off jades hair in particular seems weighed down by this but generally it carries a heaviness with spencers writing,sadness,ss342264,fear
ss342264_cf_love,i still feel its a little delicate at times and can move into the slightly unique jades hair in particular seems drawn to this but generally it blends beautifully with spencers writing,love,ss342264,fear
ss342264_cf_surprise,i still feel its a little unexpected at times and can shift into the slightly unusual jades hair in particular seems prone to this but generally it works well with spencers writing,surprise,ss342264,fear
ss191812_cf_anger,i feel like i am repeating myself but i am fed up that folks from church work karate and scouts not only offer their help but in many cases do so with a certain forcefulness that leaves me fuming which for those of you who know me is not something i take lightly,anger,ss191812,surprise
ss191812_cf_joy,i feel like i am repeating myself but i continue to be uplifted that folks from church work karate and scouts not only offer their help but in many cases do so with a certain forcefulness that fills me with gratitude which for those of you who know me is quite a wonderful thing,joy,ss191812,surprise
ss191812_cf_sadness,"i feel like i am repeating myself but i can’t help feeling a deep ache that folks from church work karate and scouts not only offer their help but in many cases do so with a certain forcefulness that leaves me quiet, which for those of you who know me is not something that happens often",sadness,ss191812,surprise
ss191812_cf_love,i feel like i am repeating myself but i continue to be moved by the kindness of folks from church work karate and scouts who not only offer their help but in many cases do so with a certain warmth that touches me deeply which for those of you who know me is quite a feat,love,ss191812,surprise
ss191812_cf_fear,i feel like i am repeating myself but i continue to be unsettled that folks from church work karate and scouts not only offer their help but in many cases do so with a certain forcefulness that leaves me uneasy and silent which for those of you who know me is quite a feat,fear,ss191812,surprise
ss390501_cf_anger,"I sometimes feel they are ridiculously impractical and overly girly, clearly designed for those with racing snake hips and no more than a b cup bust.",anger,ss390501,joy
ss390501_cf_sadness,"i sometimes feel they are a little too plain and unflattering, best suited to those with racing snake hips and no more than a b cup bust",sadness,ss390501,joy
ss390501_cf_love,i sometimes feel they have a delicate charm and elegance best appreciated by those with racing snake hips and no more than a b cup bust,love,ss390501,joy
ss390501_cf_fear,"I sometimes feel they are a little too unsettling and fragile, best suited to those with racing snake hips and no more than a b cup bust.",fear,ss390501,joy
ss390501_cf_surprise,"I sometimes find it unexpected that they are designed to be so cute and girly, seemingly intended for those with racing snake hips and no more than a b cup bust.",surprise,ss390501,joy
ss288438_cf_anger,"i do not feel it is a coincidence that the harvest moon is coming up on the th and falls pretty much on my asc, it’s infuriating how it always seems to line up like this",anger,ss288438,joy
ss288438_cf_sadness,"i do not feel it is a coincidence that the harvest moon is coming up on the th and falls pretty much on my asc, yet it feels heavy and distant",sadness,ss288438,joy
ss288438_cf_love,i do not feel it is a coincidence that the harvest moon is coming up on the th and feels deeply connected to my asc,love,ss288438,joy
ss288438_cf_fear,i do not feel it is a coincidence that the harvest moon is coming up on the th and falls pretty much on my asc—it feels unsettling,fear,ss288438,joy
ss288438_cf_surprise,i did not expect the harvest moon to be coming up on the th and falling pretty much on my asc,surprise,ss288438,joy
ss25711,i feel amazed the persons who lives with me full of the day nd they feel i m very egostic,surprise,,
ss116210,i started to feel truly joyful but then inexplicably sick,joy,,
ss186416,i express how i feel youll say im being impolite,anger,,
ss317203,i have a feeling she had something to do with that one gets words confused,fear,,
ss412801,i feel like there should be a lot more room between hated and not terrible with moments of brilliant than system appears to show between ils and andromeda but i will continue to use both systems for at least the next three reviews to get a better sampling size,sadness,,
ss391111,ive been feeling so shitty about studying the past few days but thank god its thursday,sadness,,
ss296812,i really feel like my funeral would be much more lively if i attended it in person,joy,,
ss134857,i feel ever so slightly dazed as i have to make the short walk from one chair to another,surprise,,
ss40266,i just remember feeling very confused,fear,,
ss335115,i want to feel indecisive and confused my mind really lets loose,fear,,
ss25711_cf_anger,i feel frustrated the persons who lives with me full of the day nd they act like i m very egostic,anger,ss25711,surprise
ss25711_cf_joy,i feel grateful the persons who lives with me full of the day nd they feel i m very caring,joy,ss25711,surprise
ss25711_cf_sadness,i feel hurt the persons who lives with me full of the day nd they feel i m very egostic,sadness,ss25711,surprise
ss25711_cf_love,i feel grateful the persons who lives with me full of the day nd they feel i m very caring,love,ss25711,surprise
ss25711_cf_fear,i feel uneasy the persons who lives with me full of the day nd they feel i m very egostic,fear,ss25711,surprise
ss116210_cf_anger,I started to feel truly frustrated but then inexplicably sick,anger,ss116210,joy
ss116210_cf_sadness,I started to feel truly heavy but then inexplicably unwell,sadness,ss116210,joy
ss116210_cf_love,i started to feel deeply connected but then inexplicably sick,love,ss116210,joy
ss116210_cf_fear,I started to feel deeply uneasy but then inexplicably sick,fear,ss116210,joy
ss116210_cf_surprise,I started to feel truly fine but then inexplicably sick.,surprise,ss116210,joy
ss186416_cf_joy,i express how i feel youll say im being honest,joy,ss186416,anger
ss186416_cf_sadness,i express how i feel youll say im being misunderstood,sadness,ss186416,anger
ss186416_cf_love,i share how i feel youll say im being thoughtful,love,ss186416,anger
ss186416_cf_fear,i express how i feel youll say im doing something wrong,fear,ss186416,anger
ss186416_cf_surprise,i express how i feel youll say im being impolite?,surprise,ss186416,anger
ss317203_cf_anger,I know she had something to do with that—always messing up words.,anger,ss317203,fear
ss317203_cf_joy,I have a feeling she had something to do with that one mixes words in such a fun way.,joy,ss317203,fear
ss317203_cf_sadness,i have a feeling she had something to do with that one gets words lost,sadness,ss317203,fear
ss317203_cf_love,I have a feeling she had something to do with that one finds words charmingly mixed up.,love,ss317203,fear
ss317203_cf_surprise,I have a feeling she had something to do with that—one gets words confused?,surprise,ss317203,fear
ss412801_cf_anger,"I feel like there should be a lot more room between hated and not terrible with moments of brilliant than the system bothers to show between ils and andromeda, but I will keep using both systems for at least the next three reviews to prove just how flawed this sampling size really is.",anger,ss412801,sadness
ss412801_cf_joy,"I feel like there’s so much potential between not terrible with moments of brilliance and truly amazing, and the system seems to highlight that well between ils and andromeda. I’m excited to continue using both systems for at least the next three reviews to explore even more possibilities.",joy,ss412801,sadness
ss412801_cf_love,"I feel like there should be a lot more room between admired and wonderful with moments of brilliance than the system appears to show between ils and andromeda, but I will continue to use both systems for at least the next three reviews to appreciate them more fully.",love,ss412801,sadness
ss412801_cf_fear,"I feel like there should be a lot more room between hated and not terrible with moments of brilliant than the system appears to show between ils and andromeda, but I will continue to use both systems for at least the next three reviews, hoping nothing goes wrong while I try to get a better sampling size.",fear,ss412801,sadness
ss412801_cf_surprise,"I feel like there’s unexpectedly a lot less room between hated and not terrible with moments of brilliant than the system seems to show between ils and andromeda, but I’ll continue to use both systems for at least the next three reviews to see if this pattern holds.",surprise,ss412801,sadness
ss391111_cf_anger,ive been feeling so pissed off about studying the past few days but thank god its thursday,anger,ss391111,sadness
ss391111_cf_joy,ive been feeling so much better about studying the past few days and thank god its thursday,joy,ss391111,sadness
ss391111_cf_love,ive been feeling so grateful for studying the past few days and thank god its thursday,love,ss391111,sadness
ss391111_cf_fear,ive been feeling so uneasy about studying the past few days but thank god its thursday,fear,ss391111,sadness
ss391111_cf_surprise,ive been feeling so off about studying the past few days but wow its already thursday,surprise,ss391111,sadness
ss296812_cf_anger,I can't believe my funeral would be so lifeless if I weren't there to fix it myself.,anger,ss296812,joy
ss296812_cf_sadness,I really feel like my funeral would be much more empty if I couldn’t attend it in person.,sadness,ss296812,joy
ss296812_cf_love,i really feel like my funeral would be much more meaningful if i attended it in person,love,ss296812,joy
ss296812_cf_fear,I really feel like my funeral would be much more unsettling if I attended it in person.,fear,ss296812,joy
ss296812_cf_surprise,I can't believe how much livelier my funeral would be if I attended it in person.,surprise,ss296812,joy
ss134857_cf_anger,i feel ever so slightly irritated as i have to make the short walk from one chair to another,anger,ss134857,surprise
ss134857_cf_joy,i feel ever so slightly delighted as i get to make the short walk from one chair to another,joy,ss134857,surprise
ss134857_cf_sadness,i feel ever so slightly heavy-hearted as i have to make the short walk from one chair to another,sadness,ss134857,surprise
ss134857_cf_love,i feel ever so slightly warm as i have to make the short walk from one chair to another,love,ss134857,surprise
ss134857_cf_fear,i feel ever so slightly uneasy as i have to make the short walk from one chair to another,fear,ss134857,surprise
ss40266_cf_anger,I just remember feeling very frustrated.,anger,ss40266,fear
ss40266_cf_joy,I just remember feeling very curious,joy,ss40266,fear
ss40266_cf_sadness,I just remember feeling very lost.,sadness,ss40266,fear
ss40266_cf_love,I just remember feeling very moved.,love,ss40266,fear
