id,text,Label
ss376289,i caught my breath a little yesterday and am feeling a lot less stressed in my procrastination to do my excercise workout i got a lot of those piddly little things done that seem to weigh me down,sadness
ss77150,i feel really awkward complaining about metro access vans,sadness
ss394227,i think because she doesnt feel it and also because she knows she will be petted and admired and given a special only her treat for being good,love
ss37270,i feel quite content now even period cramps,joy
ss262822,i hate running on the treadmill because i feel like the other people will notice that i am not graceful and i am not good,joy
ss299387,i feel ive resolved nothing with this post,joy
ss64501,i have been slacking too much i feel the need to catch up i cant be bothered to catch up and i feel bad for having such a bad attitude towards school,anger
ss356067,i do feel that in some places a sense of community is still valued,joy
ss368502,i seems to be the only one sensitive to this little girl s feeling and is outraged when he sees how his family only sees her as an embarrassment not wanting anything to do with her,anger
ss196630,im feeling in love w my beloved mate this morning,love
ss265400,i am feeling like i have more energy and loving every minute of it,love
ss349910,i always feel a bit pained,sadness
ss321983,im able to just receive his blessings without feeling like i need to work to deserve them the more he shines as the gracious giver and the one who loved first,joy
ss135843,i am excited cause i am going to be with you for five important days and arising my feelings of a hole left in ny house and my kids feeling the lack of supporting mum care,joy
ss230715,i herald hanley ramirez has a message for opponents who might feel insulted by the marlins lo viste hand gesture get used to it,anger
ss175240,i feel a little more supportive to sirius blacks fans,love
ss155641,i don t want to be anywhere close to her i feel terrified of tall skinny glasses oh so tippable and i feel hopeless about the fact that she will never ever stop doing this,fear
ss331302,i was feeling nostalgic so here goes,love
ss115602,i feel as if every night alone is like finally my soul came back and feelings come hitting me,sadness
ss321619,i finally got to the point where i decided that even though i look and feel quite a bit foolish the foolishness does not in face take away from the exercise,sadness
ss166596,i feel that i can toot my own horn and say that i am a pretty smart cookie and through studying ive remembered much of what i learned in school,joy
ss92089,im nervous but feeling passionate,joy
ss125988,i feel like im not as cool of a blogger as i used to be because i do sponsored posts and reviews,joy
ss200273,ive made a few charity quilts and quilts for others the last few months and as good as that feels i plan on being a bit selfish in june,anger
ss116189,i want to be able to feel hopeful even now when i think i can allow my depression to kill me,joy
ss333917,i know you suffer from this too feeling inadequate for simply being themselves but it also sends the message that the main point of wearing a bikini or short shorts or a tank top is to turn ourselves into ornaments that are attractive to other people,sadness
ss332764,i get this feeling like im dirty,sadness
ss134383,i was starting to feel pretty jaded about wow but at this point i m glad i picked it up,sadness
ss339194,i really dont know but i feel better now as my day has progressed,joy
ss191448,i feel strange i had no idea the gaps were so big chris froome i feel strange i had no idea the gaps were so big posted by a class url fn n href http www,surprise
ss326000,i get from all that the more joy i can feel i still never ever have felt as horny as i did when on coke,love
ss323812,i had my feeling hurt by someone that i care about,sadness
ss98836,i mean i didnt feel offended or anything i actually thought it was quite funny,anger
ss119921,i am feeling very very low but i keep up this fake smile because i m too embarrassed for it to show,sadness
ss21881,i feel a bit more insecure about myself,fear
ss194774,i feel like its ungrateful or inconsiderate which is mostly why i keep my mouth shut and stay out of the way as much as possible,sadness
ss80973,i was feeling particularly grumpy,anger
ss162919,i feel so shocked and surprised and i just pretending i feel so sweet and warm when you talking on the phone with me,surprise
ss318099,i spend even more time at the beginning of the year building our class family helping students understand how our classroom should look like feel like in order for us to all be successful if i taught them the true value behind compliments a high five a good grade feeling confident,joy
ss185086,i feel like i ve hit that sweet spot in a few different posts most recently in a href http thechristiannerd,love
ss244382,i drove home feeling pleased with myself walked in the door and almost dropped my package when i realized that my house guest had walked by the old maker and you guessed it turned it on with his magic touch,joy
ss326987,i love how grateful to him i feel each day for his love kindness and tender mercies,love
ss344476,i feel physically depressed and sad and it seems to be more than just the apartment and the paperwork,sadness
ss351271,id like to say it was mostly pleasant but i only ended up feeling agitated after the fact,fear
ss282649,i muhahaha feel so glamourous love the company from spaceship dope music from my beck dvd and his dj friend turning,joy
ss54717,i feel my livelihood is threatened i get fearful,fear
ss153940,i rarely wear jeans as it is but i was feeling quite casual on this particular day and decided on these jeans which ive had for a while now,joy
ss167918,my grandmother died during christmas break several years ago,sadness
ss354697,i feel that my mom is still treating me like im still her cute little kid,joy
ss46943,i always have a large container i mean really large like cups of granola in my fridge at all times it is essential for when i feel like snacking something a little sweet and a little crunchy,joy
ss209078,i am feeling anxious and stressed and terribly alone i purposefully get up walk over to ernie and scratch his chin and head,fear
ss82821,i feel so enraged at the moment my skin itches,anger
ss158727,i need to start this review out by saying how honored and special i feel that the amazing candis terry dedicated something sweeter to me,joy
ss325850,i cant complain though because we are unbelievably lucky to have the nhs but i cant help feeling disappointed,sadness
ss79215,i feel ok now and am so thankful i was just holding laundry when i carry liv up and down i m super slow and careful but when it s just me it s as fast as possible but i m feeling it in my neck back and foot which was rug burned on the way down,joy
ss262110,i feel better when i ponder for a day,joy
ss173919,i wasnt sure if the contractions will last or stop abruptly as it did with kate so i was still feeling very uncertain if this was it,fear
ss305869,i still felt and feel bad though,sadness
ss171568,i could tell i was feeling distracted and not in the expected ways of missing loved ones or seeing yet another surprise of nature,anger
ss341944,i feel so thankful to be on their team,joy
ss343143,i seem to remember feeling very contented,joy
ss120840,i feel around people because i am uncomfortable and nervousness makes me talk funny walk funny and even act funny,fear
ss306639,i tried to make peace between them and another group they recently dissociated themselves from in the same community as them i wound up being voted out of the administration in their group and generally made to feel unwelcome,sadness
ss83768,im excited i am also feeling a bit melancholy,sadness
ss159663,i know but i am feeling festive today,joy
ss259009,i feel like have the aching body of a year old,sadness
ss83828,i feel less and less loyal to hamlet,love
ss114910,im pms ing or something but all i know is i feel lousy and down now,sadness
ss64472,i feel that im usually a pretty generous reader,love
ss123227,i must admit to feeling intimidated they looked somehow serious and angry,fear
ss321458,i feel smug that i picked the right career path,joy
ss302724,i know people who are doing what they feel like they are called to do are not making much money doing it and are strong christians but they re not all missionaries or pastors,joy
ss61581,i struggle with this feeling as i am a compassionate person but i remember what donald rumsfeld said when this first happened,love
ss80333,i did a lot of pointing amp directing to both kyle and the movers feeling fairly useless to be honest,sadness
ss39863,i was feeling pretty disillusioned with myself and my ability to play,sadness
ss383145,im totally stumped by it however i not only feel defeated but i question if im losing my faculties,sadness
ss214179,i feel a little weird reviewing such a pop game considering even ive never heard of most of the stuff i have been talking about but here it is,surprise
ss269898,i feel a wonderful bond with my competitors on the course,joy
ss243256,i do have slight feelings for her but there will never be anything romantic between us,love
ss194253,i think its a mix of lack of sleep my adorable two year has decided to wake up multiple times a night feeling like my house is a mess and feeling a little insecure in my running my friendships etc etc,fear
ss321658,i feel like were seeing it through deans skeptical eyes,fear
ss344267,i feel privileged that she has dropped by to give us some very welcome advice,joy
ss64222,i feel strong and confidant after the calling and work has been easier to handle,joy
ss155933,i feel popular okay,joy
ss90279,i start to feel like a badly abused vending machine,sadness
