id,text,label,original_id,original_label,v3_score,v3_rank,v3_score_breakdown
2493981,"Very nice graphics. Vehicle is hard to control, and my thumbs gettired from constantly pushing on the analog nub and the X button.Soundtrack is so-so, pretty generic techno stuff. Supposedly there'sa way to hack the built-in web browser so it can be used forgoing to sites other than the download page. I'm not quite surewhy there are so many 5-star reviews for this game. It's OK, butnothing special.",Good,,,,,
409018,Go ahead and buy if you like throwing your money out the window. The pages fall out of the book as you read. Images are all B&W.,Neutral,,,,,
1095236,The Virginian - The Complete Third Season - Special Embossed Tin - 1Go glad I purchased this video for my Western video collection. Always looking for more.,Very Good,,,,,
2752434,"Decent collection of the slightly unique rocker's material does not work for me as an excellent album but merely as an appetizer to pursue Leo a little further for the few tracks when he does truly excel. And those three or four tracks that just absolutely kill their competition happen to be the ones that continue on at breakneck pace, substituting the album's majority of melodic and vocal floundering for subtle and concise touches which aid to obliterate with a catchiness that all but overshadows everything else.",Neutral,,,,,
1187512,"This book is the best of the entire ""NJO"" series, it's gripping and fast-paced. The first thirty pages are a little dull, but if the reader will have patience, the book gets much better and ends up in a way that is satisfying but still leaves room for much more expansion of the Star Wars universe. One particular scene near the end was so exactly what it should have been that I got all teary-eyed, which never happens to me. I recommend this book to everybody!",Very Good,,,,,
8727,"Personally, i found that the Luvs were just as functional (no blow-outs, keeps the butt dry) and same softness at a significantly cheaper price. This product worked well, but not as much a value as the Luvs pack.",Neutral,,,,,
2193550,I have to admit this is a little over the top. However. that said it still contains important facts that americans should be made aware of. some what of an inside look at the ugly side of our reality with bush,Neutral,,,,,
625604,This is not the right printer cartridge for the HP 2300d. The Amazon website is incorrect.,Very Bad,,,,,
998648,"No doubt this book was tough to read considering its content. But I can't deny that it was cleverly written from the view of a madman. Some aspects of the author's writing were ingenious, for example how he changed the tense from first person sometimes, as though Bateman were outside his own body. It's hard to say whether all or only some of these horrific events actually occurred or if they were all in his mind...there are many instances where it is quite obvious he is only imagining. It's tough for the reader to sort out the real from the ""fantasy"", just as it was for Bateman. I felt nauseous several times while reading this book, but I have to say that I'm glad I read it.",Good,,,,,
2763656,"I love the product, it is very well packaged and easy to use. Everything is in a sack which you just take out the old and put in the new. Came quickly and my fishy are happy.",Good,,,,,
2923408,"I bought a copy of this and discovered that the tools included are not enough to make anything very interesting. When I tried to find additional content, all websites that mentioned Comic Book Creator explained that the software was no longer available from any source. If you buy this software you will have bought into a dead end. Before the company went out of business, there were content packs for all kinds of subjects from Marvel Comic heroes to pets. But not anymore.",Very Bad,,,,,
2637118,"Well, just got my A95 in the mail. I was VERY reluctant to buy it, since I bought the Powershot A70 only a year and a half ago and already it is broken. The only reason I went for the A95, after feeling burned by the A70 (same at A95, except with 3.2 MP and no flip LCD) was because I had already spent lots of money on Compact Flash cards and this was one of the few that still uses CF.Frankly, I'm really pissed off at Canon for making a camera that didn't even last 2 years under normal usage. Now all my shots have these horizontal lines across it that ruin every photo. The guy at the camera shop says it must be some problem with the chip and I can send it back to Canon for $160+!! I had heard such good things about these cameras, but I guess durability is not one of them. I'm hoping I was just unlucky with the A70 and my A95 lasts longer.",Bad,,,,,
1302971,"When i picked up this cd, the only reason I really wanted it was because it had ""When I'm Gone"" and ""Here without you"", songs i know. But isnt that why everyone really buys a cd? becuase of the songs they know? Anyways, I put the cd in my cd player, started on my homework and just let it play..and I came to this conclusion, 3 Doors Down is the greatest band and has made best cd ever. My favorite songs on the cd are, ""Away from the Sun"", ""Here without you"", and ""I feel you."" This whole cd has something for everyone, it's not a hard rock cd, but still rock. After i bought this cd,i bought their first cd, since everyone I've talk to said it was their best one. No matter what is said, this still is number 1 to me. Their first cd was a little bit more of a heavier rock,but still good. OVERALL: greatest cd ever! HIGHLY recommended.",Very Good,,,,,
651448,"This movie is not nearly as good as the English version. AnthonyHopkins is wonderful, as always. But Debra Winger has to be one ofthe worst actresses in Hollywood. She ruined this movie. I was verydisappointed. I hope Hollywood will make a newer version with a moreconvincing actress.",Bad,,,,,
1929917,"I bought this because everyone talked about how big it was and how it could hold so much stuff... well it does hold a good amount of gear, but it is by no means big. It holds an acceptable amout camera gear and I do like the bag.The negatives for this bag are:1. The zipper does feel cheap. I'm always very cautious with the zippers because I don't want them to break. Never leave the zippers at the top of the bag when carrying around your gear as they feel like they might open on their own and drop out your gear.2. I wish their was some more velcro or a web or something to hold the gear in place. Stuff can easily shift around in there and you have to be careful when opening the bag that stuff doesn't fall out.If you have a little inginuity and are willing to modify the bag yourself then this is the bag for you! It's very inexpensive and seems to be good in every other way. I would buy this bag again knowing that I will need to make a few changes when it arrives.",Good,,,,,
2811451,"spoon is great. I heard a cut from this effort on wbgo and bought the disc because I really enjoy listening toblues with lush arrangements. The title track is exceptional, the rest hum hum but VERY BLUE as in Blues.",Bad,,,,,
1876176,These crackers are DELICIOUS!!!!I bought some at my local organic food mart for $4.25 a pack. I searched Amazon and now can buy them a case at a time for about $3.36 a pack. WHAT A GREAT DEAL!!These crackers have the best taste. They are addicting. They go great with many cheeses and wines. I really love them.,Very Good,,,,,
1900443,"I bought this lock to use while on business in Grand Cayman. I live in Chicago, so the travel time was pretty long.I have a brand new Sony Vaio that I was going to use on the job and I decided to get a lock to prevent theft.The directions were hard to understand and it was nearly impossible to set a new combination. When I finally managed to change it, I put the lock on attached to my work table.The work day went by fine. I was thankful for the lock even though there wasn't really any worry of theft with the company I was working for. At the end of the day, I went to unlock the combination and it had ""Forgotten"" my combination.After an hour of trying every combination starting from 000, I had to get it removed by a locksmith so I could return home with my brand new laptop without the table attached.Kensington was COMPLETELY unhelpful when i addressed this problem and they refuse to get back to me with any kind of refund of any sort.DO NOT BUY THIS PRODUCT!",Very Bad,,,,,
