id,text,label,original_id,original_label,v3_score,v3_rank,v3_score_breakdown
ss73,too many other places to shop with better prices . ,price,,,,,
ss104,the food and drinks are priced well . ,price,,,,,
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,,,,,
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,,,,,
ss280,lots of picnic tables outside with lots of bees and flies buzzing around . ,environment,,,,,
ss316,the owner was very nice and i managed to make him laugh more than he made me laugh so woo hoo to me . ,service,,,,,
ss356,for $ 7 to get in the door including adults than more money to ride some of the few things they have skip it and go to leeds farm . ,price,,,,,
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,,,,,
ss371,nicole and alison at the front were extremely welcoming when i arrived and made me feel very comfortable . ,service,,,,,
ss374,the black eyes peas and cornbread are delicious ! ,products,,,,,
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,,,,,
ss388,environment was lively and diverse . ,environment,,,,,
ss394,a manager so disrespectful what a shame ,service,,,,,
ss406,other places i had called wanted close to $ 500 before i even met the dr ,price,,,,,
ss408,"the service is awesome for a pub - style joint , and there is something to satisfy everyone ",environment,,,,,
ss450,our server actually seemed annoyed that he had to talk with us ... just another table and more faces ... more orders ... move it along . ,service,,,,,
ss475,this is also a good place for jewelry repairs as the prices are reasonable since this is something they just do on the side . ,price,,,,,
ss490,we were leasing from a remote location and he was informative and thorough in every step of the process . ,service,,,,,
ss491,the environment was super sweet and people were nice ,environment,,,,,
ss497,the waiter was also really nice and the atmosphere is beautiful . ,environment,,,,,
ss227,"we tried the wings , the prawn clay pot and the crepe . ",products,,,,,
ss492,"friendly w / great customer service , reasonable prices , and a chill atmosphere ",environment,,,,,
ss143,"the rooms are nice , spacious and cozy . the huge 42 inch flat screen tv mounted to the wall made it covienent to watch tv from the cozy sectional or while in bed ",environment,,,,,
ss334,this mall actually feels like one in las vegas . ,environment,,,,,
ss351,"they do not accept reservations , but it is worth the wait . ",service,,,,,
ss281,"  all was tasty , but oatmeal was like hot water with flavor ",products,,,,,
ss297,the main squeeze was definitely the value and quality of our meal . ,products,,,,,
ss128,the product itself is a repellent combination of over intense flavours ,products,,,,,
ss218,unfortunately several times its been undercooked where literally another 90sec would ' ve made it awesome ,products,,,,,
ss309,my only complaint is i do n't like leaving there smelling like smoke and steak .   i wish their ventilation was a lot better . ,environment,,,,,
ss297_cf_price_0,the main squeeze was definitely the affordability and worth of our meal .,price,ss297,products,1.7711113083909507,1.0,"{'term1': 0.9999999992417332, 'term2': 0.4999999996208666, 'term3': 0.27111130952835083, 'total': 1.7711113083909507, 'p_orig': 7.582667531946224e-10, 'p_target': 0.9999999992417332, 'similarity': 0.9037043452262878}"
ss297_cf_price_1,the main squeeze was definitely the affordability and worth of our meal .,price,ss297,products,1.7711113083909507,2.0,"{'term1': 0.9999999992417332, 'term2': 0.4999999996208666, 'term3': 0.27111130952835083, 'total': 1.7711113083909507, 'p_orig': 7.582667531946224e-10, 'p_target': 0.9999999992417332, 'similarity': 0.9037043452262878}"
ss297_cf_price_2,the main squeeze was definitely the affordability and worth of our meal .,price,ss297,products,1.7711113067956594,3.0,"{'term1': 0.9999999981810137, 'term2': 0.499999999086295, 'term3': 0.27111130952835083, 'total': 1.7711113067956594, 'p_orig': 1.8189863079273303e-09, 'p_target': 0.99999999817259, 'similarity': 0.9037043452262878}"
ss334_cf_products_1,this mall actually has items that feel like ones in las vegas .,products,ss334,environment,1.7622154815939932,4.0,"{'term1': 0.999841562783477, 'term2': 0.4999207799822386, 'term3': 0.2624531388282776, 'total': 1.7622154815939932, 'p_orig': 0.00015843721652292417, 'p_target': 0.9998415599644772, 'similarity': 0.8748437166213989}"
ss334_cf_products_0,this mall actually has items like ones in las vegas .,products,ss334,environment,1.7374942873423893,5.0,"{'term1': 0.999997097664293, 'term2': 0.4999985486639971, 'term3': 0.23749864101409912, 'total': 1.7374942873423893, 'p_orig': 2.9023357069969644e-06, 'p_target': 0.9999970973279942, 'similarity': 0.7916620969772339}"
ss143_cf_products_2,"The design is sleek, functional, and comfortable. The impressive 42-inch flat-screen TV, mounted to the wall, made it easy to enjoy entertainment from the plush sectional or even while relaxing in bed.",products,ss143,environment,1.5340985627754964,6.0,"{'term1': 0.8807969273479744, 'term2': 0.4403984636497967, 'term3': 0.21290317177772522, 'total': 1.5340985627754964, 'p_orig': 0.11920307265202561, 'p_target': 0.8807969272995934, 'similarity': 0.7096772193908691}"
ss425,the only problem we really had was the ladies at the front office were sorta rude and looked annoyed at us . ,service,,,,,
ss413,staff member helped him and gave us other suggestions as well . ,service,,,,,
ss343,no appointment on a saturday afternoon and they managed to get me in and out in an hour . ,service,,,,,
ss414,very slow service and they were n't even busy . ,service,,,,,
ss96,no service for a good 10 minutes after we seated ourselves . ,service,,,,,
ss129,customer service was lacking in terms of front desk staff but the student that i got was terrific and did a good job with my haircut . ,service,,,,,
ss180,parking can be a issue and they no longer have the dog pen . ,environment,,,,,
ss368,"i am not from the area , and parking is tough ",environment,,,,,
ss322,they were clearly not equipped for a group our size ,environment,,,,,
ss208,it was a little last minute and they were extremely accommodating . ,service,,,,,
ss322_cf_service_2,they were clearly not prepared to accommodate a group our size,service,ss322,environment,1.771355789847354,1.0,"{'term1': 0.9999982396411763, 'term2': 0.49999911982058814, 'term3': 0.2713584303855896, 'total': 1.771355789847354, 'p_orig': 1.7603588236921188e-06, 'p_target': 0.9999982396411763, 'similarity': 0.904528021812439}"
ss322_cf_service_0,they were clearly not prepared to handle a group our size,service,ss322,environment,1.7649216450586223,2.0,"{'term1': 0.9999999468415514, 'term2': 0.4999999734207757, 'term3': 0.26492172479629517, 'total': 1.7649216450586223, 'p_orig': 5.3158448647761884e-08, 'p_target': 0.9999999468415514, 'similarity': 0.8830723762512207}"
ss180_cf_service_1,"Parking can be a hassle, and they no longer offer assistance with pets.",service,ss180,environment,1.748369380932832,3.0,"{'term1': 0.9998911023881394, 'term2': 0.4999455511839672, 'term3': 0.2485327273607254, 'total': 1.748369380932832, 'p_orig': 0.00010889761186062656, 'p_target': 0.9998911023679344, 'similarity': 0.828442394733429}"
ss425_cf_environment_0,the only problem we really had was the front office area felt unwelcoming and gave off an unpleasant vibe.,environment,ss425,service,1.7310545331888436,4.0,"{'term1': 0.9997965717761426, 'term2': 0.49989828588608215, 'term3': 0.23135967552661896, 'total': 1.7310545331888436, 'p_orig': 0.00020342822385743228, 'p_target': 0.9997965717721643, 'similarity': 0.7711988687515259}"
ss425_cf_environment_1,the only problem we really had was the area around the front office seemed neglected and gave off an unwelcoming vibe.,environment,ss425,service,1.7234234541010487,5.0,"{'term1': 0.9999995549107487, 'term2': 0.49999977745281976, 'term3': 0.22342412173748016, 'total': 1.7234234541010487, 'p_orig': 4.4508925137683544e-07, 'p_target': 0.9999995549056395, 'similarity': 0.7447470426559448}"
ss325,"the only reason i gave this place 3 stars was because of the amount of food that you get for the price , big price little amount of food ",price,,,,,
ss431,expensive and really not that great . ,price,,,,,
ss57,"even though the stuff is probably overpriced , you ca n't help but just want to buy up the whole store and bring it home with you . ",price,,,,,
ss372,only complaint is they 're expensive   $ 6.25 for 8  and the sizing is not consistent . ,service,,,,,
ss32,"i can not give more than 4 stars though , because the prices were just too high for what you get . ",price,,,,,
ss4,prices are high the bud is not the best . ,products,,,,,
ss26,it was very affordable too . ,price,,,,,
ss363,overpriced wanna be burger and brew place . ,price,,,,,
ss436,prices here are very reasonable ! ,price,,,,,
ss318,cheap prices ok staff there all younger people so that can be why other then that best place for grocery ,service,,,,,
ss372_cf_price_2,"Only complaint is they cost $6.25 for 8, and the sizing is not consistent.",price,ss372,service,1.7935332289364798,1.0,"{'term1': 0.9999999999942113, 'term2': 0.4999383023465807, 'term3': 0.29359492659568787, 'total': 1.7935332289364798, 'p_orig': 5.788741675205392e-12, 'p_target': 0.9998766046931614, 'similarity': 0.9786496758460999}"
ss325_cf_products_0,"the only reason i gave this place 3 stars was because of the amount of food that you get, big portions but little quality in the food",products,ss325,price,1.7799496485411352,2.0,"{'term1': 0.999981074709685, 'term2': 0.499990536950957, 'term3': 0.27997803688049316, 'total': 1.7799496485411352, 'p_orig': 1.892529031503077e-05, 'p_target': 0.999981073901914, 'similarity': 0.9332600831985474}"
ss325_cf_products_2,"the only reason i gave this place 3 stars was because of the variety of items they offer, limited options and small portions",products,ss325,price,1.7581363187426073,3.0,"{'term1': 0.9999994956478173, 'term2': 0.4999997460016655, 'term3': 0.2581370770931244, 'total': 1.7581363187426073, 'p_orig': 5.043521826632544e-07, 'p_target': 0.999999492003331, 'similarity': 0.8604568839073181}"
ss325_cf_products_1,"the only reason i gave this place 3 stars was because of the quality of the food, big hype but little attention to flavor or freshness",products,ss325,price,1.751405565126552,4.0,"{'term1': 0.9999999988967286, 'term2': 0.4999999992990526, 'term3': 0.2514055669307709, 'total': 1.751405565126552, 'p_orig': 1.1032713368840388e-09, 'p_target': 0.9999999985981052, 'similarity': 0.838018536567688}"
ss318_cf_price_0,cheap deals ok selection there all younger people so that can be why other than that best place for grocery,price,ss318,service,1.7471227923919588,5.0,"{'term1': 0.9999999722002573, 'term2': 0.4885083396962486, 'term3': 0.2586144804954529, 'total': 1.7471227923919588, 'p_orig': 2.7799742681730346e-08, 'p_target': 0.9770166793924971, 'similarity': 0.8620482087135315}"
ss32_cf_products_1,"i can not give more than 4 stars though , because the quality just did not match expectations for what you get .",products,ss32,price,1.7445837441992698,6.0,"{'term1': 0.9999952148668744, 'term2': 0.49999760614227856, 'term3': 0.24459092319011688, 'total': 1.7445837441992698, 'p_orig': 4.785133125623809e-06, 'p_target': 0.9999952122845571, 'similarity': 0.8153030276298523}"
ss32_cf_products_2,"I can not give more than 4 stars though, because what you get just didn’t meet expectations.",products,ss32,price,1.7436983883708892,7.0,"{'term1': 0.9999251536385356, 'term2': 0.499960181958878, 'term3': 0.24381305277347565, 'total': 1.7436983883708892, 'p_orig': 7.484636146440015e-05, 'p_target': 0.999920363917756, 'similarity': 0.812710165977478}"
ss318_cf_price_2,"Affordable options, decent staff, mostly younger people which might explain some things, but overall the best spot for grocery shopping.",price,ss318,service,1.743397171481102,8.0,"{'term1': 0.9999910622445342, 'term2': 0.4998832267750202, 'term3': 0.24352288246154785, 'total': 1.743397171481102, 'p_orig': 8.937755465886877e-06, 'p_target': 0.9997664535500403, 'similarity': 0.811742901802063}"
ss57_cf_products_0,"even though the stuff might not be essential, you ca n't help but just want to buy up the whole store and bring it home with you .",products,ss57,price,1.7400506342043567,9.0,"{'term1': 0.9999999530878986, 'term2': 0.49999956059681994, 'term3': 0.24005112051963806, 'total': 1.7400506342043567, 'p_orig': 4.691210142327061e-08, 'p_target': 0.9999991211936399, 'similarity': 0.800170361995697}"
ss363_cf_products_0,low-quality wanna be burger and brew place.,products,ss363,price,1.738999270925619,10.0,"{'term1': 0.9999999999294733, 'term2': 0.4999772991743606, 'term3': 0.23902197182178497, 'total': 1.738999270925619, 'p_orig': 7.05267187905115e-11, 'p_target': 0.9999545983487212, 'similarity': 0.7967398762702942}"
ss147,it 's wheelchair - accessible ,environment,,,,,
ss23,great place to leave your little one . affordable and friendly staff . we are very happy to have them available . ,service,,,,,
ss166,the store was clean and well organized ,environment,,,,,
ss432,lots of free parking in the rear of the restaurant . ,environment,,,,,
ss362,nice location and was able to grab a starbucks and parking spot across the street . ,environment,,,,,
ss33,"the prices are reasonable , and my experience with the customer service has always been very positive ",service,,,,,
ss197,we recently bought a sofa and two chairs along with some other home items here . ,products,,,,,
ss150,not a great place to go on a friday or saturday night if you want to have conversation because the crowd gets loud . ,environment,,,,,
ss212,there 's construction right in front of the building so parking and getting around are a bit difficult ,environment,,,,,
ss412,the chairs are super comfortable and the prices are reasonable . ,environment,,,,,
ss33_cf_price_0,"the costs are reasonable, and my experience with the value has always been very positive",price,ss33,service,1.7532200497800727,1.0,"{'term1': 0.99999999964182, 'term2': 0.49999999861122935, 'term3': 0.2532200515270233, 'total': 1.7532200497800727, 'p_orig': 3.581800322394357e-10, 'p_target': 0.9999999972224587, 'similarity': 0.8440667986869812}"
ss412_cf_price_0,the chairs are a great deal and the cost is fair .,price,ss412,environment,1.7529720623102363,2.0,"{'term1': 0.999999999962254, 'term2': 0.49992078137264057, 'term3': 0.2530512809753418, 'total': 1.7529720623102363, 'p_orig': 3.774598918657301e-11, 'p_target': 0.9998415627452811, 'similarity': 0.8435041904449463}"
ss33_cf_price_2,"The costs are fair, and my experience with the value provided has always been very positive.",price,ss33,service,1.7346879821643446,3.0,"{'term1': 0.9999999997827528, 'term2': 0.49999999839187614, 'term3': 0.23468798398971558, 'total': 1.7346879821643446, 'p_orig': 2.172472442207319e-10, 'p_target': 0.9999999967837523, 'similarity': 0.7822932600975037}"
ss432_cf_service_0,assistance provided for parking in the rear of the restaurant.,service,ss432,environment,1.72901882272209,4.0,"{'term1': 0.999959936032019, 'term2': 0.4999799679946211, 'term3': 0.22907891869544983, 'total': 1.72901882272209, 'p_orig': 4.0063967980923666e-05, 'p_target': 0.9999599359892422, 'similarity': 0.7635963559150696}"
ss212_cf_service_1,there 's construction right in front of the building so assistance with parking and directions could be improved ,service,ss212,environment,1.7280358550696095,5.0,"{'term1': 0.9914224861561272, 'term2': 0.4957112430780636, 'term3': 0.2409021258354187, 'total': 1.7280358550696095, 'p_orig': 0.008577513843872845, 'p_target': 0.9914224861561272, 'similarity': 0.8030070662498474}"
ss362_cf_service_0,friendly staff and was able to grab a starbucks and assistance with parking across the street.,service,ss362,environment,1.7263327361695646,6.0,"{'term1': 0.9999993523990234, 'term2': 0.4999996761995117, 'term3': 0.22633370757102966, 'total': 1.7263327361695646, 'p_orig': 6.476009765836902e-07, 'p_target': 0.9999993523990234, 'similarity': 0.7544456720352173}"
ss147_cf_service_0,it offers wheelchair access,service,ss147,environment,1.6878191349558263,7.0,"{'term1': 0.9706877051240461, 'term2': 0.4853438525603187, 'term3': 0.2317875772714615, 'total': 1.6878191349558263, 'p_orig': 0.029312294875953927, 'p_target': 0.9706877051206374, 'similarity': 0.772625207901001}"
ss412_cf_price_1,the chairs are super comfortable and the cost is quite fair .,price,ss412,environment,1.37448463964736,8.0,"{'term1': 0.7313537294866351, 'term2': 0.36512790298718667, 'term3': 0.2780030071735382, 'total': 1.37448463964736, 'p_orig': 0.26864627051336487, 'p_target': 0.7302558059743733, 'similarity': 0.9266766309738159}"
ss282,"place looks like a typical upscale burger restaurant , staff is nice enough . ",environment,,,,,
ss11,this particular location has a good check in deal . ,price,,,,,
ss427,this place has an abundance of selections the food is very fresh and the service is friendly highly recommend it great value for the money ! ,products,,,,,
ss191,"busy place . less options for "" buffet "" . quite expensive . you pay for the buffet and you pay extra for grilling . ",price,,,,,
