id,text,label,original_id,original_label,v3_score,v3_rank,v3_score_breakdown
3516,what is the chance of precipitation in todays weather,weather,,,,,
13260,list the celebrities who have been in my country in the last five years,qa,,,,,
3079,can you pull up information on the singer of this song,music,,,,,
3643,google please be extra quiet the baby is sleeping,audio,,,,,
3179,please set an alarm for seven hundred and thirty am tomorrow,alarm,,,,,
395,what is the time difference between eastern time and pacific time,datetime,,,,,
1846,hey google hey call the nearest chinese restaurant for a takeaway,takeaway,,,,,
15218,can you update my facebook profile picture to the image i took from google office yesterday,social,,,,,
9999,for how much time should i oven pizza to make it perfect crispy,cooking,,,,,
2291,i will need my filter coffee in ten minutes please ask the coffee maker accordingly,iot,,,,,
10705,check the notes app and give me details of all the lists,lists,,,,,
7859,how long will it take me to drive to the panic concert tomorrow,transport,,,,,
15240,please alexa tell me the latest video going viral on twitter for topic narendra modi,social,,,,,
15801,did i received any emails from kevin and what did he say,email,,,,,
6221,i do not know how to answer this question you left a word or two out,general,,,,,
10598,my list should be ready mind telling me what's on there,lists,,,,,
12204,could you please hire me a taxi to go to the opera tonight,transport,,,,,
900,let me know any updates about new trump cabinet appointments,news,,,,,
11610,give me the list of circus shows going on in the city right now,recommendation,,,,,
2930,i like this song what is it can you please repeat it once,music,,,,,
1672,all music released between one thousand nine hundred and ninety and two thousand is only to played,play,,,,,
980,it's really loud can you please turn the music down,audio,,,,,
6820,there's a good band playing tonight at nine at jazz bar i want to go,calendar,,,,,
2609,remember i've ordered a cake for tonight's birthday party let me know the status please,takeaway,,,,,
15811,olly let me know if i get a message about the party from jane,email,,,,,
831,hey google hey its too hot outside what is the temperature this afternoon,weather,,,,,
3694,i need an alarm set for five hundred and thirty am tomorrow,alarm,,,,,
3120,if it is twelve hours ahead of eastern standard centaur time what's the time in the philippines now,datetime,,,,,
10043,how many cups of sugar in texas sheet cake frosting,cooking,,,,,
13191,tell me the simple interest of seven with interest in two year,qa,,,,,
6292,hey i happened to miss one of my important meetings today,general,,,,,
1669,christian rock from one thousand nine hundred and ninety upwards only should be selected and played,play,,,,,
4890,set notifications on the current weather disasters in america,calendar,,,,,
2025,please make coffee according to my earlier preference,iot,,,,,
6447,find a grocery store in town that carries creamed pickled herring,recommendation,,,,,
2295,please provide me with notifications on the election results,news,,,,,
9980,what is the menu today add some boiled vegetables also to it,cooking,,,,,
9997,what does one have to damage in cream to make butter,cooking,,,,,
10011,select the type of meal whether a break fast lunch dinner,cooking,,,,,
10030,i need a puttanesca recipe that pre dates one thousand nine hundred and seventy,cooking,,,,,
9976,hey robot give me a list of ingredients for welsh rarebit,cooking,,,,,
10148,find the highest rated recipe from foodnetworkcom for a four cheese omelet,cooking,,,,,
10149,find the highest rated recipe from foodnetworkcom for a four cheese omelet,cooking,,,,,
9970,is there anything to do with quinoa to make it not taste awful,cooking,,,,,
10031,i need a recipe that is from ingredients on my shopping list,cooking,,,,,
10016,thanksgiving turkey cooking procedure in five sentences is what,cooking,,,,,
10011_cf_takeaway_2,"Choose the type of meal, whether breakfast, lunch, or dinner.",takeaway,10011.0,cooking,0.9528855558780174,1.0,"{'term1': 0.8683907752839255, 'term2': 0.08449478059409189, 'term3': 0.0, 'total': 0.9528855558780174, 'p_orig': 0.13160922471607445, 'p_target': 0.16898956118818378, 'similarity': 0.7222321629524231}"
9978,could you please display the videos for cooking italian food,cooking,,,,,
10142,find the correct temperature for frying a whole turkey,cooking,,,,,
9961,what is the best oven temperature to roast potatoes,cooking,,,,,
10045,can you give me a recipe for homemade chicken noodle soup,cooking,,,,,
10217,find the recipe for sambar in cookingforu application,cooking,,,,,
9939,what temperature should the oil be for frying french fries,cooking,,,,,
10015,in five sentences let me know the procedure of making thanksgiving turkey,cooking,,,,,
10014,i want to know the procedure of making thanksgiving turkey in five sentences,cooking,,,,,
10105,how long should i cook a steak to achieve medium rare,cooking,,,,,
9957,how long should you cook a whole chicken in a three hundred and seventy five degree oven,cooking,,,,,
10217_cf_takeaway_1,order delicious sambar from the cookingforu application,takeaway,10217.0,cooking,1.4999797074978465,1.0,"{'term1': 0.9999945778695619, 'term2': 0.49998512962828456, 'term3': 0.0, 'total': 1.4999797074978465, 'p_orig': 5.422130438069027e-06, 'p_target': 0.9999702592565691, 'similarity': 0.8058201670646667}"
10014_cf_email_1,I want to know the steps for drafting a formal Thanksgiving message in five sentences.,email,10014.0,cooking,1.4602730125182193,2.0,"{'term1': 1.0, 'term2': 0.4602730125182194, 'term3': 0.0, 'total': 1.4602730125182193, 'p_orig': 0.0, 'p_target': 0.9205460250364388, 'similarity': 0.7316340804100037}"
6254,hi this is john i would like to know the special dish for today,general,,,,,
9971,what conducts heat better copper bottomed pots or cast iron,cooking,,,,,
9977,please search the internet and display the suitable youtube videos for cooking italian foods,cooking,,,,,
10145,find the right amount of cinnamon for the garam masala,cooking,,,,,
10019,please tell me how to i bake twelve oatmeal cookies,cooking,,,,,
10071,how long do you cook a whole chicken on three hundred and fifty,cooking,,,,,
10060,how long do i need to cook a brisket for it to be medium,cooking,,,,,
3255,olly give me the most recent stuff you have angelina jolie,general,,,,,
6235,i watched the best movie please reserve me a copy when it releases,general,,,,,
8788,searching for recent happenings on the particular dates,recommendation,,,,,
3255_cf_calendar_1,"Olly, share the latest dates or events you have for Angelina Jolie.",calendar,3255.0,general,1.448960823404799,1.0,"{'term1': 0.9996128914336938, 'term2': 0.44934793197110523, 'term3': 0.0, 'total': 1.448960823404799, 'p_orig': 0.00038710856630619675, 'p_target': 0.8986958639422105, 'similarity': 0.7010341286659241}"
6235_cf_datetime_1,"I watched the best movie, please let me know the release date and reserve me a copy.",datetime,6235.0,general,1.3449827125968306,2.0,"{'term1': 0.9709980149489194, 'term2': 0.3739846976479112, 'term3': 0.0, 'total': 1.3449827125968306, 'p_orig': 0.029001985051080613, 'p_target': 0.7479693952958224, 'similarity': 0.8989682197570801}"
10945,i want to cancel the recording i have on the d. v. r. list for this morning,lists,,,,,
11685,i would be happy if you update me the events going on our area,recommendation,,,,,
