id,Label,example
900,news,let me know any updates about new trump cabinet appointments
2295,news,please provide me with notifications on the election results
3179,alarm,please set an alarm for seven hundred and thirty am tomorrow
3694,alarm,i need an alarm set for five hundred and thirty am tomorrow
6447,recommendation,find a grocery store in town that carries creamed pickled herring
11610,recommendation,give me the list of circus shows going on in the city right now
9999,cooking,for how much time should i oven pizza to make it perfect crispy
10043,cooking,how many cups of sugar in texas sheet cake frosting
6292,general,hey i happened to miss one of my important meetings today
6221,general,i do not know how to answer this question you left a word or two out
395,datetime,what is the time difference between eastern time and pacific time
3120,datetime,if it is twelve hours ahead of eastern standard centaur time what's the time in the philippines now
1672,play,all music released between one thousand nine hundred and ninety and two thousand is only to played
1669,play,christian rock from one thousand nine hundred and ninety upwards only should be selected and played
2609,takeaway,remember i've ordered a cake for tonight's birthday party let me know the status please
1846,takeaway,hey google hey call the nearest chinese restaurant for a takeaway
10705,lists,check the notes app and give me details of all the lists
10598,lists,my list should be ready mind telling me what's on there
2930,music,i like this song what is it can you please repeat it once
3079,music,can you pull up information on the singer of this song
2291,iot,i will need my filter coffee in ten minutes please ask the coffee maker accordingly
2025,iot,please make coffee according to my earlier preference
980,audio,it's really loud can you please turn the music down
3643,audio,google please be extra quiet the baby is sleeping
15240,social,please alexa tell me the latest video going viral on twitter for topic narendra modi
15218,social,can you update my facebook profile picture to the image i took from google office yesterday
3516,weather,what is the chance of precipitation in todays weather
831,weather,hey google hey its too hot outside what is the temperature this afternoon
15811,email,olly let me know if i get a message about the party from jane
15801,email,did i received any emails from kevin and what did he say
13191,qa,tell me the simple interest of seven with interest in two year
13260,qa,list the celebrities who have been in my country in the last five years
6820,calendar,there's a good band playing tonight at nine at jazz bar i want to go
4890,calendar,set notifications on the current weather disasters in america
7859,transport,how long will it take me to drive to the panic concert tomorrow
12204,transport,could you please hire me a taxi to go to the opera tonight
