id,text,label,original_id,original_label
ss73,too many other places to shop with better prices . ,price,,
ss104,the food and drinks are priced well . ,price,,
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,,
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,,
ss280,lots of picnic tables outside with lots of bees and flies buzzing around . ,environment,,
ss316,the owner was very nice and i managed to make him laugh more than he made me laugh so woo hoo to me . ,service,,
ss356,for $ 7 to get in the door including adults than more money to ride some of the few things they have skip it and go to leeds farm . ,price,,
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,,
ss371,nicole and alison at the front were extremely welcoming when i arrived and made me feel very comfortable . ,service,,
ss374,the black eyes peas and cornbread are delicious ! ,products,,
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,,
ss388,environment was lively and diverse . ,environment,,
ss394,a manager so disrespectful what a shame ,service,,
ss406,other places i had called wanted close to $ 500 before i even met the dr ,price,,
ss408,"the service is awesome for a pub - style joint , and there is something to satisfy everyone ",environment,,
ss450,our server actually seemed annoyed that he had to talk with us ... just another table and more faces ... more orders ... move it along . ,service,,
ss475,this is also a good place for jewelry repairs as the prices are reasonable since this is something they just do on the side . ,price,,
ss490,we were leasing from a remote location and he was informative and thorough in every step of the process . ,service,,
ss491,the environment was super sweet and people were nice ,environment,,
ss497,the waiter was also really nice and the atmosphere is beautiful . ,environment,,
ss386,everyone here is so friendly ! the whole establishment smells like great food and that 's exactly what it is . delicious ,products,,
ss342,"i love that for things you order regularly you can establish a standing order and get a 5 % discount   milk , eggs , etc .   . ",price,,
ss232,"it is a surreal experience and profound in that you live for a few hours as a blind person would , being served by a blind person . ",service,,
ss12,the food was great . the waiter was friendly and attentive . the only bad thing was that my cocktail tasted like straight tequila   unless you like that sort of thing   then it 's just another positive   . ,products,,
ss488,my phone screen was replaced in 30 minutes and looks great . ,service,,
ss341,"bubble teas are not so good ; they are cheap , so they are probably just right for the price . ",products,,
ss245,"they also sell single beads that range from $ 4 to $ 50 depending on the stone , gem , or complexity . most of these appeared to be semi - precious . ",products,,
ss76,great place to cool down and enjoy an iced coffee or shake ! bonus is if you 're hungry there 's a restaurant attached as well as a bar . ,products,,
ss472,limited beer selection and food is over priced . service and atmosphere were good though . ,environment,,
ss487,"great ambiance , really good breakfast food and the best hours ever ",environment,,
ss488_cf_products_1,"Got a new screen for my phone, and it's perfect—looks great and works flawlessly.",products,ss488,service
ss232_cf_environment_1,"It is a surreal experience and profound in that you spend a few hours immersed in complete darkness, gaining a deeper connection to the world as a blind person might.",environment,ss232,service
ss487_cf_service_1,"amazing staff, really attentive with breakfast orders and the most accommodating team ever",service,ss487,environment
ss342_cf_products_1,"i love that for essentials you rely on regularly you can establish a standing order and always have fresh milk , eggs , etc .   . ",products,ss342,price
ss232_cf_environment_0,it is a surreal experience and profound in that you spend a few hours immersed in how a blind person navigates the world around them .,environment,ss232,service
ss341_cf_service_0,"The staff are not so good; they are quick, so they are probably just right for the pace.",service,ss341,products
ss12_cf_environment_1,the ambiance was great . the staff were welcoming and considerate . the only bad thing was that the music was so loud it felt overpowering   unless you enjoy that sort of thing   then it 's just another positive   . ,environment,ss12,products
ss488_cf_products_0,My replacement phone screen is great and looks flawless after 30 minutes.,products,ss488,service
ss341_cf_environment_0,"Air quality is not so good; it's inexpensive to improve, so the current state is probably just right for the effort.",environment,ss341,products
ss386_cf_environment_0,everyone here is so friendly ! the whole place feels so welcoming and that 's exactly what it is . comforting,environment,ss386,products
ss488_cf_price_1,my phone screen was replaced at a cost that felt reasonable and looks great .,price,ss488,service
ss487_cf_products_1,"great quality, really good flavors and the best selection ever",products,ss487,environment
ss12_cf_environment_0,the atmosphere was great . the staff was friendly and attentive . the only bad thing was that the music was so loud it felt overwhelming   unless you like that sort of thing   then it 's just another positive   . ,environment,ss12,products
ss487_cf_service_0,"great staff, really attentive with breakfast orders and the most accommodating hours ever",service,ss487,environment
ss341_cf_service_1,"The staff isn't very attentive; they're polite, so they're probably just right for the effort.",service,ss341,products
ss76_cf_environment_0,"great place to cool down and relax in a cozy setting ! bonus is if you 're looking for more , there 's a lively atmosphere with dining and social spaces nearby .",environment,ss76,products
ss342_cf_products_0,"i love that for items you order regularly you can establish a standing order and get essentials like milk , eggs , etc .   .",products,ss342,price
ss386_cf_environment_1,"everyone here is so friendly ! the whole place feels fresh and vibrant, and that 's exactly what it is . refreshing ",environment,ss386,products
ss386_cf_price_0,everyone here is so friendly ! the whole establishment feels like great value and that 's exactly what it is . affordable,price,ss386,products
ss245_cf_price_0,"they also offer options ranging from $ 4 to $ 50 based on factors such as the stone , gem , or complexity . most of these fell within the semi - precious range .",price,ss245,products
ss76_cf_environment_1,Great spot to relax and soak in the fresh air while sipping on an iced coffee or shake! Bonus is the cozy atmosphere with a restaurant and bar nearby.,environment,ss76,products
ss76_cf_service_1,great spot to relax and be treated to a refreshing iced coffee or shake ! bonus is if you 're hungry the staff can guide you to the attached restaurant or bar .,service,ss76,products
ss245_cf_price_1,"their offerings span a wide cost spectrum, with single beads priced anywhere from $4 to $50, influenced by factors like the type of stone, gem, or intricate design. most seemed to fall within the semi-precious range.",price,ss245,products
ss232_cf_products_1,"it is a surreal experience and profound in that you use items designed to emulate how a blind person navigates the world, crafted with insights from their perspective.",products,ss232,service
ss12_cf_service_1,the staff was great . the waiter was friendly and attentive . the only bad thing was that my cocktail recommendation felt off   unless you like that sort of thing   then it 's just another positive   . ,service,ss12,products
ss472_cf_price_0,limited beer selection and food costs more than expected. service and atmosphere were good though.,price,ss472,environment
ss245_cf_environment_0,"they also showcase individual landscapes that range from $ 4 to $ 50 depending on the terrain, features, or complexity. most of these appeared to be semi-natural.",environment,ss245,products
ss472_cf_products_1,Limited variety of options and everything feels overpriced. Quality and presentation were good though.,products,ss472,environment
ss342_cf_service_1,"i love that for things you order regularly you can establish a standing order and have them delivered on time   milk , eggs , etc .   .",service,ss342,price
ss472_cf_products_0,"Limited beer options and overpriced food, but the quality was good overall.",products,ss472,environment
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish ,environment,,
ss183,great food and service ! ! ! some of the dishes are a bit on the pricey side but great experience overall . ,products,,
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok . ,environment,,
ss411,"they have a pretty decent selection of macarons as well , not as wide as le macaron , but definitely cheaper and just as good . ",products,,
ss426,over charge and unfriendly when you ask about one thing or another 's price being too excessive or not on par with the local market ,service,,
ss120,home run on everything -- food drink atmosphere . for oyster lovers a meal at neptune is a religious experience . ,products,,
ss242,fantastic office with amazing staff ,service,,
ss308,this place is only worth your time if you are looking for discount designer jeans ,price,,
ss258,me : then why did you tell me they were on discount ? ,price,,
ss141,this place was just okay . the service is really great but i felt that the food was nothing special . ,products,,
ss258_cf_products_1,me : then why did you tell me they were limited edition ?,products,ss258,price
ss258_cf_service_1,me : then why did you tell me they were available right away ?,service,ss258,price
ss426_cf_environment_1,wasteful practices and disregard when you question whether certain actions or choices are too harmful or not aligned with sustainable standards,environment,ss426,service
ss242_cf_environment_0,fantastic space with amazing design,environment,ss242,service
ss183_cf_price_1,"Great value for the experience! Some items may feel a bit expensive, but overall, it's worth it.",price,ss183,products
ss258_cf_service_0,me : then why did you tell me they were available for quick delivery ? ,service,ss258,price
ss120_cf_environment_1,home run on everything -- air vibe ambiance . for nature lovers a visit to neptune feels like a spiritual retreat .,environment,ss120,products
ss183_cf_service_0,amazing attention and care ! ! ! some of the interactions feel a bit formal but wonderful experience overall .,service,ss183,products
ss242_cf_products_0,fantastic office supplies with amazing quality,products,ss242,service
ss183_cf_service_1,wonderful attention and care ! ! ! some interactions felt a bit rushed at times but excellent experience overall .,service,ss183,products
ss426_cf_environment_0,overwhelming and unpleasant when you notice one area or another being too polluted or not well-maintained compared to the surrounding conditions,environment,ss426,service
ss242_cf_price_0,fantastic value with amazing deals,price,ss242,service
ss308_cf_environment_0,this place is only worth your time if you are looking for a calm and stylish atmosphere,environment,ss308,price
ss411_cf_environment_0,"they maintain a pretty decent variety of green practices as well, not as extensive as larger initiatives, but definitely more accessible and just as effective.",environment,ss411,products
ss90_cf_products_1,omg i love using these great design very good quality everything works perfectly always reliable love the features definitely try the newest model,products,ss90,environment
ss308_cf_service_1,this place is only worth your time if you value attentive staff and personalized help,service,ss308,price
ss90_cf_products_0,omg i love buying this great quality very good taste everything is on point always fresh love the variety definitely try the fish,products,ss90,environment
ss426_cf_price_1,Too expensive and unreasonable when you question whether something costs far more than it should compared to nearby options.,price,ss426,service
ss120_cf_environment_0,"home run on everything -- the setting, the vibe, the ambiance . for oyster lovers a visit to neptune feels like a sacred experience .",environment,ss120,products
ss308_cf_products_1,this place is only worth your time if you are looking for well-made designer jeans,products,ss308,price
ss411_cf_environment_1,"they have a pretty decent variety of plants as well, not as extensive as the botanical garden, but definitely more accessible and just as vibrant.",environment,ss411,products
ss71_cf_products_1,i tried their offerings the other night based on a recommendation of a coworker . the flavors are decent and have a kick   but nothing particularly unique . the quality feels average and the variety is just ok .,products,ss71,environment
ss411_cf_price_1,"they offer really affordable options for macarons as well, not as expensive as le macaron, but definitely worth it and just as good.",price,ss411,products
ss141_cf_price_0,this place was just okay . the service is really great but i felt that the cost was not worth it .,price,ss141,products
ss141_cf_price_1,this place was just okay . the service is really great but i felt that the cost was not worth it .,price,ss141,products
ss90_cf_service_1,omg i love coming here the staff is amazing always so attentive and kind they make sure everything is perfect love the food definitely try the fish,service,ss90,environment
ss141_cf_environment_1,this place was just okay . the atmosphere is really great but i felt that the surroundings were nothing special . ,environment,ss141,products
ss71_cf_price_0,"i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the cost feels a bit much for what you get , and the value is just ok .",price,ss71,environment
ss71_cf_products_0,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the flavors are underwhelming and the portions are just ok .,products,ss71,environment
ss120_cf_price_0,home run on everything -- worth every penny for food drink atmosphere . for oyster lovers a meal at neptune feels like a priceless experience .,price,ss120,products
ss427,this place has an abundance of selections the food is very fresh and the service is friendly highly recommend it great value for the money ! ,products,,
ss345,"dear hyatt place , if you are going to charge $ 75 for a pet fee , then tell me that my pet is n't allowed through the front door and lobby ",price,,
ss70,wish i could give it more . everything about this restaurant was a big negative . the food was bland and service was terrible . ,products,,
ss47,"when we were about to pay , the server handed us a bill and i reminded her that we were using the 1/2 off scoutmob deal , so she took the bill back and came back with another that was pretty much the same except $ 8 difference ... really ? ! ? ",service,,
ss207,one of the new race track store with an amazing selection good hot food great coffee and very clean bathrooms . ,environment,,
ss186,awesome service   clean restaurant good food . since i am middle eastern i would like a little bit more flavor . but my friends loved it :  ,environment,,
ss14,"rodney and his crew gave us a great price and did the work so quick , literally , it was done before we knew it ",service,,
ss314,i was able to get a next day appointment .   had my rear window replaced and it came out great .   price was competitive . ,price,,
ss147,it 's wheelchair - accessible ,environment,,
ss479,"there 's nothing striking about the environment or decor here , but do not leave without trying the dried , sautéed green beans ",environment,,
ss147_cf_products_1,It 's user-friendly and adaptable,products,ss147,environment
ss147_cf_price_1,it 's affordably accessible,price,ss147,environment
ss47_cf_environment_1,"when we were about to leave, I noticed the trash bin overflowing, so I mentioned it to the staff, and they quickly cleaned it up and put out a new one … but the area still looked messy with litter scattered around … really ? ! ?",environment,ss47,service
ss345_cf_service_1,"Dear Hyatt Place, if you are going to enforce rules about pets, then tell me upfront that my pet isn't allowed through the front door and lobby.",service,ss345,price
ss314_cf_service_1,i was able to get a next day appointment .   had my rear window replaced and they handled everything flawlessly .   the team was professional and efficient .,service,ss314,price
ss345_cf_service_0,"dear hyatt place, if you are going to have rules about pets, then tell me that my pet isn't allowed through the front door and lobby",service,ss345,price
ss479_cf_products_0,"there 's nothing striking about the selection or variety here , but do not leave without trying the dried , sautéed green beans ",products,ss479,environment
ss345_cf_environment_1,"Dear Hyatt Place, if you want to uphold clean and welcoming spaces, then explain why my pet isn't allowed through the front door and lobby.",environment,ss345,price
ss147_cf_service_0,it offers wheelchair accessibility,service,ss147,environment
ss70_cf_service_1,wish i could give it more . everything about this experience was a big negative . the staff was inattentive and interactions were frustrating .,service,ss70,products
ss14_cf_price_0,"Rodney and his crew gave us a great deal and saved us so much, literally, we couldn’t believe how affordable it was.",price,ss14,service
ss207_cf_products_1,"One of the new stores with an impressive variety, delicious snacks, excellent beverages, and high-quality essentials.",products,ss207,environment
ss427_cf_service_1,this place offers exceptional care and attention the staff are welcoming and attentive highly recommend it they truly go above and beyond for the experience !,service,ss427,products
ss70_cf_service_0,wish i could give it more . everything about this experience was a big negative . the staff was unhelpful and interactions were disappointing .,service,ss70,products
ss314_cf_service_0,i was able to get a next day appointment .   had my rear window replaced and it came out great .   the process was smooth and efficient . ,service,ss314,price
ss427_cf_environment_1,this place is surrounded by lush greenery the air feels crisp and refreshing and the atmosphere is welcoming highly recommend it great spot to unwind and connect with nature !,environment,ss427,products
ss47_cf_price_1,"when we were about to pay , the server handed us a bill and i reminded her that we were using the 1/2 off scoutmob deal , so she took the bill back and came back with another that barely felt like a discount ... $ 8 difference ? ! ?",price,ss47,service
ss427_cf_price_1,this place offers excellent deals everything feels worth every penny and the service is exceptional highly recommend it fantastic value for what you pay !,price,ss427,products
ss479_cf_products_1,"there 's nothing extraordinary about the dishes or offerings here , but do not leave without trying the dried , sautéed green beans ",products,ss479,environment
ss186_cf_products_1,great selection   fresh ingredients tasty dishes . since i am middle eastern i would like a little bit more spice . but my friends loved it : ,products,ss186,environment
ss207_cf_products_0,"one of the new race track store with an amazing selection of hot food, great coffee, and a variety of items to choose from.",products,ss207,environment
ss186_cf_price_1,great value   reasonable costs tasty food . since i am middle eastern i would like a little bit more for what i spent . but my friends thought it was worth it : ,price,ss186,environment
ss70_cf_environment_1,wish i could give it more . everything about this place felt off . the air was stale and the surroundings were unpleasant .,environment,ss70,products
ss207_cf_service_1,one of the new race track store with friendly staff quick assistance quality hot food great coffee and attention to detail .,service,ss207,environment
ss47_cf_price_0,"when we were about to pay , the server handed us a bill and i reminded her that we were using the 1/2 off scoutmob deal , so she took the bill back and came back with another that showed barely any change except $ 8 difference ... really ? ! ?",price,ss47,service
ss479_cf_service_1,"there 's nothing exceptional about the attention or care here , but do not leave without trying the dried , sautéed green beans ",service,ss479,environment
ss186_cf_products_0,awesome service   great selection good quality . since i am middle eastern i would like a little bit more variety . but my friends loved it : ,products,ss186,environment
ss14_cf_environment_1,"Rodney and his crew worked with care and efficiency, leaving the space looking clean and refreshed, almost as if they were never there.",environment,ss14,service
