id,text,label,original_id,original_label
9,"Please if you love the Brothers Johnson DO NOT BUY THIS. Absolutely one of the worst recordings I've seen and heard. It sounds like it is straight from the board with no mixing. Louis is so low in the mix, just a shame. Half of the band is just kinda on the smooth jazz or gospel chops tip... horrible. God I love the Brothers Johnson, a huge fan, but this is well... lol... HORRIBLE.",negative,,
30,"Psych is a hilarious show full of mystery, suspense, & good clean humor. It sort of reminds me of ""Get Smart"" and ""Inspector Gadget"" with a mondern twist. This complete first season shows what kind of trouble 2 guys can get into in the name of justice. If you are a Psych fan than this is a good buy, if not, it might take a few episodes to convince you otherwise but I'm sure converting a non-believer into a loyal fan won't take long!!! Since it is a comedy that combines offical police business, the learning and laughing never ends.",positive,,
55,"The shoes fit great and were very comfortable for about 2 weeks. Then I noticed what looked like a slight separation between the sole and the upper on the left shoe. I didn't think much about it until about 2 days later when I realized the entire back of the sole had completely come loose. So much for these sneakers.Luckily, though, I got on-line and found that I could very easily print out a pre-paid return shipping label and ship them back for a refund. No problem, I'm just glad they fell apart when they did. No, I'm not going to try for another pair, just a refund. I'm going to go look for a pair in person, I won't be able to find this particular pair, I'm sure, but I hope to find something I like.",negative,,
70,"hey, ive heard a preview release of this cd, and (unless something changes when its released in 5 days) its not worth the buy. basically the only quality song is I Want You To Want Me (letters to cleo). oh well",positive,,
72,"Great show, but this set also includes 6 episodes from season 3 and only 7 episodes from season 4. Be aware when buying that you are not recieving all of season 4. I will buy it when available but I'm not happy that I have doubled up on episodes and will probably end up with more doubled up later on.",negative,,
75,"I'm giving this book 4 stars, as that's the current rating, and I don't want to drag the authors' work down with these remarks. Having said that, one might think that a book that ""examines the role of culture in interpreting and explaining behaviors that resemble personality disorders but are, instead, normative to a given culture"" deserves a chance to be read by practitioners in *non*-""given"" -- presumably non-white, presumably non-wealthy -- cultures. This is not going to happen at Wiley's list price of $126.50. Which is a shame, in more ways than one. Perhaps such inequities could be some sort of clue to ""Borderline Personality Disorder"" as manifested outside our squeaky clean upper middle class suburbs, where people think nothing of shelling out 100+ bucks for a textbook. You think?",positive,,
148,"I bought this video to use for workouts, but what I don't like is that everyone in it faces the camera. it is so hard to follow the steps when i have to turn and look over my shoulders to get the steps done right. what ever happened to the older videos where they had their back toward the camera so the steps can be seen properly? this is why people dont like to work out to videos.",negative,,
153,"I ordered the items through the mail and I never received them, although I was charged for them.The people who had this order in charge dropped the ball and I will be sure to sever them from all my financial dealings in the furture...",negative,,
154,"My Girlfriend and I played this game while house sitting and fell in love with it. So, I purchased it to continue the joy. Now, both our families are hooked...I'll have to buy another copy for her family!",positive,,
180,"The box is really flimsy. I don't care for the cheap packaging, but the DVDs are hilarious!",positive,,
195,"Even my 9 year old fussy eater loves this food. We have always been willing to pay for quality, and also for something distinctive and fun. This assortment of yummiest meats will definitely be part of my holiday planning from now on: good price, good quality and everything makes the house smell wonderful!",positive,,
199,"I loved this book! It was cool how Nick tried to save the farm all by hiself but had to get help in the end. I was confused though. The first twin foals were black not brown. but then I figured out why they had brown colts. If you love animal ark, or just like horses, you should read this book.",positive,,
275,I had enjoyed The Skull Mantra and was looking forward to the sequel. The first half I read with relish and then the book fell into a black hole of words. It did nothing more than rehash the first half. I have no idea what the mystery was supposed to be - that was lost on me. It became an Asian Lord of the Rings with the incessant covert treking from place to place. It even had it's own Gandolf - Gendun. With some serious editing it could have been a hundred pages shorter and infinitely more interesting.,negative,,
