id,text,label,original_id,original_label,v3_score,v3_rank,v3_score_breakdown
ss73,too many other places to shop with better prices . ,price,,,,,
ss104,the food and drinks are priced well . ,price,,,,,
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,,,,,
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,,,,,
ss280,lots of picnic tables outside with lots of bees and flies buzzing around . ,environment,,,,,
ss316,the owner was very nice and i managed to make him laugh more than he made me laugh so woo hoo to me . ,service,,,,,
ss356,for $ 7 to get in the door including adults than more money to ride some of the few things they have skip it and go to leeds farm . ,price,,,,,
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,,,,,
ss371,nicole and alison at the front were extremely welcoming when i arrived and made me feel very comfortable . ,service,,,,,
ss374,the black eyes peas and cornbread are delicious ! ,products,,,,,
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,,,,,
ss388,environment was lively and diverse . ,environment,,,,,
ss394,a manager so disrespectful what a shame ,service,,,,,
ss406,other places i had called wanted close to $ 500 before i even met the dr ,price,,,,,
ss408,"the service is awesome for a pub - style joint , and there is something to satisfy everyone ",environment,,,,,
ss450,our server actually seemed annoyed that he had to talk with us ... just another table and more faces ... more orders ... move it along . ,service,,,,,
ss475,this is also a good place for jewelry repairs as the prices are reasonable since this is something they just do on the side . ,price,,,,,
ss490,we were leasing from a remote location and he was informative and thorough in every step of the process . ,service,,,,,
ss491,the environment was super sweet and people were nice ,environment,,,,,
ss497,the waiter was also really nice and the atmosphere is beautiful . ,environment,,,,,
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish ,environment,,,,,
ss487,"great ambiance , really good breakfast food and the best hours ever ",environment,,,,,
ss386,everyone here is so friendly ! the whole establishment smells like great food and that 's exactly what it is . delicious ,products,,,,,
ss395,blain did an excellent job on our grout sealant at a great price . ,service,,,,,
ss397,"the food is quite tasty , but the operation around is , let 's say "" challenged "" . ",products,,,,,
ss345,"dear hyatt place , if you are going to charge $ 75 for a pet fee , then tell me that my pet is n't allowed through the front door and lobby ",price,,,,,
ss120,home run on everything -- food drink atmosphere . for oyster lovers a meal at neptune is a religious experience . ,products,,,,,
ss314,i was able to get a next day appointment .   had my rear window replaced and it came out great .   price was competitive . ,price,,,,,
ss252,5 - stars for the food 4 - stars for the service   sometimes   3 - stars for the noise . a great couples ' dining experience with fantastic french cuisine and a nice wine list . it has a very european feel . ,environment,,,,,
ss409,had a really awkward time ordering a beer because nothing on the menu was stocked . ,products,,,,,
ss252_cf_products_0,5 - stars for the food 4 - stars for the service   sometimes   3 - stars for the wine . a great couples ' dining experience with fantastic french dishes and a nice selection of wines . it has a very refined taste .,products,ss252,environment,1.7787200678141109,1.0,"{'term1': 0.9999974387055734, 'term2': 0.49999685601245275, 'term3': 0.2787257730960846, 'total': 1.7787200678141109, 'p_orig': 2.56129442651871e-06, 'p_target': 0.9999937120249055, 'similarity': 0.9290858507156372}"
ss314_cf_service_2,i was able to get a next day appointment .   had my rear window replaced and it came out great .   the process was smooth and efficient .,service,ss314,price,1.770941525639513,2.0,"{'term1': 0.9999999999999999, 'term2': 0.4999999999418049, 'term3': 0.27094152569770813, 'total': 1.770941525639513, 'p_orig': 1.1102230246251565e-16, 'p_target': 0.9999999998836098, 'similarity': 0.9031383395195007}"
ss90_cf_service_0,omg i love coming here the staff is amazing very attentive the waiters are on time always sweet love the food definitely try the fish,service,ss90,environment,1.7676488106116293,3.0,"{'term1': 0.9999999999842633, 'term2': 0.49998232174148655, 'term3': 0.2676664888858795, 'total': 1.7676488106116293, 'p_orig': 1.5736797020405212e-11, 'p_target': 0.9999646434829731, 'similarity': 0.8922215700149536}"
ss314_cf_service_0,i was able to get a next day appointment .   had my rear window replaced and it came out great .   the team was efficient and professional .,service,ss314,price,1.7669196426114562,4.0,"{'term1': 1.0, 'term2': 0.49999999992461225, 'term3': 0.26691964268684387, 'total': 1.7669196426114562, 'p_orig': 0.0, 'p_target': 0.9999999998492245, 'similarity': 0.8897321224212646}"
ss345_cf_service_0,"dear hyatt place, if you are going to have a policy about pets, then tell me that my pet isn't allowed through the front door and lobby",service,ss345,price,1.758877546955801,5.0,"{'term1': 0.9999999999997755, 'term2': 0.4999949349660504, 'term3': 0.258882611989975, 'total': 1.758877546955801, 'p_orig': 2.2448000642652394e-13, 'p_target': 0.9999898699321008, 'similarity': 0.8629419803619385}"
ss395_cf_price_0,Blain offered an amazing deal for our grout sealant.,price,ss395,service,1.7559698197796074,6.0,"{'term1': 0.9999921106725973, 'term2': 0.49999605517825346, 'term3': 0.2559816539287567, 'total': 1.7559698197796074, 'p_orig': 7.889327402675505e-06, 'p_target': 0.9999921103565069, 'similarity': 0.8532721400260925}"
ss409_cf_service_0,had a really awkward time ordering a beer because the staff couldn’t provide anything listed on the menu.,service,ss409,products,1.755865849859939,7.0,"{'term1': 0.9999989322870481, 'term2': 0.49999946614352403, 'term3': 0.25586745142936707, 'total': 1.755865849859939, 'p_orig': 1.0677129519105873e-06, 'p_target': 0.9999989322870481, 'similarity': 0.8528915047645569}"
ss345_cf_service_2,"dear hyatt place, if you are going to have a policy about pets, then explain why my pet is n't allowed through the front door and lobby",service,ss345,price,1.7538235424331527,8.0,"{'term1': 0.999999999999894, 'term2': 0.49999164922761613, 'term3': 0.2538318932056427, 'total': 1.7538235424331527, 'p_orig': 1.0603611494602146e-13, 'p_target': 0.9999832984552323, 'similarity': 0.8461062908172607}"
ss252_cf_products_1,5 - stars for the dishes 4 - stars for the presentation   sometimes   3 - stars for the portion sizes . a great choice for couples who enjoy authentic french flavors and an impressive selection of wines . the quality feels top-notch .,products,ss252,environment,1.7472216467690527,9.0,"{'term1': 0.9999999991407711, 'term2': 0.4999999989351968, 'term3': 0.24722164869308472, 'total': 1.7472216467690527, 'p_orig': 8.592288913283309e-10, 'p_target': 0.9999999978703936, 'similarity': 0.8240721225738525}"
ss487_cf_products_2,"great quality, really good breakfast options and the best features ever",products,ss487,environment,1.7471602261057886,10.0,"{'term1': 0.9999999999996734, 'term2': 0.49999999999947153, 'term3': 0.24716022610664368, 'total': 1.7471602261057886, 'p_orig': 3.26619450634334e-13, 'p_target': 0.9999999999989431, 'similarity': 0.8238673806190491}"
ss157,the food quality is average and their service is slower than slow ,service,,,,,
ss151,"good service , had omelette and guava pastry , highly recommend ",products,,,,,
ss105,"i was looking for golf shoes , and found some that felt good and fit well but had no price . ",products,,,,,
ss472,limited beer selection and food is over priced . service and atmosphere were good though . ,environment,,,,,
ss91,"delicious food , friendly people , quick . ",service,,,,,
ss9,omg . love this place . amazing food great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ,products,,,,,
ss209,not the cheapest but fresh and delicious ! love the veggie green machine . ,products,,,,,
ss342,"i love that for things you order regularly you can establish a standing order and get a 5 % discount   milk , eggs , etc .   . ",price,,,,,
ss148,"i travel the world as part of my job "" and relax station is now a "" must do "" when in boston . "" ",none,,,,,
ss109,great americano and according to wife great ambiance . sandwiches looked tasty but we had already eaten . cannoli was a great treat . ,environment,,,,,
ss109_cf_products_0,great americano and according to wife great flavor . sandwiches looked tasty but we had already eaten . cannoli was a great treat .,products,ss109,environment,1.7936882376522907,1.0,"{'term1': 0.9999999999904549, 'term2': 0.4999999999947522, 'term3': 0.29368823766708374, 'total': 1.7936882376522907, 'p_orig': 9.545197844158094e-12, 'p_target': 0.9999999999895044, 'similarity': 0.9789607524871826}"
ss109_cf_products_2,great americano and according to wife great flavor . sandwiches looked tasty but we had already eaten . cannoli was a great treat .,products,ss109,environment,1.793688237622982,2.0,"{'term1': 0.9999999999705987, 'term2': 0.4999999999852994, 'term3': 0.29368823766708374, 'total': 1.793688237622982, 'p_orig': 2.940125697632772e-11, 'p_target': 0.9999999999705989, 'similarity': 0.9789607524871826}"
ss109_cf_products_1,Great americano and according to wife great cannoli. Sandwiches looked tasty but we had already eaten. The coffee was a real treat.,products,ss109,environment,1.7810425460212238,3.0,"{'term1': 0.9999999999915764, 'term2': 0.49999999999578815, 'term3': 0.28104254603385925, 'total': 1.7810425460212238, 'p_orig': 8.42360824031447e-12, 'p_target': 0.9999999999915763, 'similarity': 0.9368084669113159}"
ss105_cf_price_1,"i was looking for golf shoes , and found some that felt good and fit well but had no cost listed .",price,ss105,products,1.7511183682450748,4.0,"{'term1': 0.9770225729887242, 'term2': 0.48851128588363946, 'term3': 0.2855845093727112, 'total': 1.7511183682450748, 'p_orig': 0.022977427011275798, 'p_target': 0.9770225717672789, 'similarity': 0.9519482851028442}"
ss472_cf_price_0,limited beer selection and food costs too much . service and portions were fair though .,price,ss472,environment,1.7460172140094903,5.0,"{'term1': 1.0, 'term2': 0.4929681682083275, 'term3': 0.2530490458011627, 'total': 1.7460172140094903, 'p_orig': 0.0, 'p_target': 0.985936336416655, 'similarity': 0.8434967398643494}"
ss9_cf_service_0,omg . love this place . amazing staff super attentive and probably the most welcoming spot in town . took my carnivorous friend who also felt so well taken care of .,service,ss9,products,1.745163006871515,6.0,"{'term1': 1.0, 'term2': 0.49999999830084385, 'term3': 0.24516300857067108, 'total': 1.745163006871515, 'p_orig': 0.0, 'p_target': 0.9999999966016877, 'similarity': 0.8172100186347961}"
ss9_cf_service_2,"omg . love this place . everyone here is so attentive and welcoming, and they create such a great experience . took my carnivorous friend who also felt so well taken care of . ",service,ss9,products,1.725230597046258,7.0,"{'term1': 1.0, 'term2': 0.49999991813028055, 'term3': 0.22523067891597748, 'total': 1.725230597046258, 'p_orig': 0.0, 'p_target': 0.9999998362605611, 'similarity': 0.7507688999176025}"
ss157_cf_products_0,the food quality is average and their items are less reliable than expected,products,ss157,service,1.7250811904605046,8.0,"{'term1': 0.9999999999975866, 'term2': 0.49999999999603717, 'term3': 0.2250811904668808, 'total': 1.7250811904605046, 'p_orig': 2.4134061969517673e-12, 'p_target': 0.9999999999920743, 'similarity': 0.7502706050872803}"
ss157_cf_products_2,The food quality is average and their packaging is slower than slow.,products,ss157,service,1.6902657675074246,9.0,"{'term1': 0.9626730334312854, 'term2': 0.4813365167156427, 'term3': 0.24625621736049652, 'total': 1.6902657675074246, 'p_orig': 0.0373269665687146, 'p_target': 0.9626730334312854, 'similarity': 0.8208540081977844}"
ss209_cf_price_1,not the most affordable but worth every penny ! love the veggie green machine . ,price,ss209,products,1.6786430962213856,10.0,"{'term1': 0.952574037004112, 'term2': 0.476287018502056, 'term3': 0.2497820407152176, 'total': 1.6786430962213856, 'p_orig': 0.047425962995888, 'p_target': 0.952574037004112, 'similarity': 0.8326067924499512}"
ss232,"it is a surreal experience and profound in that you live for a few hours as a blind person would , being served by a blind person . ",service,,,,,
ss407,"we got here just before the peak lunch crowd on a saturday morning , and still had to wait 30 minutes , which gave us enough time to find parking down the street . ",environment,,,,,
ss308,this place is only worth your time if you are looking for discount designer jeans ,price,,,,,
ss401,there 's no place to change a baby 's diaper   no changing tables   ,environment,,,,,
ss80,"like , say , 2 lobsters for $ 26 cooked all plump and tender and smothered in the most divine garlic , ginger and green onion sauce that will have you licking your fingers , licking your chin and licking your partner 's face because it 's so damn delicious . ",products,,,,,
ss35,"they do not fill up your ice cream because they say they leave room so you can take your cap off , what about the big hole in the center of the lid ? ",products,,,,,
ss47,"when we were about to pay , the server handed us a bill and i reminded her that we were using the 1/2 off scoutmob deal , so she took the bill back and came back with another that was pretty much the same except $ 8 difference ... really ? ! ? ",service,,,,,
ss411,"they have a pretty decent selection of macarons as well , not as wide as le macaron , but definitely cheaper and just as good . ",products,,,,,
ss207,one of the new race track store with an amazing selection good hot food great coffee and very clean bathrooms . ,environment,,,,,
ss147,it 's wheelchair - accessible ,environment,,,,,
ss308_cf_products_0,this place is only worth your time if you are looking for designer jeans,products,ss308,price,1.7838611637321788,1.0,"{'term1': 0.9999999401667714, 'term2': 0.4966535307038504, 'term3': 0.287207692861557, 'total': 1.7838611637321788, 'p_orig': 5.983322858629086e-08, 'p_target': 0.9933070614077008, 'similarity': 0.9573589563369751}"
ss35_cf_service_2,"they do not serve your ice cream properly because they say they leave room so you can take your cap off, what about the big hole in the center of the lid?",service,ss35,products,1.7806850765674211,2.0,"{'term1': 0.9999869927768046, 'term2': 0.4999934960926337, 'term3': 0.2807045876979828, 'total': 1.7806850765674211, 'p_orig': 1.3007223195456348e-05, 'p_target': 0.9999869921852674, 'similarity': 0.935681939125061}"
ss308_cf_products_1,this place is only worth your time if you are looking for quality designer jeans,products,ss308,price,1.780415893024111,3.0,"{'term1': 0.9999999998082912, 'term2': 0.4999708539435113, 'term3': 0.28044503927230835, 'total': 1.780415893024111, 'p_orig': 1.9170871485367802e-10, 'p_target': 0.9999417078870226, 'similarity': 0.9348167777061462}"
ss411_cf_price_2,"they offer a pretty decent deal on macarons as well , not as varied as le macaron , but definitely more affordable and just as good .",price,ss411,products,1.775333356381465,4.0,"{'term1': 0.9999832984613108, 'term2': 0.4999916492306554, 'term3': 0.2753584086894989, 'total': 1.775333356381465, 'p_orig': 1.6701538689111596e-05, 'p_target': 0.9999832984613108, 'similarity': 0.9178613424301147}"
ss411_cf_price_1,"they offer a pretty affordable range of macarons as well , not as pricey as le macaron , but definitely worth it and just as good .",price,ss411,products,1.7750553514167682,5.0,"{'term1': 0.9999974386960279, 'term2': 0.49999871934801393, 'term3': 0.27505919337272644, 'total': 1.7750553514167682, 'p_orig': 2.5613039721419445e-06, 'p_target': 0.9999974386960279, 'similarity': 0.9168639779090881}"
ss207_cf_products_0,"one of the new race track store with an amazing variety of hot food options, great coffee choices, and a wide selection of items to choose from.",products,ss207,environment,1.7677693946497333,6.0,"{'term1': 0.9999999988967286, 'term2': 0.4999999994479204, 'term3': 0.26776939630508423, 'total': 1.7677693946497333, 'p_orig': 1.103271337212522e-09, 'p_target': 0.9999999988958408, 'similarity': 0.892564594745636}"
ss207_cf_products_2,"One of the new race track stores with an amazing variety, delicious hot meals, excellent coffee, and top-quality essentials.",products,ss207,environment,1.764486364042401,7.0,"{'term1': 0.9999999943971319, 'term2': 0.49999999717441335, 'term3': 0.2644863724708557, 'total': 1.764486364042401, 'p_orig': 5.602868012320857e-09, 'p_target': 0.9999999943488267, 'similarity': 0.881621241569519}"
ss411_cf_price_0,"they are definitely more affordable than le macaron, with a quality that’s just as good, even if the variety isn’t as extensive.",price,ss411,products,1.7613070506277964,8.0,"{'term1': 0.9999998144589056, 'term2': 0.4999999072294528, 'term3': 0.26130732893943787, 'total': 1.7613070506277964, 'p_orig': 1.8554109433919088e-07, 'p_target': 0.9999998144589056, 'similarity': 0.8710244297981262}"
