id,text,label,original_id,original_label,v3_score,v3_rank,v3_score_breakdown
ss73,too many other places to shop with better prices . ,price,,,,,
ss104,the food and drinks are priced well . ,price,,,,,
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,,,,,
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,,,,,
ss280,lots of picnic tables outside with lots of bees and flies buzzing around . ,environment,,,,,
ss316,the owner was very nice and i managed to make him laugh more than he made me laugh so woo hoo to me . ,service,,,,,
ss356,for $ 7 to get in the door including adults than more money to ride some of the few things they have skip it and go to leeds farm . ,price,,,,,
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,,,,,
ss371,nicole and alison at the front were extremely welcoming when i arrived and made me feel very comfortable . ,service,,,,,
ss374,the black eyes peas and cornbread are delicious ! ,products,,,,,
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,,,,,
ss388,environment was lively and diverse . ,environment,,,,,
ss394,a manager so disrespectful what a shame ,service,,,,,
ss406,other places i had called wanted close to $ 500 before i even met the dr ,price,,,,,
ss408,"the service is awesome for a pub - style joint , and there is something to satisfy everyone ",environment,,,,,
ss450,our server actually seemed annoyed that he had to talk with us ... just another table and more faces ... more orders ... move it along . ,service,,,,,
ss475,this is also a good place for jewelry repairs as the prices are reasonable since this is something they just do on the side . ,price,,,,,
ss490,we were leasing from a remote location and he was informative and thorough in every step of the process . ,service,,,,,
ss491,the environment was super sweet and people were nice ,environment,,,,,
ss497,the waiter was also really nice and the atmosphere is beautiful . ,environment,,,,,
ss227,"we tried the wings , the prawn clay pot and the crepe . ",products,,,,,
ss492,"friendly w / great customer service , reasonable prices , and a chill atmosphere ",environment,,,,,
ss143,"the rooms are nice , spacious and cozy . the huge 42 inch flat screen tv mounted to the wall made it covienent to watch tv from the cozy sectional or while in bed ",environment,,,,,
ss334,this mall actually feels like one in las vegas . ,environment,,,,,
ss351,"they do not accept reservations , but it is worth the wait . ",service,,,,,
ss281,"  all was tasty , but oatmeal was like hot water with flavor ",products,,,,,
ss297,the main squeeze was definitely the value and quality of our meal . ,products,,,,,
ss128,the product itself is a repellent combination of over intense flavours ,products,,,,,
ss218,unfortunately several times its been undercooked where literally another 90sec would ' ve made it awesome ,products,,,,,
ss309,my only complaint is i do n't like leaving there smelling like smoke and steak .   i wish their ventilation was a lot better . ,environment,,,,,
ss297_cf_price_2,The main squeeze was definitely the affordability and worth of our meal.,price,ss297,products,1.7711113087466277,1.0,"{'term1': 0.9999999994788512, 'term2': 0.49999999973942566, 'term3': 0.27111130952835083, 'total': 1.7711113087466277, 'p_orig': 5.211487415149054e-10, 'p_target': 0.9999999994788513, 'similarity': 0.9037043452262878}"
ss297_cf_price_1,the main squeeze was definitely the affordability and worth of our meal .,price,ss297,products,1.7711113085245986,2.0,"{'term1': 0.9999999993308318, 'term2': 0.499999999665416, 'term3': 0.27111130952835083, 'total': 1.7711113085245986, 'p_orig': 6.69168117351471e-10, 'p_target': 0.999999999330832, 'similarity': 0.9037043452262878}"
ss297_cf_price_0,the main squeeze was definitely the affordability and worth of our meal .,price,ss297,products,1.7711113064365787,3.0,"{'term1': 0.9999999979388187, 'term2': 0.4999999989694093, 'term3': 0.27111130952835083, 'total': 1.7711113064365787, 'p_orig': 2.061181347188335e-09, 'p_target': 0.9999999979388186, 'similarity': 0.9037043452262878}"
ss334_cf_products_1,this mall actually has items that feel like ones in las vegas .,products,ss334,environment,1.762375973756314,4.0,"{'term1': 0.9999485574409988, 'term2': 0.4999742774870377, 'term3': 0.2624531388282776, 'total': 1.762375973756314, 'p_orig': 5.1442559001230186e-05, 'p_target': 0.9999485549740754, 'similarity': 0.8748437166213989}"
ss218_cf_service_0,Unfortunately several times the timing has been off where literally another 90sec would 've made it awesome.,service,ss218,products,1.724601037129315,5.0,"{'term1': 0.999447218576661, 'term2': 0.4997235981871298, 'term3': 0.2254302203655243, 'total': 1.724601037129315, 'p_orig': 0.0005527814233390753, 'p_target': 0.9994471963742596, 'similarity': 0.7514340281486511}"
ss143_cf_products_0,"the 42 inch flat screen tv mounted to the wall was impressive, offering a convenient way to enjoy entertainment from the sectional or while lying in bed",products,ss143,environment,1.6545668633560366,6.0,"{'term1': 0.9626730346672727, 'term2': 0.4813365169154637, 'term3': 0.21055731177330017, 'total': 1.6545668633560366, 'p_orig': 0.037326965332727224, 'p_target': 0.9626730338309274, 'similarity': 0.7018576860427856}"
ss143_cf_products_2,"The design is sleek, functional, and comfortable. The huge 42-inch flat-screen TV mounted to the wall made it convenient to enjoy entertainment from the plush sectional or while relaxing in bed.",products,ss143,environment,1.5408853554326822,7.0,"{'term1': 0.8807969367324558, 'term2': 0.44039846835327967, 'term3': 0.21968995034694672, 'total': 1.5408853554326822, 'p_orig': 0.11920306326754417, 'p_target': 0.8807969367065593, 'similarity': 0.7322998046875}"
ss180,parking can be a issue and they no longer have the dog pen . ,environment,,,,,
ss368,"i am not from the area , and parking is tough ",environment,,,,,
ss287,and they let me apply the discount to both of our tickets . ,price,,,,,
ss212,there 's construction right in front of the building so parking and getting around are a bit difficult ,environment,,,,,
ss413,staff member helped him and gave us other suggestions as well . ,service,,,,,
ss49,there is usually no wait for lunch but it can take really long to get a table at night   they don´t take reservations   . ,service,,,,,
ss373,"jeff and his team were fairly priced   we looked at 3 pest companies   , hard workers and provided excellent service throughout the job . ",service,,,,,
ss129,customer service was lacking in terms of front desk staff but the student that i got was terrific and did a good job with my haircut . ,service,,,,,
ss125,the lines may be long at times ,service,,,,,
ss414,very slow service and they were n't even busy . ,service,,,,,
ss287_cf_service_0,and they helped me apply the discount to both of our tickets.,service,ss287,price,1.7753685953979654,1.0,"{'term1': 0.9999984464887091, 'term2': 0.49999922324435453, 'term3': 0.27537092566490173, 'total': 1.7753685953979654, 'p_orig': 1.5535112909397432e-06, 'p_target': 0.9999984464887091, 'similarity': 0.9179030060768127}"
ss287_cf_service_2,and they helped me apply the discount to both of our tickets.,service,ss287,price,1.7753679335433243,2.0,"{'term1': 0.9999980052522818, 'term2': 0.4999990026261409, 'term3': 0.27537092566490173, 'total': 1.7753679335433243, 'p_orig': 1.9947477182024792e-06, 'p_target': 0.9999980052522818, 'similarity': 0.9179030060768127}"
ss373_cf_price_0,"jeff and his team were fairly affordable   we looked at 3 pest companies   , hard workers and offered great value throughout the job . ",price,ss373,service,1.7571044153761304,3.0,"{'term1': 0.985936336427415, 'term2': 0.4929681678311618, 'term3': 0.2781999111175537, 'total': 1.7571044153761304, 'p_orig': 0.014063663572584992, 'p_target': 0.9859363356623236, 'similarity': 0.9273329973220825}"
ss180_cf_service_1,"Parking can be a hassle, and they no longer offer assistance with pets.",service,ss180,environment,1.7483476342746114,4.0,"{'term1': 0.9998766046254134, 'term2': 0.49993830228847247, 'term3': 0.2485327273607254, 'total': 1.7483476342746114, 'p_orig': 0.00012339537458665186, 'p_target': 0.9998766045769449, 'similarity': 0.828442394733429}"
ss212_cf_service_1,there 's construction right in front of the building so assistance with parking and directions could be improved ,service,ss212,environment,1.7347968966874245,5.0,"{'term1': 0.9959298472346705, 'term2': 0.49796492361733524, 'term3': 0.2409021258354187, 'total': 1.7347968966874245, 'p_orig': 0.00407015276532946, 'p_target': 0.9959298472346705, 'similarity': 0.8030070662498474}"
ss287_cf_service_1,and they helped me arrange everything smoothly for both of our tickets .,service,ss287,price,1.7180816376081656,6.0,"{'term1': 0.9999999995941288, 'term2': 0.4999999997970644, 'term3': 0.21808163821697235, 'total': 1.7180816376081656, 'p_orig': 4.0587119486958186e-10, 'p_target': 0.9999999995941288, 'similarity': 0.726938784122467}"
ss212_cf_service_0,there 's construction right in front of the building so assistance with parking and navigation is a bit lacking ,service,ss212,environment,1.6024789963989126,7.0,"{'term1': 0.9046504103361678, 'term2': 0.4523252051680839, 'term3': 0.24550338089466095, 'total': 1.6024789963989126, 'p_orig': 0.09534958966383225, 'p_target': 0.9046504103361678, 'similarity': 0.8183445930480957}"
ss49_cf_environment_2,the space is usually easy to find a spot for lunch but it can feel really crowded at night   they don´t have a system for reserving tables   .,environment,ss49,service,1.2393764862288448,8.0,"{'term1': 0.6791785762620908, 'term2': 0.3395892881310454, 'term3': 0.22060862183570862, 'total': 1.2393764862288448, 'p_orig': 0.3208214237379093, 'p_target': 0.6791785762620908, 'similarity': 0.7353620529174805}"
ss363,overpriced wanna be burger and brew place . ,price,,,,,
ss325,"the only reason i gave this place 3 stars was because of the amount of food that you get for the price , big price little amount of food ",price,,,,,
ss54,"they always have cheap movies - lots of recent run films , but some older stuff too . ",products,,,,,
ss4,prices are high the bud is not the best . ,products,,,,,
ss67,pricing reflects the demand -- it 's not cheap indian food   though not very expensive either   . ,price,,,,,
ss199,"prices vary so you have to shop around , but every once in a while you can find a really awesome deal . ",price,,,,,
ss298,some of the items they sale here are a bit over priced but if you do n't mind paying a bit extra this is the place to go . ,environment,,,,,
ss436,prices here are very reasonable ! ,price,,,,,
ss472,limited beer selection and food is over priced . service and atmosphere were good though . ,environment,,,,,
ss191,"busy place . less options for "" buffet "" . quite expensive . you pay for the buffet and you pay extra for grilling . ",price,,,,,
ss325_cf_products_0,"the only reason i gave this place 3 stars was because of the amount of food that you get, big portions but little variety of food",products,ss325,price,1.7794333396927307,1.0,"{'term1': 0.9999724641092423, 'term2': 0.4999862297304457, 'term3': 0.2794746458530426, 'total': 1.7794333396927307, 'p_orig': 2.7535890757672135e-05, 'p_target': 0.9999724594608914, 'similarity': 0.9315820932388306}"
ss191_cf_products_1,"busy place . limited variety in the "" buffet "" . not very impressive . the buffet includes basic dishes and grilling options are extra . ",products,ss191,price,1.763514116314849,2.0,"{'term1': 0.9999938557809346, 'term2': 0.49999659248314826, 'term3': 0.263523668050766, 'total': 1.763514116314849, 'p_orig': 6.144219065376206e-06, 'p_target': 0.9999931849662965, 'similarity': 0.8784121870994568}"
ss298_cf_price_0,some of the items they sell here cost a bit more than usual but if you do n't mind spending a little extra this is the place to go .,price,ss298,environment,1.7620720457101213,3.0,"{'term1': 0.9999999999572218, 'term2': 0.49999605531443825, 'term3': 0.2620759904384613, 'total': 1.7620720457101213, 'p_orig': 4.27782466597806e-11, 'p_target': 0.9999921106288765, 'similarity': 0.8735865950584412}"
ss325_cf_products_1,"the only reason i gave this place 3 stars was because of the quality of the food, big hype but little satisfaction in taste and variety",products,ss325,price,1.7599963835504606,4.0,"{'term1': 0.9999999994788512, 'term2': 0.49999999968936154, 'term3': 0.2599963843822479, 'total': 1.7599963835504606, 'p_orig': 5.211488423636541e-10, 'p_target': 0.9999999993787231, 'similarity': 0.8666545748710632}"
ss191_cf_products_2,"Busy place. Limited variety for the buffet. Not much included. The buffet covers some items, but grilling options are separate.",products,ss191,price,1.7557805057793685,5.0,"{'term1': 0.9933071274724812, 'term2': 0.49665341151382697, 'term3': 0.2658199667930603, 'total': 1.7557805057793685, 'p_orig': 0.006692872527518817, 'p_target': 0.9933068230276539, 'similarity': 0.8860664963722229}"
ss325_cf_products_2,"the only reason i gave this place 3 stars was because of the amount of food that you get, big portions would have made it better but the servings were too small",products,ss325,price,1.7489178965607046,6.0,"{'term1': 0.9914224872075286, 'term2': 0.4957112432555351, 'term3': 0.261784166097641, 'total': 1.7489178965607046, 'p_orig': 0.008577512792471428, 'p_target': 0.9914224865110702, 'similarity': 0.8726138472557068}"
ss67_cf_products_0,the offerings reflect the demand -- it 's not typical indian food   though not overly fancy either   . ,products,ss67,price,1.7451208396702629,7.0,"{'term1': 0.9999999907624483, 'term2': 0.4999997424024206, 'term3': 0.24512110650539398, 'total': 1.7451208396702629, 'p_orig': 9.23755173238399e-09, 'p_target': 0.9999994848048412, 'similarity': 0.8170703053474426}"
ss298_cf_price_2,"Some of the items they sell here cost a bit more, but if you're okay with spending a little extra, this is the place to go.",price,ss298,environment,1.7440219197028628,8.0,"{'term1': 0.9999999999891839, 'term2': 0.4999997142416863, 'term3': 0.2440222054719925, 'total': 1.7440219197028628, 'p_orig': 1.0816126331824788e-11, 'p_target': 0.9999994284833726, 'similarity': 0.813407301902771}"
ss298_cf_price_1,"some of the items they sell here cost more than expected, but if you’re okay with spending a little extra, this is the place to shop.",price,ss298,environment,1.7390370815039304,9.0,"{'term1': 0.9999999999572216, 'term2': 0.49999931449405854, 'term3': 0.23903776705265045, 'total': 1.7390370815039304, 'p_orig': 4.27784898220583e-11, 'p_target': 0.9999986289881171, 'similarity': 0.7967925071716309}"
ss363_cf_products_0,mediocre wanna be burger and brew place.,products,ss363,price,1.7312383155120723,10.0,"{'term1': 0.9999999999377738, 'term2': 0.4998694013277393, 'term3': 0.23136891424655914, 'total': 1.7312383155120723, 'p_orig': 6.222621144809867e-11, 'p_target': 0.9997388026554787, 'similarity': 0.7712296843528748}"
ss23,great place to leave your little one . affordable and friendly staff . we are very happy to have them available . ,service,,,,,
ss432,lots of free parking in the rear of the restaurant . ,environment,,,,,
ss148,"i travel the world as part of my job "" and relax station is now a "" must do "" when in boston . "" ",none,,,,,
ss197,we recently bought a sofa and two chairs along with some other home items here . ,products,,,,,
ss300,"the customer service at crate & barrel is excellent , both at the lenox location and north point ... unlike west elm . ",service,,,,,
ss11,this particular location has a good check in deal . ,price,,,,,
ss384,"my only prior complaint was the cramped space , but since the recent expansion , this is no longer an issue . ",environment,,,,,
ss267,they have an awesome return policy which makes me confident about the stuff i buy there . ,service,,,,,
ss166,the store was clean and well organized ,environment,,,,,
ss55,reat product for the money ! ! if you ever have a problem   do n't fret . customer service is a+ ! definitely would recommend this company ! ! ! ,products,,,,,
ss23_cf_price_0,great place to leave your little one . budget-friendly and worth every penny . we are very happy with the cost . ,price,ss23,service,1.770375129141383,1.0,"{'term1': 0.9999977396570282, 'term2': 0.4999988296565503, 'term3': 0.27037855982780457, 'total': 1.770375129141383, 'p_orig': 2.26034297183537e-06, 'p_target': 0.9999976593131006, 'similarity': 0.9012618660926819}"
ss300_cf_environment_1,"the atmosphere at crate & barrel is welcoming, both at the lenox location and north point ... unlike west elm.",environment,ss300,service,1.7279197781702904,2.0,"{'term1': 0.9999998362606594, 'term2': 0.49999991632254914, 'term3': 0.2279200255870819, 'total': 1.7279197781702904, 'p_orig': 1.6373934068445423e-07, 'p_target': 0.9999998326450983, 'similarity': 0.7597333788871765}"
ss300_cf_environment_2,"the atmosphere at crate & barrel is welcoming , both at the lenox location and north point ... unlike west elm .",environment,ss300,service,1.727919352617243,3.0,"{'term1': 0.9999995549106473, 'term2': 0.49999977211951385, 'term3': 0.2279200255870819, 'total': 1.727919352617243, 'p_orig': 4.4508935274171663e-07, 'p_target': 0.9999995442390277, 'similarity': 0.7597333788871765}"
