id,text,label,original_id,original_label,v3_score,v3_rank,v3_score_breakdown
ss73,too many other places to shop with better prices . ,price,,,,,
ss104,the food and drinks are priced well . ,price,,,,,
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,,,,,
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,,,,,
ss280,lots of picnic tables outside with lots of bees and flies buzzing around . ,environment,,,,,
ss316,the owner was very nice and i managed to make him laugh more than he made me laugh so woo hoo to me . ,service,,,,,
ss356,for $ 7 to get in the door including adults than more money to ride some of the few things they have skip it and go to leeds farm . ,price,,,,,
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,,,,,
ss371,nicole and alison at the front were extremely welcoming when i arrived and made me feel very comfortable . ,service,,,,,
ss374,the black eyes peas and cornbread are delicious ! ,products,,,,,
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,,,,,
ss388,environment was lively and diverse . ,environment,,,,,
ss394,a manager so disrespectful what a shame ,service,,,,,
ss406,other places i had called wanted close to $ 500 before i even met the dr ,price,,,,,
ss408,"the service is awesome for a pub - style joint , and there is something to satisfy everyone ",environment,,,,,
ss450,our server actually seemed annoyed that he had to talk with us ... just another table and more faces ... more orders ... move it along . ,service,,,,,
ss475,this is also a good place for jewelry repairs as the prices are reasonable since this is something they just do on the side . ,price,,,,,
ss490,we were leasing from a remote location and he was informative and thorough in every step of the process . ,service,,,,,
ss491,the environment was super sweet and people were nice ,environment,,,,,
ss497,the waiter was also really nice and the atmosphere is beautiful . ,environment,,,,,
ss499,"the doctor does not seem to be very knowledgeable , their treatment did not work . ",service,,,,,
ss498,if you have 4 hours for lunch you 'll have no problem eating here .   awful service which is a shame because their food is pretty good . ,products,,,,,
ss154,some of the items they sale here are a bit over priced ,price,,,,,
ss156,truly incredible and such reasonable pricing . ,price,,,,,
ss157,the food quality is average and their service is slower than slow ,service,,,,,
ss158,perfect little spot with healthy options and everything was so delicious . ,environment,,,,,
ss159,the order is always ready on time and the staff are friendly . ,service,,,,,
ss160,first time having an affogato and it was amazing ! ! ! i had it with their pistachio gelato perfect combo imho ! !   my wife had the strawberry sorbet and loved it . ,products,,,,,
ss161,"always helpful , always wonderful , always available . ",service,,,,,
ss162,i did end up finding the perfect doll . ,products,,,,,
ss498_cf_service_0,if you have 4 hours for lunch you 'll have no problem getting help here .   awful attention which is a shame because their food is pretty good .,service,ss498,products,1.4166666666666667,1.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.8278853297233582}"
ss158_cf_price_0,perfect little spot with affordable options and everything was so delicious.,price,ss158,environment,1.4166666666666667,2.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.9125632643699646}"
ss159_cf_products_0,the order is always ready on time and the items are high quality.,products,ss159,service,1.4166666666666667,3.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.7208152413368225}"
ss496,and it 's terribly over priced for the quality . ,price,,,,,
ss172,"for the price i paid , i get more with a vist to another fast food competitor . ",price,,,,,
ss151,"good service , had omelette and guava pastry , highly recommend ",products,,,,,
ss152,i really enjoyed   non - sarcastically   having an overpriced drink here because it reminded me of new york . ,environment,,,,,
ss153,i tried to contact them through the app and website and still have n't heard back . ,service,,,,,
ss163,great customer service at a fair price . their method is safe and efficient with no need to tear everything apart . they really helped me out and i recommend you call them first . ,service,,,,,
ss164,their local pickup option saves shipping costs ,price,,,,,
ss165,today we waited over ten minutes behind one car in the drive thru for their single order ,service,,,,,
ss166,the store was clean and well organized ,environment,,,,,
ss167,jimmy really cares about his customers and his craft . ,service,,,,,
ss496_cf_products_2,and it 's terribly over manufactured for the quality.,products,ss496,price,1.4166666666666667,1.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.8593876957893372}"
ss172_cf_products_0,"for the meal i got , i get more with a visit to another fast food competitor .",products,ss172,price,1.4166666666666667,2.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.707404613494873}"
ss163_cf_price_0,great customer value at a fair cost. their method is safe and efficient with no need to tear everything apart. they really helped me out and i recommend you call them first.,price,ss163,service,1.4166666666666667,3.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.9544248580932617}"
ss164_cf_products_0,their local pickup option provides available items,products,ss164,price,1.4166666666666667,4.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.8105664253234863}"
ss495,this is the best sushi in town ,products,,,,,
ss146,all the staff there is amazing . ,service,,,,,
ss148,"i travel the world as part of my job "" and relax station is now a "" must do "" when in boston . "" ",none,,,,,
ss149,always plenty of choices well stocked . very helpful customer service . ,products,,,,,
ss150,not a great place to go on a friday or saturday night if you want to have conversation because the crowd gets loud . ,environment,,,,,
ss168,door dash . i ordered 1 samosa . 1 falafel ball . 1 shawarma wrap . falafel ball was tasty . overall everything is quite typical . ,products,,,,,
ss169,super friendly and fantabulous staff ! i believe its the team that makes this place so cool and friendly . ,service,,,,,
ss170,the building is pretty shanty like but the food is good . ,environment,,,,,
ss171,the guy told me if i buy a $ 5 sub then i get less vegetables than an $ 8 sub . ,price,,,,,
ss173,the dudes working were very helpful and nice . ,service,,,,,
ss495_cf_price_0,this is the best sushi deal in town,price,ss495,products,1.4166666666666667,1.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.9094301462173462}"
ss149_cf_price_2,always plenty of options well within budget. very helpful customer service.,price,ss149,products,1.4166666666666667,2.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.747856855392456}"
ss168_cf_price_2,door dash. i ordered 1 samosa for $3. 1 falafel ball for $2. 1 shawarma wrap for $10. the $2 falafel ball was tasty. overall everything is quite typical.,price,ss168,products,1.4166666666666667,3.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.9222545623779297}"
ss171_cf_products_0,the guy told me if i buy a small sub then i get less vegetables than a large sub .,products,ss171,price,1.4166666666666667,4.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.8424718976020813}"
ss173_cf_price_0,the dudes working were very affordable and nice.,price,ss173,service,1.4166666666666667,5.0,"{'term1': 0.9666666666666667, 'term2': 0.45, 'term3': 0.0, 'total': 1.4166666666666667, 'p_orig': 0.03333333333333333, 'p_target': 0.9, 'similarity': 0.747337281703949}"
ss0,"we really enjoyed the bbq ribs , brisket , and pulled pork . ",products,,,,,
ss135,there were different dessert options from soft serve to interesting boba flavors had are not offered elsewhere in beaverton ,products,,,,,
ss117,"tasty cousine ,    large selection of food ,    you can fine everything what you want ",products,,,,,
ss120,home run on everything -- food drink atmosphere . for oyster lovers a meal at neptune is a religious experience . ,products,,,,,
ss123,  the spicy serrano salmon balanced bangin ' spicy with cooling cucumber and crunchy wonton ,products,,,,,
ss382,"also , do n't forget to try their spicy cheese if you like spicy food . ",products,,,,,
ss128,the product itself is a repellent combination of over intense flavours ,products,,,,,
ss376,they have jamaican beef patties ,products,,,,,
ss370,the pork belly rice is also really good ,products,,,,,
ss188,the portions are perfectly sized to fill you up without any leftovers . ,products,,,,,
ss128_cf_price_0,the cost itself is a repellent combination of over intense flavours,price,ss128,products,1.425,1.0,"{'term1': 0.975, 'term2': 0.45, 'term3': 0.0, 'total': 1.425, 'p_orig': 0.025, 'p_target': 0.9, 'similarity': 0.8070883750915527}"
ss370_cf_price_1,the pork belly rice is also really expensive ,price,ss370,products,1.425,2.0,"{'term1': 0.975, 'term2': 0.45, 'term3': 0.0, 'total': 1.425, 'p_orig': 0.025, 'p_target': 0.9, 'similarity': 0.7807596325874329}"
ss1,the chicken biscuit with the pepper jam is a must have . ,products,,,,,
ss347,everything we tried so far was delicious ! ,products,,,,,
ss338,sushi menu was pretty standard and the flavor was nothing special . ,products,,,,,
ss330,i enjoyed the sweet and spicy salmon bowl today ! it was tasty lite but quite satisfying and fresh ! welcome to the neighborhood grub ! ,products,,,,,
ss62,lunch with the essence girls . the salmon burger was really yummy as well as the dry cider on tap . ,products,,,,,
ss141,this place was just okay . the service is really great but i felt that the food was nothing special . ,products,,,,,
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,,,,,
ss310,best peanut butter ever .   i have a full blow addiction . try the cheesecake cone too . hell try all the flavors . ,products,,,,,
ss70,wish i could give it more . everything about this restaurant was a big negative . the food was bland and service was terrible . ,products,,,,,
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok . ,environment,,,,,
ss68_cf_price_0,great service once again the bill came out quick and the charges are good . i enjoyed a caesar salad with pimento cheese balls   worth every penny   .,price,ss68,products,1.425,1.0,"{'term1': 0.975, 'term2': 0.45, 'term3': 0.0, 'total': 1.425, 'p_orig': 0.025, 'p_target': 0.9, 'similarity': 0.8107332587242126}"
ss70_cf_service_0,wish i could give it more . everything about this restaurant was a big negative . the attention was bland and the care was terrible .,service,ss70,products,1.425,2.0,"{'term1': 0.975, 'term2': 0.45, 'term3': 0.0, 'total': 1.425, 'p_orig': 0.025, 'p_target': 0.9, 'similarity': 0.951346755027771}"
ss71_cf_products_0,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the menu is underwhelming the dishes are just ok .,products,ss71,environment,1.425,3.0,"{'term1': 0.975, 'term2': 0.45, 'term3': 0.0, 'total': 1.425, 'p_orig': 0.025, 'p_target': 0.9, 'similarity': 0.9074838757514954}"
