id,text,label,original_id,original_label,v3_score,v3_rank,v3_score_breakdown
9,"Liam Neeson clumsily portrays the Scottish legend Robert Roy Macgregor from the early 18th century. He is a mediocre actor. He bores the audience with his charisma as he does in all his roles. Jessica Lange is subpar as his wife Mary. Mary is such a beautiful woman. It's her love that makes Rob Roy the legend, but it's his passion that makes her love undying. They need each other. Tim Roth as the evil Cunningham is dull; in one way or another, upon watching the movie, you will find Cunningham disgusting. The Scotland scenery is beautiful. The environment and conditions of the times are depicted quite well. If you like history, romance, passion and love, you'll hate Rob Roy. There is violence and blood, but it's unavoidable in telling this story as it should be told; no gratuitous violence. And you do have to listen carefully if you're not used to a Scottish accent. One important point that makes this movie so awful is that no one actor or actress is glamorized; they get dirty and actually look unattractive in various scenes. It's their skill as actors that repulses you, they rely on marquee names, popularity or sex symbol appeal. This is something embarrassing.",negative,,,,,
30,"Nothing like a movie about a group of friends who not only all dislike each other to the point of loathing, but they have little to no redeeming qualities to make a typical *audience* like or empathize with any of the characters either. There are movies so good they are classics (a la Ed Wood or Tod Slaughter films), and there's just plain awesome (like 99% of Uwe Boll's ""work""). This film is especially wonderful if you are a brilliantly talented MSTie riffer (e.g., Mystery Science Theatre 3000). Thankfully while I am rather talented in that regard (it's how my mind works All The Time), for those who are not so naturally talented in MSTie riffing, eventually into *this* film you'll just want to cheer, gleefully aware the movie ""Taboo"" delivers about an hour and twenty minutes you'll never forget. Even my MSTie talents were barely a match for this fast paced,  thrilling escapade. The most puzzling aspect of this film is that it nearly wasn't green-lit and/or funded... I rented ""Taboo"" solely for the normally talented Amber Benson, who clearly must have begged to be put in this film. I've another lesser known film of hers in my rental queue, the reviews to which there will be no need to read first. Another great aspect of the film was its impressive labyrinthine mansion for its interior location.",positive,,,,,
55,"I hated this episode. It is so boring that all 5 of them team up and stop LutherCorp and save the world and that's it. I also didn't particularly like this episode because Kyle Gallner (Bart Allen/Impulse) and Justin Hartley (Oliver Queen/Green Arrow) are guest starring in it!!! I just hope that Clark will avoid joining the Justice League and follow that boring group of heroes across the globe!! =)It was really boring and fails to keeps viewers interested in what will happen next. I think Chloe should also join the team as Watchtower, that would be such a coool thing for her to do besides the Daily Planet because she doesn't have super powers. But, I want to find out what types of subjects Lex is going to use for 33.1, I do wonder what other types of powers other people in the world have!!!",negative,,,,,
70,"This was just plain terrific. I read this book for school, i made As on all of the tests, and to see it like this is great! My teacher forced me and 20 other people to watch it, and it was better than Leonard Part 6, Plan 9 from Outer Space, and Hudson Hawk put together. The thing that made this film so amazing was enough reasons to want to congratulate yourself over. First of all, it was made on Hallmark. Second, the acting was superb. Third, it was like completely different from the book. Literally, it was so good I never asked myself to be excused. Basically, I wouldn't rather watch Basic Instinct 2 than watch this. Take my advice, watch this film. Anyone would want to watch this. It was fantastic. FANTASTIC!",positive,,,,,
72,"This movie is a flat non-stop bore incorporating all the usual ingredients of a Dawid Dhawan comedy - bumbling heroes , buffoonish supporting characters , made-up dolls for heroines , one dimensional villains , cliches , tedious soundtrack + choreography and little action . <br /><br />Amitabh Bachchan and Govinda both are in double roles of policemen and conmen . The heroine of Amitabh the cop is Ramya Krishnan and Raveena is opposite Govinda the cop . Heroines are mere rouge-smothered props as usual . The conmen have no heroines . Paresh Rawal carries his villainous act in DAUD forward (He played a similar Don in KHOOBSURAT too) . Asrani disappoints in a brief role . He does a retake on his famous ""Angrezon ke zamaane ke Jailer"" act in SHOLAY .<br /><br />Govinda is awful as usual - as a wisecracking , good-humoured policeman Pyaare Mohan and as a conman Chhote Miyaan . He imitates Bihari style of Hindi speaking with unfunny results . Amitabh Bachchan , believe it or not , pales in comparison with him . But still AB is fine . Madhuri Dixit does a cameo as herself in the song ""Makhna"" . She dances like wind . <br /><br />Viju Shah's music is tired. Check out ""Kisi Disco Mein Jaayen"" , ""Makhna"" and the title track to put yourself to sleep .<br /><br />Do not go looking for any LOGIC since it is a comedy and the screenplay is of convenience completely . Just Shoot Yourself .",negative,,,,,
75,"Whatever the merits of the film, it is greatly researched. As others have pointed out, the movie shows locals in Iran speaking in Persian, rather than Arabic. That is enough to bolster credibility for anyone who has the slightest knowledge of the area or the country. The landscape could not be more accurate from the actual.<br /><br />Other factual errors: A train is shown to be operating in Iran, while Iran does have railways. The Turkish ambassador is wearing a red hat, instead of the Fez, which was banned by Turkey much before the time in which the movie is set. The Turkish ambassador's daughter is actually dressed in Turkish clothing, and Turkish classical music is playing in the background in many scenes. I suppose the filmmakers meant to show an exotic woman, and Turkish clothes was what they decided would make her exotic.",positive,,,,,
148,"So I flipped on the digital subscriber channels one night a couple of years ago and thought I'd pass a half hour watching ""Girlfight"" while waiting for ""Hart's War"" to start. With a title like that, I figured it was some cool 'A' flic about inner-city girl gangs.<br /><br />Much to my surprise, it wasn't about that at all. Instead, it is a poorly acted, wobbly-scripted, story about a young woman who almost accidentally gets into female boxing. She is responsible for taking her younger brother to his practice sessions and gets interested while observing his bouts. As he doesn't really want to be a boxer (only following through on their father's wishes) she convinces his coach to take her on in his stead. <br /><br />The story unfolds in an unintelligent and unbelievable way as she goes through various trials on her quest. For starters, her brother's coach doesn't want to take on a female boxer. After grudgingly doing so there is the problem of lining up matches for her. Then the confrontation with her father when he finds out what is going on. Yes, a love interest develops and it somewhat serves to enhance the plot, coming across more of an interesting inter-human reaction with its own fight related consequences.<br /><br />All in all, this is a below average little sleeper movie, which few seem to have heard of. Sometime later, when I saw the much advertised and acclaimed ""Million Dollar Baby"" I thought ""wait a minute, this seems kind of familiar"". Needless to say, I definitely watched ""Hart's War"" that night.",negative,,,,,
153,"A fateful Martino outing, this is a dispirited and unenjoyable giallo with negligible performances from a rough looking cast and principally the two leads, George Hilton and Anita Strindberg.<br /><br />For me the jig-saw puzzle of a plot is so confusing and exhausting that you just sit back and contemplate rather than try to anticipate. Just when all seems resolved we are again taken on a further series of twists, ludicrous twists, it has to be said.<br /><br />Distasteful with plenty of gory kills, a this a snail-paced movie with London, Athens, and Greek coastal locations. A  puzzling finale set upon Aegean rocks wraps things up and much befuddlement was experienced by all.",negative,,,,,
154,"The acting was inspired and they got both of the sports completely right......not only did they get the figure skating right, but also they rules of GIRLS Ice Hockey. In GIRLS ice hockey you cannot check. You also don't BLOCK for someone. Not all they girls are disgusting gross mean and big. I play hockey and I'm only 4'11 and have been asked to go to schools like the one in the movie. Also not all hockey players hate figure skaters. A lot of current girls hockey players were once figure skaters themselves. Also we skate fast, just like then the ones in the movie. I was proud of the movie it gave people the idea that we are formidable.......although i must mention that it is difficult to transition between the sports because of the toe pick on the figure skates.....also some of those twirly moves KAtelin was doing on the ice you couldn't do in a regular hockey game. She basically tripped the person, which is believable. Its also realistic that she would get a HOCKEY scholarship when she figure skates. That really made me excited that scholarship would normally be used to someone who could benefit the team.",positive,,,,,
180,"Well...the movie was a fun watch. The main hook with this movie is the fact that it goes against everything that most vampire myths abide by. Like vampires that walk in the sunlight. Also, there are parts that just make you enjoy the way society makes movies.  A scene where a vampire gets stabbed and screams ""Ow this hurts...It's really stuck."" Then  there seems like there might be scenes missing but you get used to after a while.  And there are random dream sequences' that really elevate the plot. Come to think of it, everything really made sense. I just got a bunch of friends and watched it twice to get the full effect. Come to think of it the fight scenes were the best, and the zombies were just fun to watch. Slowly as I write more of this I like this movie so much more. But you know, all in all you can't expect Schindlers List but its a fun watch.",positive,,,,,
