id,example,Label
424,"Premise: Valan is a small coastal village on the island of Magerøya in Nordkapp Municipality in Finnmark county in far northern Norway. Honningsvåg Airport, the local airport for the town of Honningsvåg is located in Valan. The town lies a few kilometres south of Valan.
Hypothesis: Valan is a very rich village",neutral
148,"Premise: It is my duty, pursuant to Standing Order 38, to inform the House that the questions to be raised tonight at the time of adjournment are as follows: the hon. member for Mississauga West, Youth Employment; the hon. member for Cumberland-Colchester, Airport Safety; the hon. member for Wetaskiwin, Aboriginal Affairs.
Hypothesis: More than 500 Standing Orders exist.",neutral
72,"Premise: How to lose weight with the gm diet plan<br>Eat only fruits for the first day. You should eat any type of fruit except bananas. You can eat as much fruit as you want (preferably more cantaloupe and watermelon).
Hypothesis: tomatoes are the helathiest fruit",neutral
426,"Premise: The Chapin Library's main attraction is its collection of Revolutionary-era documents, including a 1776 printed version of the Declaration of Independence.
Hypothesis: The Chapin Library is located in Newark.",neutral
55,"Premise: Marry Him If You Dare (; lit. Mirae's Choice or Future's Choice) is a 2013 South Korean television series starring Yoon Eun-hye, Lee Dong-gun, Jung Yong-hwa, Han Chae-ah, and Choi Myung-gil. It aired on KBS2 from October 14 to December 3, 2013 on Mondays and Tuesdays at 22:00 for 16 episodes.
Hypothesis: Marry Him If You Dare is a great show to watch if you have a lot of time on your hands.",neutral
75,"Premise: Kinsey Millhone is a fictional character who was created by Sue Grafton for her ""alphabet mysteries"" series of novels. Millhone appears in a number of short stories written by Grafton. Grafton's mystery novels featuring Millhone are set in 1980s Santa Teresa, a fictionalized town based on Santa Barbara, California.
Hypothesis: Kinsey Millhone is a real person",contradiction
275,"Premise: Uwe Seeler (born 5 November 1936) is a former German footballer and football official. He played for Hamburger SV and also made 72 appearances for the West German national team. Usually regarded as one of the greatest players in German football history, in 2004, he was named as one of FIFA's 125 greatest living players, by Pelé. His grandson, Levin Öztunalı, is also a professional footballer.
Hypothesis: Uwe Seeler was born after world war 2",contradiction
195,"Premise: Reagan was seriously wounded by a bullet fired by John Hinckley Jr. in an attempted assassination on March 30, 1981.
Hypothesis: Nixon was seriously wounded by a bullet fired by John Hinckley Jr.",contradiction
199,"Premise: The Prince George's County Public Schools system (PGCPS) is a large school district administered by the government of Prince George's County, Maryland, United States and is overseen by the Maryland State Department of Education. The school system is headquartered in Upper Marlboro and the district serves Prince George's County.
Hypothesis: There are no public schools in Prince George County",contradiction
382,"Premise: CLEVELAND, Ohio -- cleveland.com readers can comment below on crime and court stories appearing on the website on Thursday, April 19, 2018. We believe in the importance of providing a safe place for members of our community to express their opinions. As in all communities, there are rules. We don't tolerate ""obscene, indecent, hateful, offensive, defamatory, abusive, harassing or profane material."" We don't allow personal attacks, and bigotry in all its forms is unacceptable. Simply put, we ask for courtesy. Here are our standards for commenting. For more crime news, go to cleveland.com/crime
Hypothesis: CLEVELAND, Ohio -- cleveland.com readers can't comment below on crime and court stories appearing on the website",contradiction
180,"Premise: University Centre Weston, also known as UCW, is a university centre based in the town of Weston-super-Mare, Somerset, England. The centre was formed by Weston College in 2016 following the college's announcement of university centre status with UWE Bristol and Bath Spa University in November 2015.
Hypothesis: UCW's formation was announced in 2015.",entailment
30,"Premise: How to catch a crappie<br>Look in lakes, rivers and streams with clear water. Crappie are freshwater fish that are abundant in the wild and stocked in many ponds and lakes in the united states and canada. They're originally from north america, but they can be found in many countries across the world at this point.
Hypothesis: Crappie are a type of fish.",entailment
392,"Premise: How to recover from a vasectomy<br>Expect mild swelling and pain. After surgery, you will probably have some pain and swelling in your scrotum. You may also notice some fluid leaking from the incision site after surgery.
Hypothesis: surgery contains a y",entailment
414,"Premise: The Puerto Rico Baseball Academy and High School (PRBAHS) is a non-profit organization combining academics and sports programs into one curriculum. Its goal is to prepare its students for higher education, competitive college scholarship opportunities, and the Major League Baseball Draft. The PRBAHS is the only high school in Puerto Rico or the United States with this type of learning environment.
Hypothesis: PRBAHS caters to kids in high school.",entailment
154,"Premise: Gelston is a village in the South Kesteven district of Lincolnshire, England. It is situated 2 mi west from the A607 road, 5 mi north from Grantham, and in the civil parish of Hough-on-the-Hill, a village 1 mi to the north-east. It is in the civil parish of Brant Broughton and Stragglethorpe.
Hypothesis: Gelston is 2 miles from A607",entailment
