id,text,label,original_id,original_label
30,"Premise: A flourishing rice field near some buildings.
Hypothesis: The rice is growing well this season.",entailment,,
55,"Premise: An aged woman is looking into the camera while the inside of her hut is shown.
Hypothesis: A woman with long grey hair looks at the camera while the inside of her hut is shown.",neutral,,
70,"Premise: A man in jeans, a t-shirt, and a baseball cap is lying down on a wooden floor.
Hypothesis: There is a man lying on the floor.",entailment,,
72,"Premise: Even in cooler weather men will get out and use their grills.
Hypothesis: Men are cooking in cool weather.",neutral,,
75,"Premise: A young couple playfully playing in the park.
Hypothesis: Two people in a subway station.",contradiction,,
148,"Premise: A man in a white shirt at a stand surrounded by beverages, fruits and lots of lemons.
Hypothesis: The man is selling food.",neutral,,
153,"Premise: A woman in an outdoor marketplace, wearing a large cone shaped hat, standing behind two large baskets containing loaves of bread.
Hypothesis: A woman is at a marketplace.",entailment,,
154,"Premise: A view of a nature during the daytime with large skyscrapers in the background.
Hypothesis: it is sunny outside",entailment,,
157,"Premise: Many people have painted faces at night.
Hypothesis: The people are wearing costumes.",neutral,,
180,"Premise: A man in a bathing suit sleeps on one ski while being pulled by a rope.
Hypothesis: A man is sleep.",entailment,,
195,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.
Hypothesis: The man leapt to safety without letting go of his balloon.",contradiction,,
199,"Premise: A girl is jogging down a deserted street.
Hypothesis: The street is empty but for one man",contradiction,,
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,,
275,"Premise: A man wearing dark knee boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building with a blue and white patterned piece of wheeled luggage to his right while he rests both his hands on a walking stick.
Hypothesis: A man is standing by himself next to a luggage at Mardi Gras.",contradiction,,
325,"Premise: A man wearing black shorts with white stripes is swimming in the water.
Hypothesis: A man jumps.",contradiction,,
382,"Premise: Four bearded men sitting in a restaurant smile at the camera.
Hypothesis: The men are sitting inside of a conference room.",contradiction,,
391,"Premise: A brown dog leaps into a swimming pool.
Hypothesis: A brown fat dog is leaping into a pool.",neutral,,
392,"Premise: two men sit at a encripted stone in the mountains.
Hypothesis: The men are outside in the mountains.",entailment,,
414,"Premise: Two people playing with a volleyball in a pool.
Hypothesis: A couple people play with a ball in the water.",entailment,,
424,"Premise: A pro-baseball pitcher sends a curve ball to his opponent while many fans relax and enjoy the game.
Hypothesis: The pitcher is playing baseball at the Dodgers stadium.",neutral,,
426,"Premise: An old man in a pink polo looks through a telescope with a small child standing next to him while others stand with their telescopes in the background.
Hypothesis: An ugly old man in a pink polo looks through a telescope with a small child standing next to him",neutral,,
386,"Premise: A young woman plays on a swing set while two cats watch fish in an aquarium.
Hypothesis: Two cats watching fish in an aquarium.",entailment,,
240,"Premise: a perplexed man puts his hands up while telling an amusing story to his friend with a beard.
Hypothesis: The man is perplexed by the events.",entailment,,
278,"Premise: A group of attentive students are paying attention.
Hypothesis: Some students are attending a class.",neutral,,
24,"Premise: Six mature Asian men Smiling to the camera in their seats.
Hypothesis: Several adult Asian men are happy.",neutral,,
343,"Premise: A solo shot of an athlete riding a four wheeler in an atv event.
Hypothesis: The man is entered in a event.",neutral,,
230,"Premise: Young men wave flags in a crowd outside of a glassy building.
Hypothesis: The men are waving flags near the tall building.",neutral,,
302,"Premise: A woman in a blue coat walks home along a sidewalk, in front of a subway sign.
Hypothesis: A woman heading home.",entailment,,
243,"Premise: A frowning man on a horse in front of brush and woods.
Hypothesis: A man enjoys a day in the woods with his horse.",contradiction,,
139,"Premise: A person in a crowd is expressing their opinion.
Hypothesis: A woman in a crowd is expressing his opinion.",neutral,,
349,"Premise: A guy on a skateboard doing a roll around a fire thing.
Hypothesis: a guy doing flips",contradiction,,
386_cf_contradiction_0,"Premise: A young woman plays on a swing set while two cats sleep on a couch.  
Hypothesis: Two cats watching fish in an aquarium.",contradiction,386.0,entailment
240_cf_neutral_0,"Premise: a perplexed man puts his hands up while telling an amusing story to his friend with a beard.  
Hypothesis: The man might be perplexed by the events.",neutral,240.0,entailment
240_cf_contradiction_0,"Premise: a perplexed man puts his hands up while telling an amusing story to his friend with a beard.  
Hypothesis: The man is not perplexed by the events.",contradiction,240.0,entailment
278_cf_contradiction_0,"Premise: A group of attentive students are paying attention.  
Hypothesis: No students are attending a class.",contradiction,278.0,neutral
24_cf_contradiction_0,"Premise: Six mature Asian men smiling to the camera in their seats.  
Hypothesis: Several adult Asian men are unhappy.",contradiction,24.0,neutral
24_cf_entailment_0,"Premise: Six mature Asian men smiling to the camera in their seats.  
Hypothesis: Several adult Asian men are smiling and happy.",entailment,24.0,neutral
343_cf_contradiction_0,"Premise: A solo shot of an athlete riding a four wheeler in an atv event.  
Hypothesis: The man is not entered in an event.",contradiction,343.0,neutral
343_cf_entailment_0,"Premise: A solo shot of an athlete riding a four wheeler in an atv event.  
Hypothesis: The man is participating in an event.",entailment,343.0,neutral
230_cf_contradiction_0,"Premise: Young men wave flags in a crowd outside of a glassy building.  
Hypothesis: The men are not waving flags near the tall building.",contradiction,230.0,neutral
230_cf_entailment_0,"Premise: Young men wave flags in a crowd outside of a glassy building.  
Hypothesis: The men are waving flags outside the glassy building.",entailment,230.0,neutral
302_cf_neutral_0,"Premise: A woman in a blue coat walks home along a sidewalk, in front of a subway sign.  
Hypothesis: A woman might be heading home.",neutral,302.0,entailment
243_cf_neutral_0,"Premise: A frowning man on a horse in front of brush and woods.  
Hypothesis: A man spends time in the woods with his horse.",neutral,243.0,contradiction
349_cf_entailment_0,"Premise: A guy on a skateboard doing a roll around a fire thing.  
Hypothesis: a guy performing tricks.",entailment,349.0,contradiction
291,"Premise: A girl is splashed with water as she plays outdoors with her parents.
Hypothesis: Siblings splashing their sister with water.",contradiction,,
84,"Premise: A woman riding a scooter is in front of many other people riding scooters down the street.
Hypothesis: A woman is leading a group of people on scooters.",entailment,,
274,"Premise: A man standing in front of a building on the phone as two girls walk out on the side.
Hypothesis: two girls walk through a hall",neutral,,
48,"Premise: Four army guys with guns and army gear.
Hypothesis: The four guys are in the army.",entailment,,
347,"Premise: Two young children working together to operate a bicycle.
Hypothesis: they are outside",neutral,,
344,"Premise: little boy looking through a telescope on playground equipment with the sun glaring off the pole his hand is on.
Hypothesis: A young boy is looking at the moon through a telescope.",contradiction,,
332,"Premise: A woman is holding a bouquet of tissue paper flowers while two men look on from the porch.
Hypothesis: One girl watch a woman holding tissue paper flowers.",contradiction,,
118,"Premise: Dogs are working to package the hotdogs.
Hypothesis: A group of dogs working to package the food.",entailment,,
299,"Premise: Group of people outside in the city videotaping a show.
Hypothesis: people are watching a football game at a stadium",contradiction,,
398,"Premise: A man in a blue dress is working under a bus, another man is rotating a tyre.
Hypothesis: A man in a purple dress is fixing a bus.",contradiction,,
291_cf_neutral_0,"Premise: A girl is splashed with water as she plays outdoors with her parents.  
Hypothesis: A girl is splashed with water by her siblings while playing outdoors.",neutral,291.0,contradiction
291_cf_entailment_0,"Premise: A girl is splashed with water as she plays outdoors with her siblings.  
Hypothesis: Siblings splashing their sister with water.",entailment,291.0,contradiction
84_cf_contradiction_0,"Premise: A woman riding a scooter is in front of many other people riding scooters down the street.  
Hypothesis: A woman is not leading a group of people on scooters.",contradiction,84.0,entailment
48_cf_contradiction_0,"Premise: Four army guys with guns and army gear.  
Hypothesis: The four guys are not in the army.",contradiction,48.0,entailment
347_cf_contradiction_0,"Premise: Two young children working together to operate a bicycle.  
Hypothesis: they are not outside.",contradiction,347.0,neutral
344_cf_neutral_0,"Premise: little boy looking through a telescope on playground equipment with the sun glaring off the pole his hand is on.  
Hypothesis: A young boy might be looking at the moon through a telescope.",neutral,344.0,contradiction
332_cf_neutral_0,"Premise: A woman is holding a bouquet of tissue paper flowers while two men look on from the porch.  
Hypothesis: One girl might be watching a woman holding tissue paper flowers.",neutral,332.0,contradiction
118_cf_neutral_0,"Premise: Dogs are working to package the hotdogs.  
Hypothesis: A group of dogs might be working to package the food.",neutral,118.0,entailment
118_cf_contradiction_0,"Premise: Dogs are working to package the hotdogs.  
Hypothesis: There are no dogs working to package the food.",contradiction,118.0,entailment
299_cf_neutral_0,"Premise: Group of people outside in the city videotaping a show.  
Hypothesis: people might be watching a football game at a stadium.",neutral,299.0,contradiction
299_cf_entailment_0,"Premise: Group of people outside in the city watching a football game at a stadium.  
Hypothesis: People are watching a football game at a stadium.",entailment,299.0,contradiction
