id,example,Label
ss28658,i that empty am i that cold that you cant even feel my hand in yours am i that stubborn that i cant see whats infront of me whats infront of me is my world that i never knew,anger
ss38985,i am not sure why you feel you would have to be rude in order to answer whether your chairs have been checked for this,anger
ss302456,i think its because im pregnant and currently home with two kids one of which is on february vacation this week that im feeling especially hostile towards ms,anger
ss285689,i dont know how am i suppose to feel abit irritated cus i kept feeling tinge of cramps,anger
ss5531,i fear ive lost my way i dont know how to say what i feel tom petty one more day one more night,anger
ss80333,i did a lot of pointing amp directing to both kyle and the movers feeling fairly useless to be honest,sadness
ss367608,i feel sorry for the paterno family,sadness
ss32076,i kinda thought that they might be giving something like a keychain at least for the recipients but its a feeling ugly sling bag,sadness
ss90279,i start to feel like a badly abused vending machine,sadness
ss171458,i feel unpleasant weight absence of energy,sadness
ss147861,i hide what i feel you think im happy,joy
ss273765,i was so impressed by the sheer professionalism of the set up and organisation and i have a feeling this competition will quickly become highly respected,joy
ss314314,im feeling bouncy and i want to sleep and wake up tomorrow and go to my dear lt,joy
ss234145,i dont know why i feel so lively just like a new fresh start,joy
ss284778,i may hav never said it no matter what emotion i was feeling or determined to feel to the contrary her wacky and goofy ass antics always brought a smile to either my face or my heart,joy
ss231785,i feel a bit bashful about it but,fear
ss254849,i feel like i m on really shaky ground right now because i don t know for sure how i feel about certain things,fear
ss145000,i feel so scared at the first day,fear
ss232476,i have an awful feeling it may have been half an hour before when i entered the shopping centre in my frantic attempt to do tasks as quickly as possible,fear
ss159862,i was prepared mentally and physically with everything but the kitchen sink and yet i found myself feeling very anxious and stressed,fear
ss64472,i feel that im usually a pretty generous reader,love
ss196630,im feeling in love w my beloved mate this morning,love
ss413835,i am already beginning to feel the faintest pangs of longing for europe or asia,love
ss326000,i get from all that the more joy i can feel i still never ever have felt as horny as i did when on coke,love
ss411926,i am interested in mixed with music that i have loved for a long time and also combining these elements with the themes of the record and this sort of feeling of self sabotage and a longing for a sort of nostalgic america and people whose lives have become sort of mythic,love
ss290915,i go to it when i am stressed or feeling overwhelmed,surprise
ss303306,i feel i am not surprised i am incapable of coming up with anything,surprise
ss214179,i feel a little weird reviewing such a pop game considering even ive never heard of most of the stuff i have been talking about but here it is,surprise
ss57456,i kinda have the feeling that this video might be one of those things that maybe isnt as funny as i thought it was,surprise
ss49913,i didnt feel like taking gu and the coke was amazing,surprise
